Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1581976800.0 10001.0 NA 159 337 0 72 171 NA 234 391 0 108 230 NA 1152 3130 1300 460 955 NA 1322 3247 1565 543 1035
1581976800.0 10002.0 NA 161 345 0 86 164 NA 234 391 0 108 227 NA 1374 3069 1089 433 1023 NA 1503 3297 1129 508 1146
1581976800.0 10003.0 NA 163 338 0 72 164 NA 234 392 0 108 228 NA 1063 2907 1182 401 944 NA 1177 3047 1217 491 1009
1581976800.0 10004.0 NA 162 334 0 69 161 NA 234 390 0 106 228 NA 1090 2771 1187 563 933 NA 1194 2963 1244 881 1043
1581976800.0 10005.0 NA 162 338 0 77 170 NA 234 391 0 108 226 NA 1052 2996 1233 393 882 NA 1180 3132 1273 462 942
1581976800.0 10006.0 NA 158 333 0 84 160 NA 236 390 0 106 221 NA 1149 2821 1197 468 915 NA 1270 2939 1239 543 1050
1581976800.0 10007.0 NA 159 335 0 75 165 NA 236 391 0 109 227 NA 1346 2954 1101 524 1098 NA 1479 3283 1139 617 1432
1581976800.0 10008.0 NA 162 337 0 89 163 NA 236 392 0 110 227 NA 1174 2881 1185 456 958 NA 1291 3012 1231 543 1052
1581976800.0 10009.0 NA 158 342 0 75 163 NA 236 393 0 110 228 NA 1247 2736 1098 463 909 NA 1353 2997 1141 534 1041
1581976800.0 1001.2 NA 314 141 0 NA NA NA 404 171 0 NA NA NA 32033 3925 188 NA NA NA 32378 4020 232 NA NA
1581976800.0 10023.0 NA 158 333 0 77 154 NA 235 390 0 108 219 NA 1085 2807 1103 469 933 NA 1237 3013 1142 542 1004
1581976800.0 10024.0 NA 166 341 0 76 164 NA 239 397 0 110 230 NA 1601 2967 1238 602 964 NA 1701 3103 1292 987 1039
1581976800.0 10024.2 NA 163 339 0 NA NA NA 238 394 0 NA NA NA 2048 3137 1280 NA NA NA 2184 3302 1317 NA NA
1581976800.0 10024.4 NA 160 346 0 NA NA NA 239 392 0 NA NA NA 2092 3388 1154 NA NA NA 2284 3623 1199 NA NA
1581976800.0 10025.0 NA 171 339 0 88 169 NA 237 394 0 109 228 NA 1280 2924 1111 381 961 NA 1419 3051 1147 461 1089
1581976800.0 10026.0 NA 170 343 0 75 165 NA 240 399 0 110 230 NA 1416 3231 1212 487 940 NA 1509 3439 1256 564 1015
1581976800.0 10042.0 NA 163 341 0 87 163 NA 237 394 0 110 228 NA 1286 3084 1141 407 938 NA 1395 3193 1180 483 1040
1581976800.0 10059.0 NA 165 343 0 75 167 NA 245 406 0 110 230 NA 1774 4317 1207 432 934 NA 1888 4525 1253 488 999
1581976800.0 10071.0 NA 158 343 0 89 167 NA 239 399 0 110 229 NA 1423 3956 1289 469 953 NA 1529 4547 1342 588 1022
1581976800.0 10224.0 NA 228 407 0 166 NA NA 314 510 0 230 NA NA 7993 6466 1459 1139 NA NA 9281 6956 1560 1229 NA
1581976800.0 10225.0 NA 224 409 0 164 NA NA 309 511 0 229 NA NA 7963 6166 1428 1131 NA NA 9168 6505 1550 1248 NA
1581976800.0 1040.0 NA 279 44 0 NA NA NA 370 66 0 NA NA NA 20796 242 215 NA NA NA 20993 299 344 NA NA
1581976800.0 10424.0 NA 114 345 0 NA NA NA 191 388 0 NA NA NA 1424 3208 1257 NA NA NA 1617 3413 1328 NA NA
1581976800.0 107.0 59 91 251 NA NA NA 111 122 305 NA NA NA 5761 919 3226 NA NA NA 5991 1005 3375 NA NA NA
1581976800.0 108.0 58 99 247 NA NA NA 110 123 307 NA NA NA 7094 847 3353 NA NA NA 7595 924 3481 NA NA NA
1581976800.0 10801.0 NA 154 336 0 83 164 NA 225 391 0 108 227 NA 1525 3248 1205 726 1062 NA 1666 3641 1238 1101 1259
1581976800.0 10802.0 NA 152 337 0 87 165 NA 225 391 0 108 227 NA 1170 2700 1157 396 1086 NA 1283 2853 1191 498 1467
1581976800.0 10803.0 NA 152 339 0 87 165 NA 226 393 0 108 228 NA 1305 2997 1263 444 931 NA 1437 3262 1308 513 1022
1581976800.0 10804.0 NA 151 333 0 72 161 NA 225 391 0 108 227 NA 1415 2967 1079 447 945 NA 1545 3280 1114 523 1072
1581976800.0 10805.0 NA 147 337 0 76 168 NA 225 391 0 108 227 NA 1279 3129 1289 590 955 NA 1404 3395 1356 963 1020
1581976800.0 10806.0 NA 152 329 0 77 154 NA 227 391 0 106 221 NA 1371 2742 1117 425 934 NA 1490 2868 1153 500 1051
1581976800.0 10807.0 NA 156 336 0 86 169 NA 228 392 0 110 228 NA 1192 2972 1109 469 903 NA 1323 3083 1147 543 1028
1581976800.0 10808.0 NA 156 338 0 75 168 NA 228 392 0 110 227 NA 1215 2915 1193 442 951 NA 1343 3116 1228 525 1026
1581976800.0 10809.0 NA 150 346 0 77 164 NA 227 393 0 110 228 NA 1135 2970 1201 469 960 NA 1240 3124 1236 553 1119
1581976800.0 10823.0 NA 155 335 0 71 153 NA 228 392 0 106 221 NA 1162 2873 1198 486 910 NA 1279 2989 1233 559 1041
1581976800.0 10824.0 NA 158 348 0 76 170 NA 231 398 0 110 230 NA 1715 3301 1134 481 903 NA 1840 3442 1183 573 972
1581976800.0 10824.6 NA 156 348 0 81 170 NA 231 398 0 110 230 NA 1563 3657 1132 491 910 NA 1660 3960 1196 582 964
1581976800.0 10824.8 NA 158 343 0 86 165 NA 231 398 0 110 230 NA 1463 3328 1155 492 942 NA 1939 3599 1194 588 1011
1581976800.0 10825.0 NA 152 336 0 84 163 NA 229 394 0 109 228 NA 1576 3185 1248 384 1095 NA 1694 3490 1298 487 1293
1581976800.0 10826.0 NA 153 344 0 78 167 NA 231 400 0 110 230 NA 1543 3317 1132 483 881 NA 1676 3518 1169 565 944
1581976800.0 10842.0 NA 152 336 0 78 168 NA 229 394 0 110 227 NA 1254 2944 1324 482 892 NA 1373 3523 1401 577 957
1581976800.0 10859.0 NA 161 340 0 87 166 NA 237 407 0 110 230 NA 2060 5000 1350 496 942 NA 2188 5145 1649 582 1020
