Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1588842000.0 1.0 50 71 154 NA NA NA NA NA NA 111 147 248 NA NA NA NA NA NA 908 321 978 NA NA NA NA NA NA 1134 484 1241 NA NA NA NA NA NA
1588842000.0 10.0 NA 107 233 0 NA NA NA NA NA NA 209 354 0 NA NA NA NA NA NA 2038 3161 507 NA NA NA NA NA NA 2397 3669 598 NA NA NA NA NA
1588842000.0 1000.0 NA 259 132 0 48 NA NA NA NA NA 377 249 0 89 NA NA NA NA NA 2678 1028 385 271 NA NA NA NA NA 3184 1323 544 322 NA NA NA NA
1588842000.0 10001.0 NA 144 303 0 59 105 NA NA NA NA 261 417 0 108 206 NA NA NA NA 830 1716 718 234 698 NA NA NA NA 1084 2123 861 358 875 NA NA NA
1588842000.0 10002.0 NA 144 307 0 59 105 NA NA NA NA 261 419 0 108 206 NA NA NA NA 826 1738 728 237 701 NA NA NA NA 1049 2125 864 379 863 NA NA NA
1588842000.0 10003.0 NA 145 310 0 60 107 NA NA NA NA 261 426 0 108 207 NA NA NA NA 833 1751 729 229 679 NA NA NA NA 1114 2154 911 348 832 NA NA NA
1588842000.0 10004.0 NA 145 305 0 56 105 NA NA NA NA 261 417 0 105 205 NA NA NA NA 835 1710 722 224 690 NA NA NA NA 1121 2039 854 347 865 NA NA NA
1588842000.0 10005.0 NA 144 308 0 59 103 NA NA NA NA 261 420 0 108 206 NA NA NA NA 828 1724 719 232 652 NA NA NA NA 1049 2165 852 379 879 NA NA NA
1588842000.0 10006.0 NA 147 305 0 58 97 NA NA NA NA 262 417 0 106 199 NA NA NA NA 828 1711 723 231 672 NA NA NA NA 1116 2025 852 357 840 NA NA NA
1588842000.0 10007.0 NA 147 307 0 61 101 NA NA NA NA 263 419 0 110 205 NA NA NA NA 839 1760 728 233 631 NA NA NA NA 1155 2152 860 362 858 NA NA NA
1588842000.0 10008.0 NA 148 307 0 61 106 NA NA NA NA 263 420 0 110 206 NA NA NA NA 848 1767 734 234 676 NA NA NA NA 1101 2178 905 379 826 NA NA NA
1588842000.0 10009.0 NA 145 309 0 62 107 NA NA NA NA 263 427 0 110 206 NA NA NA NA 850 1778 732 235 685 NA NA NA NA 1172 2148 843 371 847 NA NA NA
1588842000.0 1001.0 NA 240 102 0 0 0 0 0 0 NA 342 151 0 0 0 0 0 0 NA 2353 576 97 66 105 230 164 228 NA 3025 762 209 121 178 329 254 277
1588842000.0 1001.2 NA 286 118 0 NA NA NA NA NA NA 400 172 0 NA NA NA NA NA NA 14450 1420 117 NA NA NA NA NA NA 15921 1639 179 NA NA NA NA NA
1588842000.0 1002.0 NA 258 56 NA NA NA NA NA NA NA 394 105 NA NA NA NA NA NA NA 2744 304 NA NA NA NA NA NA NA 3166 389 NA NA NA NA NA NA
1588842000.0 10023.0 NA 146 299 0 59 95 NA NA NA NA 261 415 0 108 197 NA NA NA NA 837 1730 751 231 658 NA NA NA NA 1086 2056 880 352 801 NA NA NA
