Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1600203600.0 11650.0 NA 258 441 0 90 NA 423 575 0 166 NA 2202 2542 953 720 NA 3199 4285 1544 1230
1600203600.0 124.5 371 NA NA NA NA 501 NA NA NA NA 1075 NA NA NA NA 2120 NA NA NA NA
1600203600.0 12434.0 NA 270 454 0 88 NA 438 588 0 162 NA 2324 2736 953 843 NA 3258 4646 1169 1485
1600203600.0 1325.6 NA 186 NA NA NA NA 357 NA NA NA NA 3336 NA NA NA NA 3818 NA NA NA
1600203600.0 135.9 412 0 120 NA NA 539 0 229 NA NA 1079 252 527 NA NA 2030 821 1699 NA NA
1600203600.0 136.766 NA 79 400 0 NA NA 203 558 0 NA NA 612 16524 420 NA NA 558 8457 1155 NA
1600203600.0 136.8311 NA 176 0 NA NA NA 342 0 NA NA NA 2026 153 NA NA NA 2973 1110 NA NA
1600203600.0 1361.181 65 203 364 0 145 154 305 500 0 283 4361 2283 2072 670 768 3994 1910 4428 1411 1504
1600203600.0 144.6 NA 301 NA NA NA NA 457 NA NA NA NA 2653 NA NA NA NA 3719 NA NA NA
1600203600.0 20434.21 NA 432 229 152 NA NA 583 353 280 NA NA 2259 1320 1037 NA NA 2847 2099 1601 NA
1600203600.0 20661.97 1841 NA NA NA NA 2156 NA NA NA NA 11308 NA NA NA NA 9110 NA NA NA NA
1600203600.0 250199.0 318 NA NA NA NA 454 NA NA NA NA 3509 NA NA NA NA 3766 NA NA NA NA
1600203600.0 250399.17 580 NA NA NA NA 715 NA NA NA NA 1235 NA NA NA NA 2201 NA NA NA NA
1600203600.0 25406.18 772 0 121 NA NA 960 0 230 NA NA 2746 346 535 NA NA 4182 727 1067 NA NA
1600203600.0 3.0 67 102 201 NA NA 170 192 316 NA NA 3842 404 1263 NA NA 2725 1140 1899 NA NA
1600203600.0 4.28 NA 56 309 0 NA NA 167 441 0 NA NA 283 3589 2641 NA NA 658 5604 3277 NA
1600203600.0 4001.0 NA 161 341 NA NA NA 296 516 NA NA NA 880 2374 NA NA NA 1867 3183 NA NA
1600203600.0 4006.0 53 154 327 NA NA 158 292 496 NA NA 756 839 2231 NA NA 976 1479 3601 NA NA
1600203600.0 4008.0 36 0 0 NA NA 123 0 0 NA NA 413 220 1405 NA NA 735 631 3405 NA NA
1600203600.0 500200.1 74 183 226 NA NA 171 336 348 NA NA 1728 940 1828 NA NA 1948 1536 2400 NA NA
1600203600.0 511.0 45 0 NA NA NA 117 0 NA NA NA 8039 134 NA NA NA 10655 520 NA NA NA
1600203600.0 551.0 16 35 0 NA NA 92 113 0 NA NA 835 296 138 NA NA 4526 576 836 NA NA
