Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1626559200.0 11025.0 NA 426 689 0 167 NA NA 861 1125 0 335 NA NA 6575 5939 699 896 NA NA 4847 7099 2126 2076 NA
1626559200.0 11624.911 79 278 480 0 91 NA 175 729 823 0 172 NA 10614 9885 6798 3530 4400 NA 7061 7239 8926 7744 5003 NA
1626559200.0 11634.511 NA 289 99 0 NA NA NA 746 208 0 NA NA NA 2626 762 186 NA NA NA 3300 1553 627 NA NA
1626559200.0 11634.512 NA 290 106 0 NA NA NA 748 216 0 NA NA NA 2489 729 183 NA NA NA 1675 2320 1510 NA NA
1626559200.0 11642.911 72 263 464 0 92 NA 165 688 757 0 176 NA 8455 8307 6392 3510 4707 NA 6026 6469 8926 7040 5456 NA
1626559200.0 13034.0 NA 452 702 0 169 NA NA 944 1104 0 335 NA NA 5596 6378 1076 1243 NA NA 4830 8041 3689 3635 NA
1626559200.0 13034.99 NA 328 489 583 0 171 NA 724 876 915 0 327 NA 3912 4555 5841 1068 873 NA 3696 4078 7690 2473 2393
1626559200.0 1331.0 NA 160 319 0 163 NA NA 546 643 0 314 NA NA 1926 2069 484 723 NA NA 1470 3039 951 909 NA
1626559200.0 136.7802 NA 81 0 NA NA NA NA 155 0 NA NA NA NA 357 192 NA NA NA NA 2081 1007 NA NA NA
1626559200.0 1370.0 34 90 157 319 0 162 84 207 552 598 0 334 68 2915 1456 2385 501 819 605 2781 1908 4720 1496 2392
1626559200.0 144.6 NA 285 NA NA NA NA NA 664 NA NA NA NA NA 3457 NA NA NA NA NA 3685 NA NA NA NA
1626559200.0 23461.97 829 NA NA NA NA NA 1381 NA NA NA NA NA 10580 NA NA NA NA NA 5779 NA NA NA NA NA
1626559200.0 25202.2 NA 338 534 0 NA NA NA 792 853 0 NA NA NA 4565 4425 495 NA NA NA 2418 4800 1216 NA NA
1626559200.0 4008.0 59 0 0 NA NA NA 148 0 0 NA NA NA 858 236 1686 NA NA NA 1115 716 3007 NA NA NA
1626559200.0 518.0 18 53 0 NA NA NA 81 112 0 NA NA NA 2524 247 162 NA NA NA 13859 1226 544 NA NA NA
1626559200.0 523.0 18 55 0 NA NA NA 81 119 0 NA NA NA 891 218 163 NA NA NA 2857 1412 498 NA NA NA
1626559200.0 526.0 18 43 0 NA NA NA 81 106 0 NA NA NA 2534 207 174 NA NA NA 13862 622 1588 NA NA NA
1626559200.0 527.0 17 49 0 NA NA NA 81 111 0 NA NA NA 834 201 168 NA NA NA 1568 537 556 NA NA NA
