Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 
1742767200.0 101.0 149 NA NA NA NA 1116 NA NA NA NA 585 NA NA NA NA 462 NA NA NA NA 
1742767200.0 1010.0 NA 66 157 0 NA NA 1205 589 0 NA NA 104 126 123 NA NA 141 143 138 NA 
1742767200.0 102.0 229 NA NA NA NA 1116 NA NA NA NA 530 NA NA NA NA 445 NA NA NA NA 
1742767200.0 1020.0 NA 70 61 0 153 NA 1307 587 0 1307 NA 134 100 45 123 NA 178 118 54 168 
1742767200.0 1040.1 NA 211 166 0 NA NA 1309 586 0 NA NA 249 107 81 NA NA 306 131 94 NA 
1742767200.0 1041.0 NA 157 71 0 NA NA 1374 587 0 NA NA 191 130 59 NA NA 234 153 76 NA 
1742767200.0 1042.0 NA 109 68 0 NA NA 1374 587 0 NA NA 307 127 58 NA NA 751 139 74 NA 
1742767200.0 1043.0 NA 91 73 0 NA NA 1309 587 0 NA NA 208 121 49 NA NA 219 132 58 NA 
1742767200.0 1044.0 NA 194 141 0 NA NA 1309 587 0 NA NA 202 154 53 NA NA 204 148 64 NA 
1742767200.0 1045.0 NA 173 139 0 NA NA 1309 587 0 NA NA 200 149 47 NA NA 199 143 58 NA 
1742767200.0 105.0 130 199 167 NA NA 1110 657 588 NA NA 1012 234 101 NA NA 577 183 117 NA NA 
1742767200.0 10804.31 NA 237 0 NA NA NA 1746 0 NA NA NA 1443 0 NA NA NA 695 0 NA NA 
1742767200.0 10805.31 NA 238 0 NA NA NA 1746 0 NA NA NA 1442 0 NA NA NA 700 0 NA NA 
1742767200.0 11603.0 NA 408 617 0 191 NA 1843 1626 0 657 NA 749 1908 453 372 NA 582 1775 489 395 
1742767200.0 11605.0 NA 402 700 0 146 NA 1844 1561 0 657 NA 702 1864 447 348 NA 557 1776 462 357 
1742767200.0 11608.0 NA 318 NA NA NA NA 1904 NA NA NA NA 1058 NA NA NA NA 826 NA NA NA 
1742767200.0 11609.0 NA 359 659 0 165 NA 1971 1625 0 657 NA 764 1908 468 371 NA 595 1745 492 378 
1742767200.0 11630.0 NA 493 637 0 275 NA 1972 1702 0 657 NA 937 2465 483 370 NA 652 1911 504 378 
