Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1698832800.0 1.0 127 147 261 NA NA NA NA NA NA 252 220 390 NA NA NA NA NA NA 948 278 641 NA NA NA NA NA NA 577 289 623 NA NA NA NA NA NA
1698832800.0 10.0 NA 144 329 0 NA NA NA NA NA NA 278 544 0 NA NA NA NA NA NA 5372 11403 1882 NA NA NA NA NA NA 2121 6105 1940 NA NA NA NA NA
1698832800.0 1000.0 NA 322 177 0 63 NA NA NA NA NA 513 318 0 151 NA NA NA NA NA 7167 1939 1093 922 NA NA NA NA NA 10253 3627 1401 936 NA NA NA NA
1698832800.0 10001.0 NA 224 497 0 96 119 NA NA NA NA 421 785 0 185 231 NA NA NA NA 4702 4978 1320 826 1121 NA NA NA NA 1893 4654 1379 908 1131 NA NA NA
1698832800.0 10002.0 NA 231 501 0 97 120 NA NA NA NA 454 793 0 188 215 NA NA NA NA 5289 5601 1878 1214 1535 NA NA NA NA 2179 4913 2001 1263 1601 NA NA NA
1698832800.0 10003.0 NA 220 497 0 97 115 NA NA NA NA 441 794 0 190 221 NA NA NA NA 4437 4937 1446 869 1222 NA NA NA NA 1884 4357 1518 939 1283 NA NA NA
1698832800.0 10004.0 NA 221 489 0 98 118 NA NA NA NA 420 802 0 190 217 NA NA NA NA 5175 4665 1680 1101 1331 NA NA NA NA 5530 7051 1777 1235 1383 NA NA NA
1698832800.0 10005.0 NA 228 499 0 97 118 NA NA NA NA 420 807 0 190 218 NA NA NA NA 4461 4490 1160 766 1053 NA NA NA NA 1801 4145 1217 850 1072 NA NA NA
1698832800.0 10006.0 NA 234 486 0 96 109 NA NA NA NA 462 780 0 189 213 NA NA NA NA 5182 5146 1889 1158 1417 NA NA NA NA 2125 4576 1961 1224 1468 NA NA NA
1698832800.0 10007.0 NA 227 488 0 127 114 NA NA NA NA 460 807 0 266 222 NA NA NA NA 5289 5459 1904 1303 1510 NA NA NA NA 2239 4784 1980 1384 1572 NA NA NA
1698832800.0 10008.0 NA 236 495 0 126 113 NA NA NA NA 467 793 0 267 216 NA NA NA NA 5334 5556 1940 1285 1484 NA NA NA NA 2191 4857 2033 1336 1533 NA NA NA
1698832800.0 10009.0 NA 235 491 0 125 112 NA NA NA NA 419 791 0 268 217 NA NA NA NA 3872 4864 1494 1245 1444 NA NA NA NA 5472 6947 1585 1467 1504 NA NA NA
1698832800.0 1001.0 NA 285 143 0 0 0 0 0 0 NA 458 248 0 0 0 0 0 0 NA 8660 1479 315 289 372 907 414 902 NA 5430 1412 353 330 410 951 464 941
1698832800.0 1001.2 NA 738 212 0 0 0 0 NA NA NA 944 341 0 0 0 0 NA NA NA 8442 712 85 102 99 121 NA NA NA 2816 463 101 196 117 137 NA NA
1698832800.0 1001.3 NA 527 168 0 NA NA NA NA NA NA 915 325 0 NA NA NA NA NA NA 33897 2874 842 NA NA NA NA NA NA 11538 1969 962 NA NA NA NA NA
1698832800.0 1002.0 NA 312 87 NA NA NA NA NA NA NA 512 166 NA NA NA NA NA NA NA 7509 605 NA NA NA NA NA NA NA 10887 835 NA NA NA NA NA NA
1698832800.0 1002.3 NA 528 163 0 NA NA NA NA NA NA 891 323 0 NA NA NA NA NA NA 21227 2216 696 NA NA NA NA NA NA 12035 1793 805 NA NA NA NA NA
1698832800.0 1002.4 NA 532 0 NA NA NA NA NA NA NA 919 0 NA NA NA NA NA NA NA 41594 1786 NA NA NA NA NA NA NA 14189 1849 NA NA NA NA NA NA
1698832800.0 10023.0 NA 229 486 0 100 105 NA NA NA NA 452 790 0 191 213 NA NA NA NA 5231 5448 1800 1197 1439 NA NA NA NA 2113 4862 1878 1344 1492 NA NA NA
1698832800.0 10024.0 NA 233 507 0 126 117 NA NA NA NA 423 814 0 278 226 NA NA NA NA 5443 5294 1642 1212 1642 NA NA NA NA 5627 7058 1720 1367 1713 NA NA NA
1698832800.0 10024.1 NA 236 250 0 NA NA NA NA NA NA 433 499 0 NA NA NA NA NA NA 5362 2360 1581 NA NA NA NA NA NA 5572 2902 1656 NA NA NA NA NA
1698832800.0 10024.2 NA 233 499 0 NA NA NA NA NA NA 433 826 0 NA NA NA NA NA NA 5480 5375 1540 NA NA NA NA NA NA 5698 6833 1626 NA NA NA NA NA
1698832800.0 10024.3 NA 239 240 0 NA NA NA NA NA NA 449 485 0 NA NA NA NA NA NA 3975 2371 1085 NA NA NA NA NA NA 5454 3954 1704 NA NA NA NA NA
1698832800.0 10024.4 NA 282 537 0 NA NA NA NA NA NA 480 850 0 NA NA NA NA NA NA 1202 1239 346 NA NA NA NA NA NA 476 1015 364 NA NA NA NA NA
1698832800.0 10024.5 NA 258 143 0 NA NA NA NA NA NA 467 277 0 NA NA NA NA NA NA 1204 332 145 NA NA NA NA NA NA 532 343 157 NA NA NA NA NA
1698832800.0 10025.0 NA 231 493 0 97 118 NA NA NA NA 468 813 0 192 221 NA NA NA NA 4524 4746 1676 1127 1394 NA NA NA NA 5436 6669 1756 1312 1455 NA NA NA
1698832800.0 10026.0 NA 295 550 0 135 146 NA NA NA NA 476 822 0 194 223 NA NA NA NA 1264 1640 401 265 359 NA NA NA NA 662 1409 546 351 403 NA NA NA
1698832800.0 1003.0 NA 339 0 NA NA NA NA NA NA NA 649 0 NA NA NA NA NA NA NA 10105 1284 NA NA NA NA NA NA NA 5227 1343 NA NA NA NA NA NA
1698832800.0 1004.0 NA 219 112 0 0 0 0 NA NA NA 387 197 0 0 0 0 NA NA NA 2542 630 200 276 560 498 NA NA NA 2139 707 233 309 589 529 NA NA
1698832800.0 10042.0 NA 229 494 0 128 114 NA NA NA NA 424 777 0 269 220 NA NA NA NA 4071 4818 1606 1241 1354 NA NA NA NA 5536 7197 1736 1434 1397 NA NA NA
1698832800.0 10059.0 NA 242 507 0 101 114 NA NA NA NA 487 831 0 194 232 NA NA NA NA 5509 9092 2029 1291 1567 NA NA NA NA 2229 5845 2109 1363 1621 NA NA NA
1698832800.0 10071.0 NA 234 498 0 99 116 NA NA NA NA 455 884 0 192 226 NA NA NA NA 5186 5203 1644 1257 1424 NA NA NA NA 5658 6925 1728 1382 1468 NA NA NA
1698832800.0 101.0 152 NA NA NA NA NA NA NA NA 294 NA NA NA NA NA NA NA NA 597 NA NA NA NA NA NA NA NA 490 NA NA NA NA NA NA NA NA
