Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1711360800.0 10004.0 NA 261 496 0 133 152 NA 410 671 0 212 255 NA 1033 1129 344 228 373 NA 1016 1809 442 398 584
1711360800.0 10007.0 NA 281 417 0 161 151 NA 409 664 0 290 251 NA 1056 1174 331 239 357 NA 1054 3339 584 532 481
1711360800.0 10024.2 NA 241 423 0 NA NA NA 438 707 0 NA NA NA 3022 4670 1645 NA NA NA 3299 5989 2037 NA NA
1711360800.0 1005.0 NA 156 104 0 NA NA NA 361 262 0 NA NA NA 1030 316 210 NA NA NA 3542 724 336 NA NA
1711360800.0 101.0 111 NA NA NA NA NA 314 NA NA NA NA NA 1403 NA NA NA NA NA 1548 NA NA NA NA NA
1711360800.0 1010.0 NA 33 53 0 NA NA NA 164 169 0 NA NA NA 276 259 333 NA NA NA 1037 482 465 NA NA
1711360800.0 102.0 112 NA NA NA NA NA 308 NA NA NA NA NA 1310 NA NA NA NA NA 1554 NA NA NA NA NA
1711360800.0 1020.0 NA 39 30 0 51 NA NA 177 155 0 178 NA NA 330 213 97 288 NA NA 1109 703 150 461 NA
1711360800.0 1030.0 NA 199 44 0 0 NA NA 474 162 0 0 NA NA 11945 428 163 140 NA NA 7953 651 361 312 NA
1711360800.0 1040.1 NA 73 34 0 NA NA NA 210 143 0 NA NA NA 650 215 229 NA NA NA 1518 380 308 NA NA
1711360800.0 1041.0 NA 68 41 0 NA NA NA 211 154 0 NA NA NA 470 221 149 NA NA NA 1268 382 216 NA NA
1711360800.0 1042.0 NA 69 41 0 NA NA NA 211 152 0 NA NA NA 711 256 120 NA NA NA 1745 562 405 NA NA
1711360800.0 1043.0 NA 53 36 0 NA NA NA 196 154 0 NA NA NA 427 202 143 NA NA NA 951 574 486 NA NA
1711360800.0 1044.0 NA 49 55 0 NA NA NA 194 184 0 NA NA NA 435 257 153 NA NA NA 818 455 303 NA NA
1711360800.0 1045.0 NA 50 51 0 NA NA NA 191 177 0 NA NA NA 465 354 140 NA NA NA 824 533 437 NA NA
1711360800.0 105.0 88 131 35 NA NA NA 277 252 145 NA NA NA 2445 573 283 NA NA NA 3061 1027 547 NA NA NA
1711360800.0 1052.0 NA 157 106 0 NA NA NA 394 254 0 NA NA NA 1026 309 141 NA NA NA 3988 782 234 NA NA
1711360800.0 1052.1 NA 92 0 NA NA NA NA 265 0 NA NA NA NA 305 140 NA NA NA NA 679 208 NA NA NA
1711360800.0 106.0 75 0 0 NA NA NA 221 0 0 NA NA NA 1093 221 3288 NA NA NA 1030 266 3699 NA NA NA
1711360800.0 10804.0 NA 251 543 0 133 156 NA 390 670 0 215 248 NA 1007 1153 350 241 373 NA 874 2466 481 512 775
1711360800.0 10805.0 NA 276 542 0 132 154 NA 400 663 0 215 264 NA 1012 1177 338 244 354 NA 530 1747 414 587 672
1711360800.0 10823.0 NA 270 431 0 132 152 NA 398 652 0 212 260 NA 1013 1161 349 240 346 NA 1041 3447 483 393 671
1711360800.0 10824.0 NA 224 429 0 126 130 NA 413 695 0 294 270 NA 2100 2985 839 625 1020 NA 4254 5083 961 1025 1206
1711360800.0 10824.5 NA 240 109 0 NA NA NA 413 313 0 NA NA NA 1664 875 411 NA NA NA 1445 984 949 NA NA
1711360800.0 10824.511 NA 221 87 0 NA NA NA 402 224 0 NA NA NA 1678 638 332 NA NA NA 1435 923 396 NA NA
1711360800.0 10824.521 NA 238 87 0 NA NA NA 410 201 0 NA NA NA 2209 681 321 NA NA NA 1300 748 435 NA NA
1711360800.0 10825.0 NA 221 413 0 98 125 NA 390 673 0 215 263 NA 3084 4097 1535 974 1437 NA 3399 6314 1722 1359 1690
1711360800.0 10842.0 NA 274 452 0 163 156 NA 403 649 0 303 256 NA 1035 1237 356 246 367 NA 1115 2229 772 808 645
1711360800.0 10842.501 NA 235 110 0 NA NA NA 400 295 0 NA NA NA 1805 769 457 NA NA NA 1998 2405 802 NA NA
