Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1711404000.0 1.0 94 130 227 NA NA NA NA 271 235 433 NA NA NA NA 4047 1061 2672 NA NA NA NA 2403 809 2678 NA NA NA NA
1711404000.0 10026.0 NA 244 430 0 103 129 NA NA 418 665 0 211 243 NA NA 4100 5458 2282 914 1473 NA NA 2372 4414 2398 1017 2178 NA
1711404000.0 1004.0 NA 256 135 0 0 0 0 NA 414 200 0 0 0 0 NA 687 179 51 67 176 175 NA 827 275 67 83 193 191
1711404000.0 101.0 154 NA NA NA NA NA NA 304 NA NA NA NA NA NA 608 NA NA NA NA NA NA 585 NA NA NA NA NA NA
1711404000.0 1010.0 NA 71 90 0 NA NA NA NA 158 153 0 NA NA NA NA 147 151 138 NA NA NA NA 282 202 152 NA NA NA
1711404000.0 102.0 156 NA NA NA NA NA NA 291 NA NA NA NA NA NA 572 NA NA NA NA NA NA 519 NA NA NA NA NA NA
1711404000.0 1020.0 NA 75 65 0 73 NA NA NA 166 139 0 170 NA NA NA 142 128 61 137 NA NA NA 316 205 119 188 NA NA
1711404000.0 1040.1 NA 113 69 0 NA NA NA NA 203 127 0 NA NA NA NA 265 110 80 NA NA NA NA 388 132 103 NA NA NA
1711404000.0 1041.0 NA 110 77 0 NA NA NA NA 204 138 0 NA NA NA NA 183 151 56 NA NA NA NA 293 328 67 NA NA NA
1711404000.0 1042.0 NA 111 73 0 NA NA NA NA 207 133 0 NA NA NA NA 304 130 58 NA NA NA NA 985 160 107 NA NA NA
1711404000.0 1043.0 NA 89 71 0 NA NA NA NA 183 140 0 NA NA NA NA 209 114 59 NA NA NA NA 242 128 87 NA NA NA
1711404000.0 1044.0 NA 90 94 0 NA NA NA NA 184 176 0 NA NA NA NA 195 147 56 NA NA NA NA 211 139 73 NA NA NA
1711404000.0 1045.0 NA 89 87 0 NA NA NA NA 186 157 0 NA NA NA NA 213 143 56 NA NA NA NA 247 141 100 NA NA NA
1711404000.0 105.0 153 160 71 NA NA NA NA 269 239 129 NA NA NA NA 995 245 115 NA NA NA NA 682 219 356 NA NA NA NA
1711404000.0 1052.0 NA 195 146 0 NA NA NA NA 355 245 0 NA NA NA NA 378 176 58 NA NA NA NA 423 205 97 NA NA NA
1711404000.0 1052.1 NA 130 0 NA NA NA NA NA 255 0 NA NA NA NA NA 171 51 NA NA NA NA NA 219 122 NA NA NA NA
1711404000.0 106.0 77 0 0 NA NA NA NA 204 0 0 NA NA NA NA 1504 286 4989 NA NA NA NA 1388 314 5179 NA NA NA NA
1711404000.0 1060.1 NA 150 NA NA NA NA NA NA 279 NA NA NA NA NA NA 442 NA NA NA NA NA NA 388 NA NA NA NA NA
1711404000.0 1060.2 NA 148 NA NA NA NA NA NA 272 NA NA NA NA NA NA 376 NA NA NA NA NA NA 401 NA NA NA NA NA
1711404000.0 107.0 187 164 338 NA NA NA NA 273 246 483 NA NA NA NA 1261 260 1155 NA NA NA NA 735 364 1064 NA NA NA NA
