Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1711576800.0 101.0 161 NA NA NA NA 316 NA NA NA NA 571 NA NA NA NA 540 NA NA NA NA
1711576800.0 102.0 160 NA NA NA NA 296 NA NA NA NA 532 NA NA NA NA 538 NA NA NA NA
1711576800.0 123.1 392 NA NA NA NA 524 NA NA NA NA 736 NA NA NA NA 840 NA NA NA NA
1711576800.0 123.3 321 NA NA NA NA 441 NA NA NA NA 638 NA NA NA NA 741 NA NA NA NA
1711576800.0 124.1 383 NA NA NA NA 507 NA NA NA NA 659 NA NA NA NA 836 NA NA NA NA
1711576800.0 124.2 389 NA NA NA NA 527 NA NA NA NA 686 NA NA NA NA 737 NA NA NA NA
1711576800.0 124.4 385 NA NA NA NA 504 NA NA NA NA 653 NA NA NA NA 754 NA NA NA NA
1711576800.0 124.5 384 NA NA NA NA 501 NA NA NA NA 659 NA NA NA NA 735 NA NA NA NA
1711576800.0 124.6 319 NA NA NA NA 425 NA NA NA NA 647 NA NA NA NA 760 NA NA NA NA
1711576800.0 136.9 NA 251 228 330 203 NA 409 361 480 279 NA 6151 965 1038 745 NA 6735 1205 1271 998
1711576800.0 140.009 NA 0 0 0 NA NA 0 0 0 NA NA 150 1704 461 NA NA 239 1910 597 NA
1711576800.0 141.009 NA 0 0 0 NA NA 0 0 0 NA NA 886 3761 909 NA NA 685 3968 1027 NA
1711576800.0 25034.114 NA 1676 0 NA NA NA 2073 0 NA NA NA 9521 0 NA NA NA 3885 0 NA NA
