Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 
1745010000.0 101.0 159 NA NA NA NA NA NA 311 NA NA NA NA NA NA 516 NA NA NA NA NA NA 426 NA NA NA NA NA NA 
1745010000.0 102.0 158 NA NA NA NA NA NA 293 NA NA NA NA NA NA 498 NA NA NA NA NA NA 422 NA NA NA NA NA NA 
1745010000.0 123.1 398 NA NA NA NA NA NA 525 NA NA NA NA NA NA 623 NA NA NA NA NA NA 582 NA NA NA NA NA NA 
1745010000.0 123.2 394 NA NA NA NA NA NA 537 NA NA NA NA NA NA 688 NA NA NA NA NA NA 576 NA NA NA NA NA NA 
1745010000.0 123.3 326 NA NA NA NA NA NA 435 NA NA NA NA NA NA 532 NA NA NA NA NA NA 523 NA NA NA NA NA NA 
1745010000.0 124.1 390 NA NA NA NA NA NA 506 NA NA NA NA NA NA 539 NA NA NA NA NA NA 590 NA NA NA NA NA NA 
1745010000.0 124.2 393 NA NA NA NA NA NA 517 NA NA NA NA NA NA 589 NA NA NA NA NA NA 519 NA NA NA NA NA NA 
1745010000.0 124.4 389 NA NA NA NA NA NA 498 NA NA NA NA NA NA 550 NA NA NA NA NA NA 526 NA NA NA NA NA NA 
1745010000.0 124.5 389 NA NA NA NA NA NA 516 NA NA NA NA NA NA 568 NA NA NA NA NA NA 629 NA NA NA NA NA NA 
1745010000.0 124.6 328 NA NA NA NA NA NA 435 NA NA NA NA NA NA 543 NA NA NA NA NA NA 548 NA NA NA NA NA NA 
1745010000.0 136.901 NA 261 246 254 136 248 267 NA 405 384 347 194 375 431 NA 5267 1082 888 233 475 726 NA 5453 1172 1055 337 1236 873 
1745010000.0 136.902 NA 268 243 249 135 247 268 NA 406 393 347 194 375 405 NA 4754 1029 1012 232 485 729 NA 4932 1106 1242 303 1009 932 
1745010000.0 144.6 NA 397 NA NA NA NA NA NA 590 NA NA NA NA NA NA 2088 NA NA NA NA NA NA 1701 NA NA NA NA NA 
1745010000.0 159.03 177 320 177 318 198 NA NA 305 466 275 505 287 NA NA 8420 1311 159 617 383 NA NA 8456 1459 304 570 332 NA NA 
1745010000.0 182.1 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 787 NA NA NA NA NA NA 698 NA NA NA NA NA NA 
1745010000.0 2017.13 512 0 NA NA NA NA NA 692 0 NA NA NA NA NA 701 314 NA NA NA NA NA 886 331 NA NA NA NA NA 
1745010000.0 2018.13 475 0 NA NA NA NA NA 656 0 NA NA NA NA NA 699 315 NA NA NA NA NA 557 328 NA NA NA NA NA 
1745010000.0 2500.241 NA 207 NA NA NA NA NA NA 388 NA NA NA NA NA NA 419 NA NA NA NA NA NA 395 NA NA NA NA NA 
1745010000.0 250399.0 290 NA NA NA NA NA NA 442 NA NA NA NA NA NA 491 NA NA NA NA NA NA 425 NA NA NA NA NA NA 
1745010000.0 500199.0 262 NA NA NA NA NA NA 455 NA NA NA NA NA NA 890 NA NA NA NA NA NA 614 NA NA NA NA NA NA 
