Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 
1788040800.0 1002.5 NA 136 111 0 0 NA NA NA NA 246 193 0 0 NA NA NA NA 267 210 192 89 NA NA NA NA 429 320 257 116 NA NA NA 
1788040800.0 10024.1 NA 310 282 0 NA NA NA NA NA 437 428 0 NA NA NA NA NA 320 614 401 NA NA NA NA NA 419 804 571 NA NA NA NA 
1788040800.0 10024.3 NA 300 272 0 NA NA NA NA NA 459 410 0 NA NA NA NA NA 316 557 331 NA NA NA NA NA 397 730 432 NA NA NA NA 
1788040800.0 1003.0 NA 378 0 NA NA NA NA NA NA 678 0 NA NA NA NA NA NA 2068 233 NA NA NA NA NA NA 1552 272 NA NA NA NA NA 
1788040800.0 1005.0 NA 201 141 0 0 NA NA NA NA 377 246 0 0 NA NA NA NA 398 191 65 81 NA NA NA NA 685 262 111 154 NA NA NA 
1788040800.0 101.0 147 NA NA NA NA NA NA NA 309 NA NA NA NA NA NA NA 543 NA NA NA NA NA NA NA 526 NA NA NA NA NA NA NA 
1788040800.0 1010.0 NA 75 88 0 NA NA NA NA NA 160 160 0 NA NA NA NA NA 121 159 109 NA NA NA NA NA 189 205 135 NA NA NA NA 
1788040800.0 102.0 147 NA NA NA NA NA NA NA 293 NA NA NA NA NA NA NA 517 NA NA NA NA NA NA NA 553 NA NA NA NA NA NA NA 
1788040800.0 1020.0 NA 73 69 0 68 NA NA NA NA 177 141 0 174 NA NA NA NA 165 114 44 182 NA NA NA NA 298 188 80 282 NA NA NA 
1788040800.0 1040.1 NA 117 68 0 NA NA NA NA NA 209 128 0 NA NA NA NA NA 279 124 75 NA NA NA NA NA 532 151 97 NA NA NA NA 
1788040800.0 1041.0 NA 107 71 0 NA NA NA NA NA 210 140 0 NA NA NA NA NA 224 131 50 NA NA NA NA NA 369 167 66 NA NA NA NA 
1788040800.0 1042.0 NA 118 73 0 NA NA NA NA NA 212 141 0 NA NA NA NA NA 362 130 47 NA NA NA NA NA 622 198 63 NA NA NA NA 
1788040800.0 1046.0 NA 85 69 0 NA NA NA NA NA 179 141 0 NA NA NA NA NA 201 131 45 NA NA NA NA NA 263 168 57 NA NA NA NA 
1788040800.0 1047.0 NA 78 82 0 NA NA NA NA NA 179 162 0 NA NA NA NA NA 206 164 52 NA NA NA NA NA 316 213 66 NA NA NA NA 
1788040800.0 1048.0 NA 88 80 0 NA NA NA NA NA 182 150 0 NA NA NA NA NA 209 160 45 NA NA NA NA NA 275 187 61 NA NA NA NA 
1788040800.0 1049.0 NA 91 0 NA NA NA NA NA NA 186 0 NA NA NA NA NA NA 915 121 NA NA NA NA NA NA 1404 153 NA NA NA NA NA 
1788040800.0 105.0 144 158 75 NA NA NA NA NA 238 253 145 NA NA NA NA NA 919 264 142 NA NA NA NA NA 730 296 161 NA NA NA NA NA 
1788040800.0 1052.0 NA 203 138 0 NA NA NA NA NA 383 244 0 NA NA NA NA NA 386 203 47 NA NA NA NA NA 552 290 70 NA NA NA NA 
1788040800.0 1052.1 NA 129 0 NA NA NA NA NA NA 259 0 NA NA NA NA NA NA 190 50 NA NA NA NA NA NA 237 75 NA NA NA NA NA 
