Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 
1758834000.0 1040.0 NA 494 93 0 NA NA NA NA NA 759 153 0 NA NA NA NA NA 6918 126 76 NA NA NA NA NA 2740 242 131 NA NA NA NA 
1758834000.0 10804.31 NA 308 0 0 NA NA NA NA NA 418 0 0 NA NA NA NA NA 992 877 115 NA NA NA NA NA 637 1463 277 NA NA NA NA 
1758834000.0 10805.31 NA 311 0 0 NA NA NA NA NA 443 0 0 NA NA NA NA NA 989 878 117 NA NA NA NA NA 635 1466 276 NA NA NA NA 
1758834000.0 111.0 136 178 390 NA NA NA NA NA 218 258 565 NA NA NA NA NA 487 214 1174 NA NA NA NA NA 550 499 1573 NA NA NA NA NA 
1758834000.0 120.0 126 181 388 NA NA NA NA NA 213 261 546 NA NA NA NA NA 373 251 1185 NA NA NA NA NA 488 418 1588 NA NA NA NA NA 
1758834000.0 128.0 121 181 388 NA NA NA NA NA 184 257 581 NA NA NA NA NA 360 253 1210 NA NA NA NA NA 463 427 1717 NA NA NA NA NA 
1758834000.0 136.746 NA 192 434 0 NA NA NA NA NA 303 653 0 NA NA NA NA NA 317 7157 186 NA NA NA NA NA 419 3087 330 NA NA NA NA 
1758834000.0 136.902 NA 328 285 357 192 312 329 247 NA 510 425 524 273 465 506 361 NA 5230 849 1127 451 584 840 520 NA 3008 949 1419 648 880 1153 722 
1758834000.0 1360.0 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 774 NA NA NA NA NA NA NA 464 NA NA NA NA NA NA NA 
1758834000.0 1361.0 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 349 NA NA NA NA NA NA NA 463 NA NA NA NA NA NA NA 
1758834000.0 1361.17 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 348 NA NA NA NA NA NA NA 456 NA NA NA NA NA NA NA 
1758834000.0 1361.18 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 347 NA NA NA NA NA NA NA 468 NA NA NA NA NA NA NA 
1758834000.0 1361.181 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 360 NA NA NA NA NA NA NA 522 NA NA NA NA NA NA NA 
1758834000.0 1362.0 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 345 NA NA NA NA NA NA NA 447 NA NA NA NA NA NA NA 
1758834000.0 1362.17 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 349 NA NA NA NA NA NA NA 446 NA NA NA NA NA NA NA 
1758834000.0 1362.18 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 354 NA NA NA NA NA NA NA 497 NA NA NA NA NA NA NA 
1758834000.0 1363.0 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 356 NA NA NA NA NA NA NA 516 NA NA NA NA NA NA NA 
1758834000.0 1363.17 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 347 NA NA NA NA NA NA NA 451 NA NA NA NA NA NA NA 
1758834000.0 1363.18 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 343 NA NA NA NA NA NA NA 433 NA NA NA NA NA NA NA 
1758834000.0 144.6 NA 484 NA NA NA NA NA NA NA 715 NA NA NA NA NA NA NA 2399 NA NA NA NA NA NA NA 2438 NA NA NA NA NA NA 
1758834000.0 180.1 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 836 NA NA NA NA NA NA NA 790 NA NA NA NA NA NA NA 
1758834000.0 181.1 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 814 NA NA NA NA NA NA NA 733 NA NA NA NA NA NA NA 
1758834000.0 182.1 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 825 NA NA NA NA NA NA NA 860 NA NA NA NA NA NA NA 
1758834000.0 2500.2203 NA 363 NA NA NA NA NA NA NA 563 NA NA NA NA NA NA NA 8327 NA NA NA NA NA NA NA 2914 NA NA NA NA NA NA 
1758834000.0 2500.2204 NA 343 NA NA NA NA NA NA NA 541 NA NA NA NA NA NA NA 20385 NA NA NA NA NA NA NA 5961 NA NA NA NA NA NA 
1758834000.0 2500.2207 NA 278 NA NA NA NA NA NA NA 445 NA NA NA NA NA NA NA 10256 NA NA NA NA NA NA NA 3400 NA NA NA NA NA NA 
1758834000.0 2500.2208 NA 381 NA NA NA NA NA NA NA 593 NA NA NA NA NA NA NA 54187 NA NA NA NA NA NA NA 17350 NA NA NA NA NA NA 
1758834000.0 2500.2304 NA 337 NA NA NA NA NA NA NA 566 NA NA NA NA NA NA NA 15562 NA NA NA NA NA NA NA 4834 NA NA NA NA NA NA 
1758834000.0 2500.2308 NA 322 NA NA NA NA NA NA NA 590 NA NA NA NA NA NA NA 40954 NA NA NA NA NA NA NA 12691 NA NA NA NA NA NA 
