Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 
1761080400.0 1.0 165 182 323 NA NA NA 260 265 473 NA NA NA 1021 252 722 NA NA NA 785 406 1089 NA NA NA 
1761080400.0 10001.0 NA 319 528 0 163 226 NA 447 772 0 240 355 NA 1011 1256 339 300 540 NA 680 1689 527 562 838 
1761080400.0 10002.0 NA 321 531 0 163 227 NA 453 739 0 241 339 NA 1010 1276 334 301 537 NA 663 1784 517 554 865 
1761080400.0 10003.0 NA 321 534 0 162 227 NA 464 763 0 249 340 NA 1009 1316 344 322 550 NA 648 1766 541 625 890 
1761080400.0 10004.0 NA 319 528 0 163 226 NA 443 784 0 238 355 NA 1009 1263 331 301 549 NA 636 1791 521 545 873 
1761080400.0 10005.0 NA 319 529 0 163 227 NA 451 791 0 239 341 NA 1011 1264 339 304 545 NA 647 1702 541 551 861 
1761080400.0 10006.0 NA 319 525 0 161 225 NA 459 757 0 243 334 NA 1005 1268 335 315 522 NA 629 1762 524 613 812 
1761080400.0 10008.0 NA 321 528 0 191 227 NA 452 775 0 305 348 NA 1015 1290 345 307 543 NA 651 1670 538 571 851 
1761080400.0 10009.0 NA 322 529 0 189 228 NA 447 772 0 310 340 NA 1012 1327 339 342 544 NA 635 1673 532 657 855 
1761080400.0 10023.0 NA 322 528 0 161 225 NA 458 740 0 235 346 NA 1014 1250 341 306 545 NA 647 1679 520 608 895 
1761080400.0 10025.0 NA 324 535 0 165 227 NA 467 758 0 245 346 NA 1024 1316 357 319 543 NA 660 1773 574 648 861 
1761080400.0 10026.0 NA 333 556 0 165 230 NA 477 800 0 239 356 NA 1037 1665 384 292 514 NA 632 1673 574 515 735 
1761080400.0 1005.0 NA 223 165 0 0 NA NA 404 271 0 0 NA NA 398 222 73 114 NA NA 649 464 151 344 NA 
1761080400.0 10059.0 NA 335 558 0 168 231 NA 480 790 0 243 342 NA 1040 1952 371 284 543 NA 608 1718 553 474 790 
1761080400.0 10071.0 NA 329 546 0 167 229 NA 447 750 0 245 344 NA 1029 1423 372 294 523 NA 634 1679 555 512 754 
1761080400.0 101.0 184 NA NA NA NA NA 328 NA NA NA NA NA 539 NA NA NA NA NA 738 NA NA NA NA NA 
1761080400.0 1010.0 NA 99 114 0 NA NA NA 182 183 0 NA NA NA 145 173 121 NA NA NA 352 350 261 NA NA 
1761080400.0 102.0 181 NA NA NA NA NA 308 NA NA NA NA NA 513 NA NA NA NA NA 841 NA NA NA NA NA 
1761080400.0 1020.0 NA 107 91 0 102 NA NA 197 166 0 197 NA NA 183 145 54 193 NA NA 352 313 154 402 NA 
1761080400.0 10224.0 NA 532 805 0 229 NA NA 728 1171 0 349 NA NA 2165 2637 390 528 NA NA 1090 2013 566 776 NA 
1761080400.0 10224.15 NA 536 810 0 256 NA NA 716 1198 0 378 NA NA 2137 2598 388 727 NA NA 1157 2326 569 867 NA 
1761080400.0 10225.0 NA 521 744 0 229 NA NA 719 1144 0 348 NA NA 2124 2213 374 525 NA NA 1129 1923 568 790 NA 
1761080400.0 103.0 124 0 0 NA NA NA 189 0 0 NA NA NA 383 89 968 NA NA NA 461 252 1334 NA NA NA 
1761080400.0 1040.1 NA 170 93 0 NA NA NA 298 156 0 NA NA NA 423 149 88 NA NA NA 711 371 192 NA NA 
1761080400.0 1041.0 NA 168 99 0 NA NA NA 282 169 0 NA NA NA 358 149 59 NA NA NA 683 339 143 NA NA 
1761080400.0 1042.0 NA 169 96 0 NA NA NA 297 163 0 NA NA NA 492 159 59 NA NA NA 754 367 149 NA NA 
1761080400.0 10424.0 NA 284 507 0 NA NA NA 423 767 0 NA NA NA 293 1378 373 NA NA NA 443 1676 599 NA NA 
1761080400.0 1046.0 NA 111 97 0 NA NA NA 206 163 0 NA NA NA 213 156 53 NA NA NA 349 379 141 NA NA 
1761080400.0 1047.0 NA 107 115 0 NA NA NA 203 185 0 NA NA NA 224 186 63 NA NA NA 395 364 149 NA NA 
1761080400.0 1048.0 NA 112 105 0 NA NA NA 206 177 0 NA NA NA 219 175 54 NA NA NA 368 317 137 NA NA 
1761080400.0 1049.0 NA 122 0 NA NA NA NA 219 0 NA NA NA NA 840 124 NA NA NA NA 1099 318 NA NA NA 
1761080400.0 105.0 165 183 125 NA NA NA 261 255 199 NA NA NA 1042 265 215 NA NA NA 815 499 466 NA NA NA 
1761080400.0 1052.0 NA 222 165 0 NA NA NA 411 262 0 NA NA NA 403 221 56 NA NA NA 703 476 148 NA NA 
1761080400.0 1052.1 NA 154 0 NA NA NA NA 274 0 NA NA NA NA 208 58 NA NA NA NA 441 146 NA NA NA 
1761080400.0 106.0 124 0 0 NA NA NA 184 0 0 NA NA NA 379 89 985 NA NA NA 436 253 1336 NA NA NA 
1761080400.0 10801.0 NA 311 528 0 163 225 NA 427 775 0 239 345 NA 986 1288 335 309 550 NA 631 1752 520 600 828 
1761080400.0 10802.0 NA 312 527 0 161 227 NA 435 784 0 239 338 NA 990 1258 339 321 547 NA 631 1711 526 654 860 
1761080400.0 10803.0 NA 312 531 0 161 227 NA 432 731 0 241 353 NA 991 1304 339 300 555 NA 626 1696 516 565 898 
1761080400.0 10804.0 NA 312 528 0 164 226 NA 443 765 0 245 352 NA 988 1250 336 301 556 NA 654 1674 534 551 833 
1761080400.0 10804.31 NA 311 0 NA NA NA NA 431 0 NA NA NA NA 996 902 NA NA NA NA 686 1439 NA NA NA 
1761080400.0 10805.0 NA 312 527 0 162 227 NA 427 787 0 241 346 NA 991 1263 336 334 570 NA 641 1813 538 649 912 
1761080400.0 10805.31 NA 310 0 NA NA NA NA 440 0 NA NA NA NA 994 903 NA NA NA NA 681 1501 NA NA NA 
1761080400.0 10806.0 NA 313 524 0 162 226 NA 443 748 0 242 341 NA 998 1247 338 322 544 NA 672 1690 542 680 801 
1761080400.0 10807.0 NA 313 524 0 189 227 NA 439 750 0 309 349 NA 989 1294 341 335 536 NA 615 1719 553 643 910 
1761080400.0 10808.0 NA 313 530 0 189 228 NA 447 747 0 307 350 NA 994 1298 342 341 540 NA 655 1704 555 690 849 
1761080400.0 10809.0 NA 313 534 0 190 227 NA 447 742 0 310 346 NA 986 1313 343 315 563 NA 624 1751 541 619 884 
1761080400.0 10823.0 NA 311 529 0 161 224 NA 445 775 0 242 344 NA 988 1253 350 309 537 NA 649 1726 541 605 831 
