Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 
1741474800.0 111.0 157 170 355 NA 261 236 472 NA 568 150 618 NA 445 161 613 NA 
1741474800.0 12034.0 NA 354 NA NA NA 488 NA NA NA 687 NA NA NA 698 NA NA 
1741474800.0 126.0 128 165 359 NA 211 229 489 NA 518 169 633 NA 462 171 722 NA 
1741474800.0 127.0 121 165 350 NA 196 231 476 NA 383 164 610 NA 410 150 714 NA 
1741474800.0 130.0 124 165 351 NA 197 231 470 NA 292 163 608 NA 374 191 647 NA 
1741474800.0 131.0 121 164 348 NA 199 227 482 NA 417 164 618 NA 488 206 734 NA 
1741474800.0 136.9 NA 247 231 340 NA 380 337 469 NA 3501 537 704 NA 7831 1191 1544 
1741474800.0 4.28 NA 126 365 0 NA 181 480 0 NA 112 1354 697 NA 381 1414 781 
1741474800.0 4001.0 NA 231 462 NA NA 330 613 NA NA 383 999 NA NA 456 914 NA 
1741474800.0 511.0 78 0 NA NA 122 0 NA NA 2531 72 NA NA 6190 186 NA NA 
1741474800.0 534.0 194 0 NA NA 287 0 NA NA 578 73 NA NA 1233 98 NA NA 
