Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1699138800.0 10224.15 NA 462 745 0 186 NA NA 621 1148 0 271 NA NA 3258 3121 480 647 NA NA 1923 2896 1382 1251 NA
1699138800.0 103.0 115 0 0 NA NA NA 191 0 0 NA NA NA 533 131 1085 NA NA NA 826 397 2218 NA NA NA
1699138800.0 106.0 107 0 0 NA NA NA 191 0 0 NA NA NA 543 125 1088 NA NA NA 1130 343 1603 NA NA NA
1699138800.0 107.0 148 169 356 NA NA NA 267 234 489 NA NA NA 1735 326 1372 NA NA NA 1260 743 2304 NA NA NA
1699138800.0 108.0 153 167 363 NA NA NA 270 240 496 NA NA NA 2125 344 1383 NA NA NA 1273 1102 1963 NA NA NA
1699138800.0 10804.31 NA 265 504 0 144 154 NA 444 779 0 206 231 NA 1698 1607 441 335 525 NA 1250 3542 1252 1224 1120
1699138800.0 10842.0 NA 278 476 0 172 142 NA 463 829 0 283 220 NA 1704 1604 464 501 523 NA 1378 2232 1220 1562 1186
1699138800.0 109.0 158 170 364 NA NA NA 265 238 496 NA NA NA 2199 339 1430 NA NA NA 1591 712 2573 NA NA NA
1699138800.0 110.0 120 165 350 NA NA NA 196 233 455 NA NA NA 587 311 1259 NA NA NA 1199 815 1801 NA NA NA
1699138800.0 11024.15 NA 506 852 0 180 NA NA 695 1226 0 262 NA NA 4497 3977 488 648 NA NA 2574 3303 1084 1083 NA
1699138800.0 11024.6 NA 519 854 0 148 NA NA 714 1204 0 234 NA NA 4204 3612 482 541 NA NA 2359 3381 1041 866 NA
1699138800.0 111.0 153 158 348 NA NA NA 262 227 486 NA NA NA 1104 291 1332 NA NA NA 1430 572 2578 NA NA NA
1699138800.0 112.0 145 163 346 NA NA NA 254 234 465 NA NA NA 1408 331 1349 NA NA NA 1240 746 3175 NA NA NA
1699138800.0 113.0 142 161 352 NA NA NA 265 231 482 NA NA NA 1589 345 1335 NA NA NA 1246 1190 2145 NA NA NA
1699138800.0 114.0 151 167 348 NA NA NA 266 237 482 NA NA NA 1615 337 1343 NA NA NA 1708 872 2053 NA NA NA
1699138800.0 115.0 128 170 354 NA NA NA 269 240 483 NA NA NA 1785 336 1378 NA NA NA 1155 576 2323 NA NA NA
1699138800.0 11603.0 NA 353 606 0 156 NA NA 525 871 0 229 NA NA 1347 2585 571 582 NA NA 1952 4578 1092 882 NA
1699138800.0 11607.0 NA 380 585 0 182 NA NA 507 855 0 263 NA NA 1106 2534 560 621 NA NA 1555 4157 783 1052 NA
1699138800.0 11608.0 NA 350 614 0 180 NA NA 518 876 0 263 NA NA 1340 2513 588 627 NA NA 1331 4257 1093 1459 NA
1699138800.0 11609.0 NA 357 601 0 177 NA NA 536 859 0 261 NA NA 1356 2523 594 646 NA NA 1376 4194 972 2115 NA
1699138800.0 11634.911 120 367 621 0 180 NA 231 536 888 0 264 NA 3034 2346 3487 1060 1117 NA 1701 1967 3032 1317 1260 NA
1699138800.0 11634.914 137 397 639 0 179 NA 210 528 863 0 251 NA 2577 1403 2740 592 576 NA 1994 1654 3928 794 1005 NA
1699138800.0 11650.0 NA 390 591 0 181 NA NA 553 859 0 266 NA NA 1321 2639 596 672 NA NA 1635 3820 1055 1157 NA
1699138800.0 11650.911 131 387 611 0 184 NA 233 526 844 0 270 NA 1636 2044 3256 1060 1144 NA 1208 1390 2921 1193 953 NA
1699138800.0 118.0 159 170 340 NA NA NA 266 234 502 NA NA NA 2436 346 1427 NA NA NA 1203 443 1679 NA NA NA
1699138800.0 11834.13 NA 675 1214 0 NA NA NA 1023 1718 0 NA NA NA 4525 7969 635 NA NA NA 3013 6060 938 NA NA
1699138800.0 11834.24 NA 324 562 0 NA NA NA 435 809 0 NA NA NA 838 2394 576 NA NA NA 2284 3902 774 NA NA
1699138800.0 11846.0 NA 649 1051 0 NA NA NA 959 1467 0 NA NA NA 4520 5805 636 NA NA NA 3195 5034 994 NA NA
1699138800.0 119.0 154 168 353 NA NA NA 259 230 486 NA NA NA 1179 313 1334 NA NA NA 1004 466 2276 NA NA NA
1699138800.0 11925.0 NA 694 1076 0 NA NA NA 978 1532 0 NA NA NA 4897 6037 625 NA NA NA 3611 5467 877 NA NA
1699138800.0 120.0 126 164 347 NA NA NA 214 232 463 NA NA NA 508 302 1253 NA NA NA 588 701 1668 NA NA NA
1699138800.0 121.0 147 175 356 NA NA NA 265 245 509 NA NA NA 2648 349 1474 NA NA NA 1209 437 1711 NA NA NA
1699138800.0 122.0 113 0 0 NA NA NA 193 0 0 NA NA NA 531 124 1083 NA NA NA 1015 318 2324 NA NA NA
1699138800.0 123.1 426 NA NA NA NA NA 592 NA NA NA NA NA 871 NA NA NA NA NA 1064 NA NA NA NA NA
1699138800.0 123.2 432 NA NA NA NA NA 582 NA NA NA NA NA 953 NA NA NA NA NA 1021 NA NA NA NA NA
1699138800.0 123.3 346 NA NA NA NA NA 468 NA NA NA NA NA 727 NA NA NA NA NA 936 NA NA NA NA NA
1699138800.0 124.1 412 NA NA NA NA NA 550 NA NA NA NA NA 731 NA NA NA NA NA 995 NA NA NA NA NA
1699138800.0 124.2 425 NA NA NA NA NA 550 NA NA NA NA NA 797 NA NA NA NA NA 1065 NA NA NA NA NA
1699138800.0 124.4 409 NA NA NA NA NA 533 NA NA NA NA NA 748 NA NA NA NA NA 858 NA NA NA NA NA
1699138800.0 124.5 416 NA NA NA NA NA 521 NA NA NA NA NA 753 NA NA NA NA NA 929 NA NA NA NA NA
1699138800.0 124.6 350 NA NA NA NA NA 446 NA NA NA NA NA 740 NA NA NA NA NA 932 NA NA NA NA NA
1699138800.0 12434.0 NA 364 600 0 180 NA NA 559 876 0 262 NA NA 1673 2815 589 635 NA NA 2260 3851 864 952 NA
1699138800.0 125.0 157 169 347 NA NA NA 269 232 454 NA NA NA 1739 334 1305 NA NA NA 1601 619 1781 NA NA NA
1699138800.0 126.0 123 166 352 NA NA NA 208 227 485 NA NA NA 1063 314 1303 NA NA NA 1377 882 2491 NA NA NA
1699138800.0 127.0 123 163 346 NA NA NA 195 225 487 NA NA NA 748 311 1261 NA NA NA 1179 1044 1861 NA NA NA
1699138800.0 128.0 121 161 309 NA NA NA 192 227 481 NA NA NA 497 322 1276 NA NA NA 764 1191 2710 NA NA NA
1699138800.0 129.0 121 156 330 NA NA NA 192 233 463 NA NA NA 509 314 1242 NA NA NA 1010 923 2072 NA NA NA
1699138800.0 130.0 123 163 343 NA NA NA 195 228 460 NA NA NA 540 315 1291 NA NA NA 939 878 2405 NA NA NA
1699138800.0 1301.0 139 221 264 NA NA NA 225 383 425 NA NA NA 1198 944 868 NA NA NA 1358 987 1284 NA NA NA
1699138800.0 13034.0 NA 578 860 0 NA NA NA 773 1157 0 NA NA NA 3570 4554 628 NA NA NA 3092 4326 1087 NA NA
1699138800.0 131.0 120 165 345 NA NA NA 196 230 466 NA NA NA 830 314 1296 NA NA NA 1344 864 2424 NA NA NA
1699138800.0 132.0 155 171 358 NA NA NA 265 245 476 NA NA NA 1926 338 1423 NA NA NA 1502 587 2374 NA NA NA
1699138800.0 13240.303 591 NA NA NA NA NA 808 NA NA NA NA NA 2588 NA NA NA NA NA 1650 NA NA NA NA NA
1699138800.0 1325.5161 NA 240 0 NA NA NA NA 330 0 NA NA NA NA 1452 170 NA NA NA NA 1744 303 NA NA NA
1699138800.0 135.1 589 0 191 NA NA NA 826 0 275 NA NA NA 950 253 581 NA NA NA 1737 760 884 NA NA NA
1699138800.0 135.2 532 0 187 NA NA NA 762 0 264 NA NA NA 810 226 540 NA NA NA 2181 431 868 NA NA NA
1699138800.0 135.6 573 0 164 NA NA NA 844 0 272 NA NA NA 964 247 582 NA NA NA 1662 445 1052 NA NA NA
1699138800.0 136.735 NA 152 369 0 NA NA NA 227 509 0 NA NA NA 408 1870 281 NA NA NA 1027 3003 527 NA NA
1699138800.0 136.9 NA 251 227 341 NA NA NA 379 337 470 NA NA NA 6763 1059 1342 NA NA NA 10151 1376 1568 NA NA
1699138800.0 140.56 NA 747 0 NA NA NA NA 1263 0 NA NA NA NA 17390 350 NA NA NA NA 6192 744 NA NA NA
1699138800.0 144.6 NA 334 NA NA NA NA NA 499 NA NA NA NA NA 2071 NA NA NA NA NA 1696 NA NA NA NA
1699138800.0 150.0 138 204 398 0 NA NA 209 318 669 0 NA NA 1880 514 932 282 NA NA 3283 930 1511 465 NA NA
1699138800.0 2017.9 1008 0 185 NA NA NA 1443 0 266 NA NA NA 1076 265 561 NA NA NA 1819 558 974 NA NA NA
1699138800.0 250399.18 858 NA NA NA NA NA 1309 NA NA NA NA NA 980 NA NA NA NA NA 815 NA NA NA NA NA
