Timestamp WorkflowId PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime2 TotalJobTime3 TotalJobTime4
1688590800.0 10824.502 255 134 0 862 905 0 882 360 143 659 632 219
1688590800.0 10824.503 255 146 0 857 923 0 868 377 161 636 657 237
1688590800.0 10824.504 257 85 NA 872 850 NA 871 206 NA 644 446 NA
1688590800.0 10824.506 256 135 0 859 898 0 857 372 151 620 661 220
1688590800.0 10824.507 256 142 0 874 911 0 854 378 166 636 655 248
1688590800.0 10824.508 256 84 NA 869 846 NA 875 212 NA 640 462 NA
1688590800.0 10824.512 256 110 0 873 719 0 885 249 125 633 348 201
1688590800.0 10824.513 256 111 0 863 721 0 877 252 117 656 361 188
1688590800.0 10824.514 256 76 NA 869 675 NA 889 117 NA 649 190 NA
1688590800.0 10824.522 256 102 0 881 684 0 877 242 124 636 346 198
1688590800.0 10824.523 257 103 0 865 689 0 886 245 123 645 337 201
1688590800.0 10824.524 257 71 NA 870 645 NA 868 113 NA 637 181 NA
1688590800.0 10824.582 256 176 0 875 964 0 881 431 169 639 679 247
1688590800.0 10824.583 255 187 0 865 986 0 862 427 178 616 678 252
1688590800.0 10824.586 256 178 0 865 963 0 873 431 174 616 710 251
1688590800.0 10824.587 255 188 0 863 973 0 859 448 176 599 694 258
1688590800.0 10824.592 256 624 0 879 1712 0 863 1302 315 653 1434 396
1688590800.0 10824.593 257 630 0 872 1722 0 857 1336 314 624 1480 396
1688590800.0 10824.596 255 587 0 853 1696 0 865 1310 308 647 1468 388
1688590800.0 10824.597 256 631 0 858 1710 0 866 1346 317 611 1481 400
1688590800.0 10842.502 250 130 0 863 896 0 870 354 140 659 640 209
1688590800.0 10842.503 250 137 0 850 917 0 877 354 151 660 632 223
1688590800.0 10842.504 251 84 NA 863 850 NA 868 209 NA 662 435 NA
1688590800.0 10842.506 250 133 0 853 897 0 857 353 145 617 641 216
1688590800.0 10842.507 249 143 0 863 918 0 863 381 150 636 683 228
1688590800.0 10842.508 251 84 NA 865 851 NA 871 212 NA 611 439 NA
1688590800.0 11634.502 231 138 0 853 913 0 302 286 152 247 387 228
1688590800.0 11634.503 232 146 0 846 920 0 301 279 151 256 376 218
1688590800.0 11634.504 234 87 NA 850 857 NA 296 133 NA 239 214 NA
1688590800.0 11634.506 234 138 0 837 907 0 304 272 149 256 363 216
1688590800.0 11634.507 235 144 0 838 924 0 295 295 151 242 395 214
1688590800.0 11634.508 233 87 NA 835 866 NA 295 131 NA 242 203 NA
1688590800.0 11634.512 236 108 0 840 719 0 299 249 123 250 353 199
1688590800.0 11634.513 231 110 0 845 724 0 290 260 118 238 370 191
1688590800.0 11634.514 234 76 NA 835 672 NA 296 127 NA 252 204 NA
1688590800.0 11634.522 231 104 0 855 689 0 302 257 122 245 363 198
1688590800.0 11634.523 234 105 0 848 688 0 302 253 119 245 363 188
1688590800.0 11634.524 234 72 NA 843 645 NA 290 111 NA 238 188 NA
1688590800.0 11634.582 234 184 0 834 974 0 302 341 179 245 422 259
1688590800.0 11634.583 233 192 0 845 977 0 293 360 182 248 416 262
1688590800.0 11634.586 234 183 0 841 975 0 293 354 174 236 424 248
1688590800.0 11634.587 233 194 0 844 979 0 301 368 182 244 447 258
1688590800.0 11634.592 232 585 0 835 1502 0 293 1251 316 239 1224 399
1688590800.0 11634.593 234 595 0 849 1515 0 300 1258 315 241 1237 398
1688590800.0 11634.596 232 564 0 846 1501 0 298 1254 318 257 1225 401
1688590800.0 11634.597 235 596 0 834 1513 0 293 1258 312 239 1217 397
1688590800.0 11650.502 231 137 0 840 905 0 279 280 152 253 388 231
1688590800.0 11650.503 227 145 0 844 932 0 278 291 152 237 385 225
1688590800.0 11650.504 227 89 NA 838 864 NA 290 133 NA 252 208 NA
1688590800.0 11650.506 227 138 0 832 916 0 283 282 145 240 397 209
1688590800.0 11650.507 230 148 0 851 928 0 281 271 149 241 379 218
1688590800.0 11650.508 229 89 NA 837 860 NA 280 137 NA 227 214 NA
1688590800.0 12434.502 388 161 0 1240 937 0 795 355 149 560 464 222
1688590800.0 12434.503 384 167 0 1240 950 0 810 349 155 589 441 228
1688590800.0 12434.504 388 121 NA 1249 886 NA 819 189 NA 586 267 NA
1688590800.0 12434.506 383 159 0 1249 931 0 801 347 151 572 468 225
1688590800.0 12434.507 385 168 0 1225 952 0 796 351 166 568 443 241
1688590800.0 12434.508 381 119 NA 1257 881 NA 819 190 NA 593 264 NA
1688590800.0 12434.512 381 140 0 1251 753 0 819 320 124 582 430 202
1688590800.0 12434.513 380 145 0 1230 763 0 798 313 125 564 426 197
1688590800.0 12434.514 387 108 NA 1240 711 NA 809 181 NA 588 266 NA
