Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9 
1788040800.0 1.0 135 152 235 NA NA NA NA NA NA 259 229 383 NA NA NA NA NA NA 904 228 565 NA NA NA NA NA NA 580 286 709 NA NA NA NA NA NA 
1788040800.0 10.0 NA 186 358 0 NA NA NA NA NA NA 291 522 0 NA NA NA NA NA NA 793 1501 201 NA NA NA NA NA NA 392 1067 233 NA NA NA NA NA 
1788040800.0 1000.0 NA 320 206 0 98 NA NA NA NA NA 511 321 0 164 NA NA NA NA NA 1520 446 186 169 NA NA NA NA NA 1234 540 278 208 NA NA NA NA 
1788040800.0 10001.0 NA 261 429 0 138 147 NA NA NA NA 369 628 0 201 242 NA NA NA NA 662 775 204 171 260 NA NA NA NA 357 917 302 236 304 NA NA NA 
1788040800.0 10002.0 NA 260 432 0 138 149 NA NA NA NA 358 624 0 206 244 NA NA NA NA 632 772 201 165 252 NA NA NA NA 362 863 229 203 288 NA NA NA 
1788040800.0 10003.0 NA 261 433 0 138 149 NA NA NA NA 369 621 0 201 245 NA NA NA NA 640 801 201 169 260 NA NA NA NA 358 911 252 219 291 NA NA NA 
1788040800.0 10004.0 NA 258 406 0 137 149 NA NA NA NA 353 648 0 209 233 NA NA NA NA 642 784 201 173 258 NA NA NA NA 374 1033 248 247 320 NA NA NA 
1788040800.0 10005.0 NA 263 433 0 138 147 NA NA NA NA 372 644 0 211 238 NA NA NA NA 642 789 206 174 254 NA NA NA NA 366 915 235 231 298 NA NA NA 
1788040800.0 10006.0 NA 259 427 0 136 144 NA NA NA NA 365 617 0 208 238 NA NA NA NA 654 788 203 178 245 NA NA NA NA 409 891 276 290 308 NA NA NA 
1788040800.0 10007.0 NA 262 430 0 165 146 NA NA NA NA 366 642 0 284 241 NA NA NA NA 651 808 206 186 254 NA NA NA NA 350 1027 230 245 320 NA NA NA 
1788040800.0 10008.0 NA 263 434 0 164 149 NA NA NA NA 371 660 0 285 240 NA NA NA NA 644 806 206 184 257 NA NA NA NA 358 916 238 233 322 NA NA NA 
1788040800.0 10009.0 NA 264 434 0 166 149 NA NA NA NA 381 614 0 284 243 NA NA NA NA 654 832 209 182 260 NA NA NA NA 343 1000 246 237 341 NA NA NA 
1788040800.0 1001.0 NA 304 174 0 0 0 0 0 0 NA 442 261 0 0 0 0 0 0 NA 1083 217 49 37 52 96 63 94 NA 815 235 76 51 71 119 95 122 
1788040800.0 1001.2 NA 506 219 0 0 0 0 NA NA NA 730 340 0 0 0 0 NA NA NA 5173 429 58 71 63 71 NA NA NA 2246 351 84 116 85 90 NA NA 
1788040800.0 1001.3 NA 488 213 0 NA NA NA NA NA NA 721 338 0 NA NA NA NA NA NA 4021 425 131 NA NA NA NA NA NA 1670 339 198 NA NA NA NA NA 
1788040800.0 1002.0 NA 341 113 NA NA NA NA NA NA NA 502 167 NA NA NA NA NA NA NA 1625 119 NA NA NA NA NA NA NA 1565 104 NA NA NA NA NA NA 
1788040800.0 1002.3 NA 476 210 0 NA NA NA NA NA NA 690 332 0 NA NA NA NA NA NA 3164 358 131 NA NA NA NA NA NA 1442 332 194 NA NA NA NA NA 
