Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1688936400.0 1.0 147 168 277 NA NA NA NA NA NA 285 268 413 NA NA NA NA NA NA 1153 305 841 NA NA NA NA NA NA 813 966 1300 NA NA NA NA NA NA
1688936400.0 10.0 NA 205 371 0 NA NA NA NA NA NA 321 552 0 NA NA NA NA NA NA 1322 2732 366 NA NA NA NA NA NA 1319 3064 416 NA NA NA NA NA
1688936400.0 1000.0 NA 382 240 0 106 NA NA NA NA NA 550 351 0 194 NA NA NA NA NA 2239 687 291 239 NA NA NA NA NA 2458 1406 465 480 NA NA NA NA
1688936400.0 10001.0 NA 286 532 0 147 149 NA NA NA NA 405 831 0 228 250 NA NA NA NA 1402 1477 405 311 423 NA NA NA NA 982 3027 753 1143 879 NA NA NA
1688936400.0 10002.0 NA 287 540 0 146 141 NA NA NA NA 395 834 0 232 256 NA NA NA NA 1399 1479 386 304 433 NA NA NA NA 1029 2836 483 482 1120 NA NA NA
1688936400.0 10003.0 NA 288 544 0 146 150 NA NA NA NA 398 849 0 237 249 NA NA NA NA 1401 1480 392 308 428 NA NA NA NA 757 2564 535 735 880 NA NA NA
1688936400.0 10004.0 NA 286 539 0 145 149 NA NA NA NA 393 814 0 232 252 NA NA NA NA 1402 1436 388 310 409 NA NA NA NA 934 2156 640 806 656 NA NA NA
1688936400.0 10005.0 NA 286 540 0 146 147 NA NA NA NA 399 820 0 234 254 NA NA NA NA 1414 1420 392 316 415 NA NA NA NA 1572 1916 700 1154 945 NA NA NA
1688936400.0 10006.0 NA 285 535 0 142 143 NA NA NA NA 394 829 0 228 255 NA NA NA NA 1408 1426 398 326 417 NA NA NA NA 1177 2367 1127 1849 1111 NA NA NA
1688936400.0 10007.0 NA 283 542 0 176 148 NA NA NA NA 412 812 0 304 256 NA NA NA NA 1424 1463 421 309 390 NA NA NA NA 1366 2286 1462 443 439 NA NA NA
1688936400.0 10008.0 NA 279 535 0 176 149 NA NA NA NA 388 837 0 310 250 NA NA NA NA 1421 1459 390 316 425 NA NA NA NA 1201 2268 534 583 2364 NA NA NA
1688936400.0 10009.0 NA 288 541 0 175 150 NA NA NA NA 405 852 0 303 252 NA NA NA NA 1414 1490 397 309 402 NA NA NA NA 951 2242 630 404 523 NA NA NA
1688936400.0 1001.0 NA 336 180 0 0 0 0 0 0 NA 496 286 0 0 0 0 0 0 NA 2036 417 94 69 100 218 120 205 NA 4997 2442 611 223 659 673 463 337
1688936400.0 1001.2 NA 618 229 0 0 0 0 NA NA NA 995 378 0 0 0 0 NA NA NA 9469 725 98 115 121 132 NA NA NA 4947 883 153 678 368 328 NA NA
1688936400.0 1001.3 NA 600 219 0 NA NA NA NA NA NA 918 363 0 NA NA NA NA NA NA 7406 714 235 NA NA NA NA NA NA 3031 1115 602 NA NA NA NA NA
1688936400.0 1002.0 NA 359 134 NA NA NA NA NA NA NA 527 180 NA NA NA NA NA NA NA 2340 195 NA NA NA NA NA NA NA 3111 344 NA NA NA NA NA NA
1688936400.0 1002.3 NA 591 220 0 NA NA NA NA NA NA 913 361 0 NA NA NA NA NA NA 5796 598 214 NA NA NA NA NA NA 2635 731 337 NA NA NA NA NA
1688936400.0 1002.4 NA 598 0 NA NA NA NA NA NA NA 944 0 NA NA NA NA NA NA NA 8958 376 NA NA NA NA NA NA NA 3655 419 NA NA NA NA NA NA
1688936400.0 10023.0 NA 285 537 0 146 145 NA NA NA NA 391 904 0 227 243 NA NA NA NA 1415 1439 412 298 397 NA NA NA NA 1067 2338 944 464 682 NA NA NA
1688936400.0 10024.0 NA 298 559 0 176 153 NA NA NA NA 416 838 0 305 258 NA NA NA NA 1457 1668 415 318 425 NA NA NA NA 1440 2478 578 660 590 NA NA NA
1688936400.0 10024.1 NA 298 303 0 NA NA NA NA NA NA 406 511 0 NA NA NA NA NA NA 1463 651 357 NA NA NA NA NA NA 890 1196 397 NA NA NA NA NA
1688936400.0 10024.2 NA 298 558 0 NA NA NA NA NA NA 400 846 0 NA NA NA NA NA NA 1429 1619 402 NA NA NA NA NA NA 751 1883 477 NA NA NA NA NA
