Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 
1760824800.0 106.0 119 0 0 NA NA 222 0 0 NA NA 346 77 746 NA NA 464 193 961 NA NA 
1760824800.0 111.0 151 173 353 NA NA 283 264 510 NA NA 699 177 1004 NA NA 453 207 1069 NA NA 
1760824800.0 114.0 160 176 351 NA NA 292 271 485 NA NA 1154 253 1059 NA NA 818 261 1080 NA NA 
1760824800.0 119.0 158 172 348 NA NA 283 267 484 NA NA 821 236 1095 NA NA 594 217 1277 NA NA 
1760824800.0 120.0 125 170 339 NA NA 233 261 496 NA NA 356 233 1020 NA NA 371 220 1187 NA NA 
1760824800.0 122.0 97 161 339 NA NA 238 252 506 NA NA 461 172 903 NA NA 480 237 1027 NA NA 
1760824800.0 124.6 306 NA NA NA NA 452 NA NA NA NA 442 NA NA NA NA 675 NA NA NA NA 
1760824800.0 126.0 127 161 332 NA NA 239 268 502 NA NA 499 165 707 NA NA 400 158 908 NA NA 
1760824800.0 127.0 115 165 330 NA NA 224 265 503 NA NA 367 172 695 NA NA 375 208 819 NA NA 
1760824800.0 128.0 122 170 341 NA NA 223 262 494 NA NA 401 233 991 NA NA 433 251 1103 NA NA 
1760824800.0 130.0 124 170 340 NA NA 224 270 510 NA NA 395 239 1026 NA NA 370 248 1107 NA NA 
1760824800.0 131.0 96 171 326 NA NA 225 265 506 NA NA 429 177 727 NA NA 333 195 830 NA NA 
1760824800.0 140.11 NA 182 562 0 NA NA 291 860 0 NA NA 364 8361 218 NA NA 328 3671 318 NA 
1760824800.0 141.043 NA 403 641 0 NA NA 633 974 0 NA NA 2123 13880 232 NA NA 1714 5692 346 NA 
1760824800.0 144.6 NA 362 NA NA NA NA 533 NA NA NA NA 1663 NA NA NA NA 1798 NA NA NA 
1760824800.0 148.0 197 332 619 NA NA 337 477 817 NA NA 7082 828 7042 NA NA 9766 1027 4006 NA NA 
1760824800.0 23634.0 NA 587 528 0 200 NA 796 765 0 312 NA 1402 1353 327 723 NA 1230 1403 486 872 
1760824800.0 2500.0 NA 224 0 NA NA NA 362 0 NA NA NA 13435 86 NA NA NA 5599 121 NA NA 
1760824800.0 2500.001 NA 262 0 NA NA NA 493 0 NA NA NA 14106 96 NA NA NA 5681 133 NA NA 
1760824800.0 250399.0 298 NA NA NA NA 431 NA NA NA NA 428 NA NA NA NA 575 NA NA NA NA 
1760824800.0 4001.0 NA 260 451 NA NA NA 376 602 NA NA NA 437 1551 NA NA NA 469 1443 NA NA 
1760824800.0 4007.0 121 0 0 NA NA 221 0 0 NA NA 426 86 846 NA NA 493 197 1093 NA NA 
1760824800.0 4008.0 120 0 0 NA NA 225 0 0 NA NA 406 79 868 NA NA 417 196 1100 NA NA 
1760824800.0 515.0 29 94 0 NA NA 103 171 0 NA NA 5510 136 108 NA NA 5648 164 168 NA NA 
