Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 
1784412000.0 1.0 134 159 241 NA NA NA 288 258 425 NA NA NA 774 182 492 NA NA NA 620 220 631 NA NA NA 
1784412000.0 10002.0 NA 282 455 0 146 163 NA 392 659 0 234 271 NA 772 878 289 214 294 NA 417 1136 387 365 420 
1784412000.0 10003.0 NA 273 412 0 145 159 NA 395 658 0 236 264 NA 694 967 221 221 343 NA 383 1243 338 313 518 
1784412000.0 10006.0 NA 282 456 0 142 152 NA 402 684 0 225 264 NA 758 965 226 201 288 NA 413 1537 349 295 359 
1784412000.0 10009.0 NA 279 451 0 170 158 NA 395 670 0 305 267 NA 767 905 252 220 301 NA 443 1004 450 324 365 
1784412000.0 1003.0 NA 369 0 NA NA NA NA 643 0 NA NA NA NA 1385 144 NA NA NA NA 963 207 NA NA NA 
1784412000.0 10042.0 NA 277 457 0 180 160 NA 397 668 0 307 270 NA 785 1044 234 218 333 NA 436 1183 500 322 594 
1784412000.0 1005.0 NA 199 151 0 0 NA NA 373 270 0 0 NA NA 249 121 51 70 NA NA 363 175 86 146 NA 
1784412000.0 101.0 153 NA NA NA NA NA 318 NA NA NA NA NA 426 NA NA NA NA NA 375 NA NA NA NA NA 
1784412000.0 102.0 158 NA NA NA NA NA 303 NA NA NA NA NA 390 NA NA NA NA NA 366 NA NA NA NA NA 
1784412000.0 1020.0 NA 80 71 0 78 NA NA 180 170 0 180 NA NA 91 71 38 81 NA NA 160 123 69 146 NA 
1784412000.0 10224.15 NA 468 682 0 169 NA NA 660 951 0 293 NA NA 1532 1609 233 321 NA NA 825 1321 343 424 NA 
1784412000.0 106.0 110 0 0 NA NA NA 222 0 0 NA NA NA 324 64 654 NA NA NA 396 108 938 NA NA NA 
1784412000.0 1060.1 NA 149 NA NA NA NA NA 265 NA NA NA NA NA 311 NA NA NA NA NA 352 NA NA NA NA 
1784412000.0 1060.2 NA 147 NA NA NA NA NA 275 NA NA NA NA NA 258 NA NA NA NA NA 313 NA NA NA NA 
1784412000.0 10802.0 NA 263 439 0 98 167 NA 383 683 0 234 262 NA 780 931 232 208 304 NA 478 1174 337 277 346 
1784412000.0 10805.0 NA 271 450 0 145 163 NA 398 646 0 227 265 NA 702 931 250 220 349 NA 537 1279 344 308 700 
1784412000.0 11024.15 NA 517 804 0 185 NA NA 755 1134 0 286 NA NA 2641 2425 275 382 NA NA 1334 1555 359 388 NA 
1784412000.0 11024.6 NA 522 800 0 165 NA NA 773 1137 0 280 NA NA 2612 2520 295 368 NA NA 1295 1704 389 620 NA 
1784412000.0 11634.1 NA 252 267 0 NA NA NA 383 422 0 NA NA NA 235 369 184 NA NA NA 226 485 270 NA NA 
1784412000.0 11634.601 NA 260 92 483 0 NA NA 373 170 715 0 NA NA 252 61 1134 272 NA NA 326 128 1079 339 NA 
1784412000.0 11634.7 NA 256 474 0 NA NA NA 377 720 0 NA NA NA 317 1225 294 NA NA NA 282 1239 517 NA NA 
1784412000.0 123.1 361 NA NA NA NA NA 539 NA NA NA NA NA 480 NA NA NA NA NA 560 NA NA NA NA NA 
1784412000.0 123.2 360 NA NA NA NA NA 545 NA NA NA NA NA 517 NA NA NA NA NA 526 NA NA NA NA NA 
1784412000.0 123.3 310 NA NA NA NA NA 445 NA NA NA NA NA 395 NA NA NA NA NA 403 NA NA NA NA NA 
1784412000.0 124.1 341 NA NA NA NA NA 509 NA NA NA NA NA 426 NA NA NA NA NA 503 NA NA NA NA NA 
1784412000.0 124.2 357 NA NA NA NA NA 544 NA NA NA NA NA 438 NA NA NA NA NA 438 NA NA NA NA NA 
1784412000.0 124.4 345 NA NA NA NA NA 528 NA NA NA NA NA 417 NA NA NA NA NA 482 NA NA NA NA NA 
1784412000.0 124.5 347 NA NA NA NA NA 533 NA NA NA NA NA 424 NA NA NA NA NA 482 NA NA NA NA NA 
1784412000.0 124.6 294 NA NA NA NA NA 454 NA NA NA NA NA 427 NA NA NA NA NA 580 NA NA NA NA NA 
1784412000.0 12434.7 NA 432 564 0 NA NA NA 604 861 0 NA NA NA 1182 1655 331 NA NA NA 649 1786 445 NA NA 
1784412000.0 12634.0 NA 751 1047 0 NA NA NA 1089 1533 0 NA NA NA 2866 3185 296 NA NA NA 1332 1948 335 NA NA 
1784412000.0 13034.99 NA 398 603 662 0 NA NA 600 840 952 0 NA NA 1438 802 2032 293 NA NA 1322 628 1812 363 NA 
