Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1699221600.0 1.0 146 159 247 NA NA NA 270 242 402 NA NA NA 1197 313 851 NA NA NA 1185 803 1064 NA NA NA
1699221600.0 10007.0 NA 288 461 0 171 161 NA 366 646 0 290 240 NA 1386 1443 586 319 451 NA 1146 2108 1238 800 1030
1699221600.0 1002.0 NA 360 133 NA NA NA NA 504 176 NA NA NA NA 2250 182 NA NA NA NA 1734 184 NA NA NA
1699221600.0 1003.0 NA 376 0 NA NA NA NA 640 0 NA NA NA NA 2398 281 NA NA NA NA 1682 458 NA NA NA
1699221600.0 1005.0 NA 211 157 0 0 NA NA 362 249 0 0 NA NA 467 206 89 111 NA NA 542 375 163 765 NA
1699221600.0 101.0 173 NA NA NA NA NA 296 NA NA NA NA NA 710 NA NA NA NA NA 700 NA NA NA NA NA
1699221600.0 1010.0 NA 84 100 0 NA NA NA 150 160 0 NA NA NA 134 182 170 NA NA NA 426 794 412 NA NA
1699221600.0 102.0 169 NA NA NA NA NA 285 NA NA NA NA NA 668 NA NA NA NA NA 830 NA NA NA NA NA
1699221600.0 1020.0 NA 90 80 0 82 NA NA 161 146 0 159 NA NA 162 126 61 166 NA NA 304 311 110 502 NA
1699221600.0 1040.1 NA 121 78 0 NA NA NA 191 135 0 NA NA NA 358 139 105 NA NA NA 1119 394 196 NA NA
1699221600.0 1041.0 NA 121 83 0 NA NA NA 189 145 0 NA NA NA 220 146 75 NA NA NA 429 359 275 NA NA
1699221600.0 1042.0 NA 120 80 0 NA NA NA 191 140 0 NA NA NA 349 148 73 NA NA NA 622 430 165 NA NA
1699221600.0 1043.0 NA 103 84 0 NA NA NA 172 146 0 NA NA NA 252 143 64 NA NA NA 456 343 153 NA NA
1699221600.0 1044.0 NA 103 101 0 NA NA NA 172 170 0 NA NA NA 247 185 77 NA NA NA 290 354 270 NA NA
1699221600.0 1045.0 NA 103 101 0 NA NA NA 174 167 0 NA NA NA 256 167 69 NA NA NA 454 283 226 NA NA
1699221600.0 105.0 157 173 82 NA NA NA 266 250 136 NA NA NA 1264 294 126 NA NA NA 953 479 191 NA NA NA
1699221600.0 1052.0 NA 209 159 0 NA NA NA 351 251 0 NA NA NA 458 215 72 NA NA NA 584 477 173 NA NA
1699221600.0 1052.1 NA 143 0 NA NA NA NA 240 0 NA NA NA NA 191 69 NA NA NA NA 331 182 NA NA NA
1699221600.0 1060.1 NA 154 NA NA NA NA NA 254 NA NA NA NA NA 541 NA NA NA NA NA 1026 NA NA NA NA
1699221600.0 1060.2 NA 158 NA NA NA NA NA 251 NA NA NA NA NA 441 NA NA NA NA NA 580 NA NA NA NA
