Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1699308000.0 1.0 158 172 244 NA NA 267 244 398 NA NA 1241 296 926 NA NA 869 375 1897 NA NA
1699308000.0 103.0 122 0 0 NA NA 202 0 0 NA NA 579 127 1210 NA NA 871 507 1703 NA NA
1699308000.0 1042.0 NA 120 83 0 NA NA 191 142 0 NA NA 356 131 65 NA NA 572 209 143 NA
1699308000.0 10804.31 NA 272 443 NA NA NA 379 653 NA NA NA 1529 1546 NA NA NA 1497 4138 NA NA
1699308000.0 117.0 148 159 347 NA NA 267 249 492 NA NA 1915 340 1511 NA NA 1241 457 1923 NA NA
1699308000.0 128.0 125 172 331 NA NA 204 247 476 NA NA 549 313 1378 NA NA 1347 657 2184 NA NA
1699308000.0 130.0 130 174 330 NA NA 215 244 481 NA NA 577 316 1433 NA NA 875 754 2430 NA NA
1699308000.0 1301.0 147 209 297 NA NA 237 281 437 NA NA 1191 306 930 NA NA 845 407 1716 NA NA
1699308000.0 136.9 NA 217 232 334 199 NA 396 346 476 281 NA 6244 952 1197 881 NA 9514 1109 1393 1827
1699308000.0 140.202 NA 244 NA NA NA NA 352 NA NA NA NA 1890 NA NA NA NA 1997 NA NA NA
1699308000.0 144.6 NA 363 NA NA NA NA 515 NA NA NA NA 2606 NA NA NA NA 3756 NA NA NA
1699308000.0 2500.0 NA 217 0 NA NA NA 327 0 NA NA NA 19804 149 NA NA NA 7848 526 NA NA
1699308000.0 2500.3 NA 197 0 NA NA NA 308 0 NA NA NA 9305 150 NA NA NA 11570 366 NA NA
1699308000.0 2500.31 NA 243 0 NA NA NA 423 0 NA NA NA 5488 157 NA NA NA 5561 1082 NA NA
1699308000.0 2500.4 NA 194 0 NA NA NA 306 0 NA NA NA 9264 156 NA NA NA 10701 281 NA NA
1699308000.0 25061.97 994 NA NA NA NA 1488 NA NA NA NA 6923 NA NA NA NA 4091 NA NA NA NA
1699308000.0 4001.0 NA 253 449 NA NA NA 368 617 NA NA NA 705 2188 NA NA NA 1271 2695 NA NA
1699308000.0 4007.0 122 0 0 NA NA 203 0 0 NA NA 580 133 1277 NA NA 939 684 2980 NA NA
1699308000.0 504.0 95 0 NA NA NA 152 0 NA NA NA 215 132 NA NA NA 295 232 NA NA NA
1699308000.0 572.0 84 0 NA NA NA 136 0 NA NA NA 257 157 NA NA NA 344 490 NA NA NA
