Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 
1733612400.0 106.0 122 0 0 NA NA 201 0 0 NA NA 272 53 526 NA NA 359 117 680 NA NA 
1733612400.0 107.0 161 177 358 NA NA 268 251 512 NA NA 771 163 649 NA NA 417 157 717 NA NA 
1733612400.0 108.0 157 176 359 NA NA 270 251 511 NA NA 853 174 725 NA NA 424 173 777 NA NA 
1733612400.0 109.0 166 177 360 NA NA 270 250 508 NA NA 996 175 744 NA NA 492 185 756 NA NA 
1733612400.0 111.0 155 175 352 NA NA 255 250 496 NA NA 559 143 695 NA NA 393 164 685 NA NA 
1733612400.0 11634.1 NA 268 280 0 NA NA 360 406 0 NA NA 196 291 517 NA NA 238 321 753 NA 
1733612400.0 119.0 162 173 352 NA NA 264 248 489 NA NA 615 168 695 NA NA 441 146 658 NA NA 
1733612400.0 120.0 128 170 343 NA NA 223 247 485 NA NA 280 162 650 NA NA 296 174 702 NA NA 
1733612400.0 122.0 121 0 0 NA NA 203 0 0 NA NA 279 53 535 NA NA 337 64 752 NA NA 
1733612400.0 124.4 383 NA NA NA NA 497 NA NA NA NA 332 NA NA NA NA 386 NA NA NA NA 
1733612400.0 12434.7 NA 470 624 0 NA NA 618 868 0 NA NA 900 1193 411 NA NA 540 1195 477 NA 
1733612400.0 126.0 128 173 353 NA NA 214 249 484 NA NA 447 167 664 NA NA 329 150 699 NA NA 
1733612400.0 128.0 125 172 340 NA NA 200 249 492 NA NA 262 162 662 NA NA 265 186 731 NA NA 
1733612400.0 129.0 125 172 341 NA NA 204 243 477 NA NA 262 153 600 NA NA 283 149 629 NA NA 
1733612400.0 1303.0 149 219 323 NA NA 233 299 494 NA NA 1692 169 598 NA NA 900 197 524 NA NA 
1733612400.0 13034.0 NA 807 1096 0 NA NA 1164 1525 0 NA NA 2118 4867 410 NA NA 2014 3257 515 NA 
1733612400.0 1325.1 NA 229 242 0 NA NA 311 373 0 NA NA 174 269 364 NA NA 257 401 412 NA 
1733612400.0 133.0 167 178 368 NA NA 271 257 529 NA NA 1167 179 774 NA NA 522 142 739 NA NA 
1733612400.0 136.761 NA 161 460 0 NA NA 235 760 0 NA NA 232 6761 119 NA NA 357 2483 164 NA 
1733612400.0 136.88811 NA 275 0 NA NA NA 454 0 NA NA NA 855 68 NA NA NA 706 93 NA NA 
1733612400.0 136.9 NA 253 233 333 211 NA 398 346 476 307 NA 3300 494 628 368 NA 7655 1201 1531 429 
1733612400.0 140.008 NA 162 429 0 NA NA 243 616 0 NA NA 73 1018 243 NA NA 125 1063 339 NA 
1733612400.0 140.028 NA 184 523 0 NA NA 264 818 0 NA NA 215 4457 162 NA NA 256 1874 241 NA 
1733612400.0 140.113 NA 0 0 0 NA NA 0 0 0 NA NA 71 857 414 NA NA 114 955 486 NA 
1733612400.0 141.009 NA 0 0 0 NA NA 0 0 0 NA NA 366 2092 443 NA NA 719 3715 543 NA 
1733612400.0 141.045 NA 459 694 0 NA NA 715 1047 0 NA NA 1990 12913 177 NA NA 1434 9494 328 NA 
1733612400.0 144.6 NA 368 NA NA NA NA 511 NA NA NA NA 1159 NA NA NA NA 1523 NA NA NA 
1733612400.0 2017.13 499 0 NA NA NA 649 0 NA NA NA 412 401 NA NA NA 557 624 NA NA NA 
1733612400.0 2018.13 500 0 NA NA NA 643 0 NA NA NA 421 374 NA NA NA 569 409 NA NA NA 
1733612400.0 23.0 NA 206 382 0 NA NA 293 549 0 NA NA 681 1241 353 NA NA 295 844 378 NA 
1733612400.0 2500.3 NA 197 0 NA NA NA 306 0 NA NA NA 4827 73 NA NA NA 3539 102 NA NA 
1733612400.0 250199.17 388 NA NA NA NA 561 NA NA NA NA 962 NA NA NA NA 687 NA NA NA NA 
1733612400.0 250200.1 157 420 355 NA NA 249 550 522 NA NA 847 324 888 NA NA 472 427 745 NA NA 
1733612400.0 25034.114 NA 1459 1981 0 NA NA 1906 3186 0 NA NA 5129 15113 398 NA NA 3919 6086 481 NA 
1733612400.0 250399.0 300 NA NA NA NA 397 NA NA NA NA 290 NA NA NA NA 376 NA NA NA NA 
1733612400.0 25061.97 1092 NA NA NA NA 1528 NA NA NA NA 3298 NA NA NA NA 1782 NA NA NA NA 
1733612400.0 25211.17 141 471 703 0 NA 224 631 938 0 NA 3201 1240 1268 323 NA 2614 819 1106 384 NA 
1733612400.0 25234.911 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 
1733612400.0 4.28 NA 126 365 0 NA NA 193 534 0 NA NA 93 1342 676 NA NA 371 2415 1642 NA 
1733612400.0 4.29 NA 99 379 0 255 NA 165 550 0 342 NA 69 1281 147 491 NA 92 873 172 531 
1733612400.0 4001.0 NA 263 448 NA NA NA 364 642 NA NA NA 350 1088 NA NA NA 379 1131 NA NA 
1733612400.0 4006.0 128 233 414 NA NA 213 312 568 NA NA 356 272 787 NA NA 478 352 796 NA NA 
1733612400.0 4007.0 122 0 0 NA NA 203 0 0 NA NA 275 53 530 NA NA 367 188 656 NA NA 
1733612400.0 4008.0 122 0 0 NA NA 202 0 0 NA NA 275 55 529 NA NA 325 156 659 NA NA 
1733612400.0 5.5 392 0 NA NA NA 529 0 NA NA NA 354 196 NA NA NA 317 237 NA NA NA 
1733612400.0 500200.1 159 280 333 NA NA 246 384 460 NA NA 796 236 914 NA NA 519 353 766 NA NA 
