Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1711404000.0 1001.0 NA 563 331 0 0 0 0 0 0 NA 2097490 2097390 0 0 0 0 0 0 NA 8155 1095 235 111 185 322 456 314 NA 4666 1595 473 229 216 356 498 337
1711404000.0 1002.3 NA 779 342 0 NA NA NA NA NA NA 2097570 2097410 0 NA NA NA NA NA NA 32423 1740 1200 NA NA NA NA NA NA 14714 2226 1932 NA NA NA NA NA
1711404000.0 1005.0 NA 324 246 0 0 NA NA NA NA NA 2097430 2097380 0 0 NA NA NA NA NA 940 360 182 229 NA NA NA NA NA 981 423 390 724 NA NA NA NA
1711404000.0 101.0 339 NA NA NA NA NA NA NA NA 2097420 NA NA NA NA NA NA NA NA 1795 NA NA NA NA NA NA NA NA 1657 NA NA NA NA NA NA NA NA
1711404000.0 1010.0 NA 158 197 0 NA NA NA NA NA NA 2097330 2097310 0 NA NA NA NA NA NA 204 337 310 NA NA NA NA NA NA 530 647 449 NA NA NA NA NA
1711404000.0 102.0 323 NA NA NA NA NA NA NA NA 2097400 NA NA NA NA NA NA NA NA 1641 NA NA NA NA NA NA NA NA 1534 NA NA NA NA NA NA NA NA
1711404000.0 1020.0 NA 170 147 0 168 NA NA NA NA NA 2097330 2097320 0 2097330 NA NA NA NA NA 271 181 108 256 NA NA NA NA NA 644 473 186 510 NA NA NA NA
1711404000.0 103.0 253 0 0 NA NA NA NA NA NA 2097340 0 0 NA NA NA NA NA NA 1156 223 2390 NA NA NA NA NA NA 1004 354 3923 NA NA NA NA NA NA
1711404000.0 1040.0 NA 768 155 0 NA NA NA NA NA NA 2097560 2097310 0 NA NA NA NA NA NA 51351 195 356 NA NA NA NA NA NA 18257 236 397 NA NA NA NA NA
1711404000.0 1040.1 NA 239 154 0 NA NA NA NA NA NA 2097350 2097310 0 NA NA NA NA NA NA 681 194 354 NA NA NA NA NA NA 978 324 456 NA NA NA NA NA
1711404000.0 1041.0 NA 241 182 0 NA NA NA NA NA NA 2097350 2097310 0 NA NA NA NA NA NA 461 256 152 NA NA NA NA NA NA 710 408 238 NA NA NA NA NA
1711404000.0 1042.0 NA 240 167 0 NA NA NA NA NA NA 2097350 2097320 0 NA NA NA NA NA NA 739 234 120 NA NA NA NA NA NA 1468 452 252 NA NA NA NA NA
1711404000.0 10424.0 NA 412 749 0 NA NA NA NA NA NA 2097410 2097580 0 NA NA NA NA NA NA 1243 4393 1356 NA NA NA NA NA NA 1889 5508 2370 NA NA NA NA NA
1711404000.0 1043.0 NA 199 165 0 NA NA NA NA NA NA 2097330 2097320 0 NA NA NA NA NA NA 503 219 114 NA NA NA NA NA NA 503 351 260 NA NA NA NA NA
