Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1710756000.0 1.0 161 178 286 NA NA NA NA NA NA 283 256 412 NA NA NA NA NA NA 1171 297 922 NA NA NA NA NA NA 834 453 1412 NA NA NA NA NA NA
1710756000.0 10.0 NA 215 393 0 NA NA NA NA NA NA 312 558 0 NA NA NA NA NA NA 1251 2616 359 NA NA NA NA NA NA 625 1750 403 NA NA NA NA NA
1710756000.0 1000.0 NA 375 256 0 116 NA NA NA NA NA 521 334 0 178 NA NA NA NA NA 2179 710 284 238 NA NA NA NA NA 2054 815 404 279 NA NA NA NA
1710756000.0 10001.0 NA 295 473 0 157 176 NA NA NA NA 404 651 0 227 267 NA NA NA NA 1362 1372 364 284 456 NA NA NA NA 564 1367 407 316 498 NA NA NA
1710756000.0 10002.0 NA 296 474 0 155 175 NA NA NA NA 398 668 0 223 265 NA NA NA NA 1353 1398 365 285 446 NA NA NA NA 535 1364 474 315 437 NA NA NA
1710756000.0 10003.0 NA 297 475 0 156 178 NA NA NA NA 397 660 0 224 266 NA NA NA NA 1382 1444 364 304 454 NA NA NA NA 610 1733 440 483 439 NA NA NA
1710756000.0 10004.0 NA 297 473 0 155 175 NA NA NA NA 389 671 0 223 264 NA NA NA NA 1363 1339 358 287 448 NA NA NA NA 542 1312 400 327 486 NA NA NA
1710756000.0 10005.0 NA 295 474 0 155 175 NA NA NA NA 399 681 0 224 261 NA NA NA NA 1366 1398 379 284 452 NA NA NA NA 556 1416 770 329 452 NA NA NA
1710756000.0 10006.0 NA 296 458 0 155 170 NA NA NA NA 387 648 0 228 256 NA NA NA NA 1407 1391 381 314 436 NA NA NA NA 606 1424 694 529 492 NA NA NA
1710756000.0 10007.0 NA 297 475 0 185 173 NA NA NA NA 397 666 0 308 263 NA NA NA NA 1384 1440 361 296 437 NA NA NA NA 1162 1713 384 328 458 NA NA NA
1710756000.0 10008.0 NA 297 475 0 187 175 NA NA NA NA 396 650 0 310 267 NA NA NA NA 1359 1439 362 295 438 NA NA NA NA 531 1709 384 322 445 NA NA NA
1710756000.0 10009.0 NA 296 438 0 177 176 NA NA NA NA 400 684 0 300 263 NA NA NA NA 1395 1517 372 326 469 NA NA NA NA 628 2057 447 457 523 NA NA NA
1710756000.0 1001.0 NA 291 192 0 0 0 0 0 0 NA 484 287 0 0 0 0 0 0 NA 1887 365 83 61 91 201 112 203 NA 1828 597 224 117 345 265 180 227
1710756000.0 1001.2 NA 547 235 0 0 0 0 NA NA NA 787 366 0 0 0 0 NA NA NA 9201 721 97 112 112 130 NA NA NA 3830 611 128 259 132 161 NA NA
1710756000.0 1001.3 NA 524 235 0 NA NA NA NA NA NA 739 360 0 NA NA NA NA NA NA 7076 715 219 NA NA NA NA NA NA 2998 561 259 NA NA NA NA NA
1710756000.0 1001.4 NA 532 184 0 0 0 NA NA NA NA 746 293 0 0 0 NA NA NA NA 7251 310 116 112 109 NA NA NA NA 2594 353 230 137 129 NA NA NA
