Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1710712800.0 1.0 159 177 287 NA NA NA NA NA NA 286 252 412 NA NA NA NA NA NA 1278 310 907 NA NA NA NA NA NA 994 579 1218 NA NA NA NA NA NA
1710712800.0 10.0 NA 211 358 0 NA NA NA NA NA NA 308 547 0 NA NA NA NA NA NA 1240 2756 392 NA NA NA NA NA NA 543 2095 563 NA NA NA NA NA
1710712800.0 1000.0 NA 375 256 0 117 NA NA NA NA NA 515 341 0 187 NA NA NA NA NA 2265 733 297 245 NA NA NA NA NA 1909 980 388 299 NA NA NA NA
1710712800.0 10001.0 NA 257 464 0 156 174 NA NA NA NA 401 649 0 228 255 NA NA NA NA 1417 1437 388 317 497 NA NA NA NA 585 1449 458 398 606 NA NA NA
1710712800.0 10002.0 NA 298 430 0 156 176 NA NA NA NA 395 671 0 221 266 NA NA NA NA 1419 1438 377 317 499 NA NA NA NA 555 1380 418 414 672 NA NA NA
1710712800.0 10003.0 NA 258 477 0 156 176 NA NA NA NA 396 644 0 227 270 NA NA NA NA 1491 1575 394 328 510 NA NA NA NA 786 2003 550 605 659 NA NA NA
1710712800.0 10004.0 NA 298 426 0 156 173 NA NA NA NA 384 666 0 229 258 NA NA NA NA 1420 1417 375 330 487 NA NA NA NA 597 1379 411 632 587 NA NA NA
1710712800.0 10005.0 NA 299 430 0 155 174 NA NA NA NA 396 669 0 229 262 NA NA NA NA 1420 1434 373 328 490 NA NA NA NA 587 1460 407 603 583 NA NA NA
1710712800.0 10006.0 NA 296 471 0 156 169 NA NA NA NA 406 665 0 228 256 NA NA NA NA 1425 1421 369 332 469 NA NA NA NA 581 1546 395 639 607 NA NA NA
1710712800.0 10007.0 NA 300 470 0 187 175 NA NA NA NA 406 651 0 299 258 NA NA NA NA 1433 1482 391 329 482 NA NA NA NA 632 1480 471 434 602 NA NA NA
1710712800.0 10008.0 NA 299 426 0 186 174 NA NA NA NA 406 662 0 299 263 NA NA NA NA 1411 1431 400 324 495 NA NA NA NA 555 1370 514 399 694 NA NA NA
1710712800.0 10009.0 NA 300 432 0 185 175 NA NA NA NA 411 672 0 300 265 NA NA NA NA 1422 1464 381 336 491 NA NA NA NA 561 1399 414 557 603 NA NA NA
1710712800.0 1001.0 NA 326 191 0 0 0 0 0 0 NA 480 281 0 0 0 0 0 0 NA 1978 381 88 70 94 210 131 214 NA 2349 573 174 192 158 349 479 437
1710712800.0 1001.2 NA 547 237 0 0 0 0 NA NA NA 776 363 0 0 0 0 NA NA NA 9703 765 107 136 139 153 NA NA NA 3794 838 271 580 293 263 NA NA
1710712800.0 1001.3 NA 519 205 0 NA NA NA NA NA NA 751 359 0 NA NA NA NA NA NA 7255 735 254 NA NA NA NA NA NA 2879 600 412 NA NA NA NA NA
1710712800.0 1001.4 NA 505 185 0 0 0 NA NA NA NA 741 300 0 0 0 NA NA NA NA 7733 351 121 118 122 NA NA NA NA 3509 625 180 153 190 NA NA NA
1710712800.0 1002.0 NA 362 140 NA NA NA NA NA NA NA 527 191 NA NA NA NA NA NA NA 2432 207 NA NA NA NA NA NA NA 2311 312 NA NA NA NA NA NA
1710712800.0 1002.3 NA 463 199 0 NA NA NA NA NA NA 740 355 0 NA NA NA NA NA NA 5869 614 240 NA NA NA NA NA NA 2513 577 346 NA NA NA NA NA
1710712800.0 1002.4 NA 522 0 NA NA NA NA NA NA NA 765 0 NA NA NA NA NA NA NA 8675 414 NA NA NA NA NA NA NA 3254 681 NA NA NA NA NA NA
