Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 
1769295600.0 1020.0 NA 91 86 0 92 NA NA NA 172 157 0 171 NA NA NA 86 68 40 85 NA NA NA 183 151 87 154 NA NA 
1769295600.0 106.0 121 0 0 NA NA NA NA 213 0 0 NA NA NA NA 255 67 628 NA NA NA NA 364 122 902 NA NA NA NA 
1769295600.0 123.1 376 NA NA NA NA NA NA 552 NA NA NA NA NA NA 468 NA NA NA NA NA NA 471 NA NA NA NA NA NA 
1769295600.0 124.4 392 NA NA NA NA NA NA 514 NA NA NA NA NA NA 419 NA NA NA NA NA NA 466 NA NA NA NA NA NA 
1769295600.0 128.0 133 177 337 NA NA NA NA 210 255 510 NA NA NA NA 238 166 725 NA NA NA NA 321 202 796 NA NA NA NA 
1769295600.0 136.902 NA 264 236 243 147 241 245 NA 405 372 363 203 390 396 NA 3122 740 705 175 363 498 NA 6429 1835 1543 336 679 671 
1769295600.0 136.903 NA 293 284 323 151 287 266 NA 457 440 449 231 444 429 NA 4573 2366 1936 367 628 800 NA 10320 6608 3803 508 936 1091 
1769295600.0 136.904 NA 295 273 303 151 274 261 NA 457 448 442 226 446 414 NA 4279 1462 1278 269 512 637 NA 9479 4130 3664 715 991 918 
1769295600.0 141.009 NA 0 0 0 NA NA NA NA 0 0 0 NA NA NA NA 345 2512 513 NA NA NA NA 704 5239 657 NA NA NA 
1769295600.0 144.6 NA 365 NA NA NA NA NA NA 537 NA NA NA NA NA NA 1316 NA NA NA NA NA NA 1514 NA NA NA NA NA 
1769295600.0 25634.0 175 654 600 0 247 NA NA 265 882 860 0 359 NA NA 2528 861 1337 256 398 NA NA 1672 747 1396 400 419 NA NA 
1769295600.0 4001.0 NA 244 435 NA NA NA NA NA 348 653 NA NA NA NA NA 313 1079 NA NA NA NA NA 299 1088 NA NA NA NA 
1769295600.0 4007.0 124 0 0 NA NA NA NA 215 0 0 NA NA NA NA 246 66 613 NA NA NA NA 261 209 742 NA NA NA NA 
1769295600.0 536.0 104 0 NA NA NA NA NA 176 0 NA NA NA NA NA 140 81 NA NA NA NA NA 270 119 NA NA NA NA NA 
