Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1711490400.0 1.0 150 142 291 NA NA NA NA NA NA 285 247 417 NA NA NA NA NA NA 1238 303 863 NA NA NA NA NA NA 1306 621 1098 NA NA NA NA NA NA
1711490400.0 1000.0 NA 374 247 0 116 NA NA NA NA NA 523 349 0 180 NA NA NA NA NA 2179 739 292 234 NA NA NA NA NA 1830 1037 497 256 NA NA NA NA
1711490400.0 10001.0 NA 295 473 0 156 176 NA NA NA NA 402 638 0 223 259 NA NA NA NA 1483 1434 385 318 468 NA NA NA NA 1038 1694 545 475 535 NA NA NA
1711490400.0 10003.0 NA 297 478 0 157 177 NA NA NA NA 403 684 0 227 266 NA NA NA NA 1449 1490 372 295 491 NA NA NA NA 572 1808 415 327 719 NA NA NA
1711490400.0 10004.0 NA 297 473 0 156 173 NA NA NA NA 401 679 0 227 264 NA NA NA NA 1481 1463 382 320 488 NA NA NA NA 743 2111 542 490 701 NA NA NA
1711490400.0 10005.0 NA 297 465 0 156 174 NA NA NA NA 401 651 0 231 260 NA NA NA NA 1487 1468 383 315 478 NA NA NA NA 1051 2000 512 442 526 NA NA NA
1711490400.0 10006.0 NA 296 472 0 155 170 NA NA NA NA 389 648 0 220 260 NA NA NA NA 1453 1389 377 319 440 NA NA NA NA 584 1427 416 463 470 NA NA NA
1711490400.0 10007.0 NA 299 473 0 186 175 NA NA NA NA 401 664 0 303 263 NA NA NA NA 1492 1481 390 333 477 NA NA NA NA 683 1994 496 528 631 NA NA NA
1711490400.0 10008.0 NA 298 476 0 185 175 NA NA NA NA 398 658 0 298 262 NA NA NA NA 1475 1458 390 302 452 NA NA NA NA 595 1539 543 333 479 NA NA NA
1711490400.0 10009.0 NA 298 480 0 187 175 NA NA NA NA 401 663 0 299 263 NA NA NA NA 1491 1492 388 329 478 NA NA NA NA 720 1619 570 478 533 NA NA NA
1711490400.0 1001.0 NA 330 191 0 0 0 0 0 0 NA 462 284 0 0 0 0 0 0 NA 2002 414 83 66 94 212 123 211 NA 1691 762 204 160 301 411 268 300
1711490400.0 1001.2 NA 544 239 0 0 0 0 NA NA NA 793 365 0 0 0 0 NA NA NA 9858 757 101 119 123 144 NA NA NA 3818 766 136 405 170 279 NA NA
1711490400.0 1001.3 NA 526 236 0 NA NA NA NA NA NA 770 356 0 NA NA NA NA NA NA 7350 752 241 NA NA NA NA NA NA 2986 665 382 NA NA NA NA NA
1711490400.0 1001.4 NA 534 183 0 0 0 NA NA NA NA 763 290 0 0 0 NA NA NA NA 7592 348 120 114 109 NA NA NA NA 3265 846 194 143 129 NA NA NA
1711490400.0 1002.0 NA 353 140 NA NA NA NA NA NA NA 511 179 NA NA NA NA NA NA NA 2352 197 NA NA NA NA NA NA NA 2045 187 NA NA NA NA NA NA
1711490400.0 10023.0 NA 298 473 0 155 170 NA NA NA NA 398 646 0 224 257 NA NA NA NA 1491 1402 397 293 462 NA NA NA NA 707 1435 620 333 708 NA NA NA
1711490400.0 10024.0 NA 305 462 0 189 179 NA NA NA NA 402 682 0 303 262 NA NA NA NA 1557 1654 395 312 496 NA NA NA NA 684 1624 421 368 651 NA NA NA
1711490400.0 10025.0 NA 285 477 0 157 176 NA NA NA NA 395 685 0 225 267 NA NA NA NA 1504 1513 403 322 493 NA NA NA NA 738 1825 527 523 701 NA NA NA
1711490400.0 10026.0 NA 308 491 0 157 178 NA NA NA NA 403 667 0 226 261 NA NA NA NA 1536 1843 428 329 497 NA NA NA NA 948 1791 581 589 616 NA NA NA
1711490400.0 1003.0 NA 383 0 NA NA NA NA NA NA NA 648 0 NA NA NA NA NA NA NA 2449 247 NA NA NA NA NA NA NA 1793 274 NA NA NA NA NA NA
1711490400.0 10042.0 NA 300 480 0 189 172 NA NA NA NA 400 679 0 306 266 NA NA NA NA 1550 1616 404 339 507 NA NA NA NA 904 2000 457 503 774 NA NA NA
1711490400.0 1005.0 NA 172 157 0 0 NA NA NA NA NA 363 263 0 0 NA NA NA NA NA 486 216 86 101 NA NA NA NA NA 911 258 112 243 NA NA NA NA
1711490400.0 101.0 168 NA NA NA NA NA NA NA NA 314 NA NA NA NA NA NA NA NA 642 NA NA NA NA NA NA NA NA 550 NA NA NA NA NA NA NA NA
1711490400.0 1010.0 NA 89 108 0 NA NA NA NA NA NA 159 172 0 NA NA NA NA NA NA 123 157 162 NA NA NA NA NA NA 176 189 201 NA NA NA NA NA
1711490400.0 102.0 164 NA NA NA NA NA NA NA NA 288 NA NA NA NA NA NA NA NA 597 NA NA NA NA NA NA NA NA 587 NA NA NA NA NA NA NA NA
1711490400.0 1020.0 NA 97 81 0 89 NA NA NA NA NA 174 156 0 171 NA NA NA NA NA 150 119 59 157 NA NA NA NA NA 201 150 94 284 NA NA NA NA
