Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9 
1735768800.0 1.0 171 178 295 NA NA NA NA NA NA 281 248 416 NA NA NA NA NA NA 664 167 446 NA NA NA NA NA NA 579 176 451 NA NA NA NA NA NA 
1735768800.0 10.0 NA 215 411 0 NA NA NA NA NA NA 307 618 0 NA NA NA NA NA NA 678 1299 169 NA NA NA NA NA NA 375 840 191 NA NA NA NA NA 
1735768800.0 1000.0 NA 383 259 0 116 NA NA NA NA NA 549 354 0 180 NA NA NA NA NA 1082 361 135 123 NA NA NA NA NA 681 385 160 145 NA NA NA NA 
1735768800.0 1001.0 NA 334 193 0 0 0 0 0 0 NA 479 285 0 0 0 0 0 0 NA 933 190 42 34 46 85 58 84 NA 867 224 53 48 72 103 87 101 
1735768800.0 10024.2 NA 306 498 0 NA NA NA NA NA NA 416 733 0 NA NA NA NA NA NA 563 787 180 NA NA NA NA NA NA 334 733 211 NA NA NA NA NA 
1735768800.0 10024.4 NA 312 492 0 NA NA NA NA NA NA 405 737 0 NA NA NA NA NA NA 554 759 176 NA NA NA NA NA NA 263 720 199 NA NA NA NA NA 
1735768800.0 10224.0 NA 494 738 0 183 NA NA NA NA NA 645 1007 0 273 NA NA NA NA NA 1215 1540 211 278 NA NA NA NA NA 611 1058 229 299 NA NA NA NA 
1735768800.0 10224.15 NA 497 695 0 200 NA NA NA NA NA 639 1035 0 295 NA NA NA NA NA 1238 1440 216 326 NA NA NA NA NA 617 1035 244 361 NA NA NA NA 
1735768800.0 10225.0 NA 460 735 0 183 NA NA NA NA NA 649 968 0 279 NA NA NA NA NA 1226 1431 201 292 NA NA NA NA NA 614 1016 219 324 NA NA NA NA 
1735768800.0 103.0 136 169 349 NA NA NA NA NA NA 227 246 496 NA NA NA NA NA NA 281 110 617 NA NA NA NA NA NA 331 144 699 NA NA NA NA NA NA 
