Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 
1728291600.0 101.0 177 NA NA NA NA NA NA 300 NA NA NA NA NA NA 649 NA NA NA NA NA NA 721 NA NA NA NA NA NA 
1728291600.0 102.0 180 NA NA NA NA NA NA 296 NA NA NA NA NA NA 593 NA NA NA NA NA NA 645 NA NA NA NA NA NA 
1728291600.0 123.1 413 NA NA NA NA NA NA 539 NA NA NA NA NA NA 805 NA NA NA NA NA NA 1140 NA NA NA NA NA NA 
1728291600.0 123.2 414 NA NA NA NA NA NA 553 NA NA NA NA NA NA 884 NA NA NA NA NA NA 945 NA NA NA NA NA NA 
1728291600.0 123.3 323 NA NA NA NA NA NA 443 NA NA NA NA NA NA 682 NA NA NA NA NA NA 872 NA NA NA NA NA NA 
1728291600.0 124.1 396 NA NA NA NA NA NA 494 NA NA NA NA NA NA 702 NA NA NA NA NA NA 911 NA NA NA NA NA NA 
1728291600.0 124.2 403 NA NA NA NA NA NA 540 NA NA NA NA NA NA 755 NA NA NA NA NA NA 837 NA NA NA NA NA NA 
1728291600.0 124.4 388 NA NA NA NA NA NA 514 NA NA NA NA NA NA 696 NA NA NA NA NA NA 816 NA NA NA NA NA NA 
1728291600.0 124.5 390 NA NA NA NA NA NA 514 NA NA NA NA NA NA 703 NA NA NA NA NA NA 843 NA NA NA NA NA NA 
1728291600.0 124.6 328 NA NA NA NA NA NA 431 NA NA NA NA NA NA 663 NA NA NA NA NA NA 866 NA NA NA NA NA NA 
1728291600.0 1325.1 NA 258 230 0 NA NA NA NA 346 419 0 NA NA NA NA 409 688 296 NA NA NA NA 430 1237 392 NA NA NA 
1728291600.0 1325.3 NA 258 262 0 NA NA NA NA 352 401 0 NA NA NA NA 402 647 282 NA NA NA NA 508 853 363 NA NA NA 
1728291600.0 135.13 425 0 NA NA NA NA NA 559 0 NA NA NA NA NA 796 273 NA NA NA NA NA 981 386 NA NA NA NA NA 
1728291600.0 136.7803 NA 220 0 NA NA NA NA NA 306 0 NA NA NA NA NA 644 146 NA NA NA NA NA 1049 199 NA NA NA NA 
1728291600.0 136.897 NA 327 129 0 NA NA NA NA 513 200 0 NA NA NA NA 914 195 244 NA NA NA NA 664 246 423 NA NA NA 
1728291600.0 136.901 NA 266 249 266 152 255 245 NA 421 385 358 237 388 370 NA 6557 1415 1107 381 625 924 NA 9997 2458 1518 644 1093 1380 
1728291600.0 136.902 NA 272 245 256 166 218 247 NA 421 358 358 237 367 369 NA 5604 1315 1270 391 639 929 NA 8452 2255 1970 620 996 1262 
1728291600.0 136.903 NA 300 277 322 175 292 265 NA 485 427 443 246 440 379 NA 8073 4181 3559 769 1124 1478 NA 12419 6435 5070 1169 1447 1961 
1728291600.0 136.904 NA 300 283 276 173 290 264 NA 440 427 437 242 408 379 NA 7576 2597 2277 527 872 1217 NA 11327 3683 3791 744 1256 1876 
1728291600.0 138.1 NA 336 156 0 NA NA NA NA 517 252 0 NA NA NA NA 1002 222 245 NA NA NA NA 806 278 340 NA NA NA 
1728291600.0 138.3 NA 74 447 0 NA NA NA NA 121 709 0 NA NA NA NA 52 33572 299 NA NA NA NA 219 21065 428 NA NA NA 
1728291600.0 138.4 NA 412 0 NA NA NA NA NA 602 0 NA NA NA NA NA 1295 331 NA NA NA NA NA 1580 492 NA NA NA NA 
