Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9 
1729242000.0 1.0 153 202 292 NA NA NA NA NA NA 240 273 414 NA NA NA NA NA NA 1131 367 844 NA NA NA NA NA NA 633 370 962 NA NA NA NA NA NA 
1729242000.0 1000.0 NA 389 272 0 113 NA NA NA NA NA 546 374 0 178 NA NA NA NA NA 2267 780 270 216 NA NA NA NA NA 1898 834 410 219 NA NA NA NA 
1729242000.0 10002.0 NA 304 487 0 155 180 NA NA NA NA 430 685 0 219 264 NA NA NA NA 1476 1513 382 284 479 NA NA NA NA 655 1598 868 375 553 NA NA NA 
1729242000.0 10009.0 NA 309 493 0 177 175 NA NA NA NA 410 720 0 295 267 NA NA NA NA 1533 1535 369 333 522 NA NA NA NA 659 1443 428 725 669 NA NA NA 
1729242000.0 1001.0 NA 349 191 0 0 0 0 0 0 NA 510 285 0 0 0 0 0 0 NA 2002 367 75 54 82 199 111 200 NA 1807 452 113 84 154 246 159 261 
1729242000.0 1001.2 NA 567 238 0 0 0 0 NA NA NA 802 367 0 0 0 0 NA NA NA 9104 701 89 99 107 126 NA NA NA 4506 486 113 167 132 180 NA NA 
1729242000.0 1002.0 NA 372 141 NA NA NA NA NA NA NA 527 178 NA NA NA NA NA NA NA 2442 189 NA NA NA NA NA NA NA 2571 161 NA NA NA NA NA NA 
1729242000.0 10024.0 NA 327 523 0 186 181 NA NA NA NA 436 745 0 305 274 NA NA NA NA 1559 1787 391 311 531 NA NA NA NA 906 1879 437 410 811 NA NA NA 
1729242000.0 10026.0 NA 332 526 0 159 182 NA NA NA NA 437 730 0 230 266 NA NA NA NA 1493 1945 396 293 496 NA NA NA NA 709 2148 587 380 619 NA NA NA 
1729242000.0 1005.0 NA 213 162 0 0 NA NA NA NA NA 368 263 0 0 NA NA NA NA NA 473 197 80 94 NA NA NA NA NA 601 324 147 156 NA NA NA NA 
1729242000.0 10059.0 NA 332 529 0 159 183 NA NA NA NA 424 737 0 234 275 NA NA NA NA 1557 2290 393 300 489 NA NA NA NA 1017 2063 498 431 583 NA NA NA 
