Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9 
1725397200.0 1.0 168 178 291 NA NA NA NA NA NA 280 253 410 NA NA NA NA NA NA 1160 329 902 NA NA NA NA NA NA 1471 371 1430 NA NA NA NA NA NA 
1725397200.0 10.0 NA 216 398 0 NA NA NA NA NA NA 308 556 0 NA NA NA NA NA NA 1258 2658 361 NA NA NA NA NA NA 551 1687 405 NA NA NA NA NA 
1725397200.0 1000.0 NA 376 257 0 114 NA NA NA NA NA 522 336 0 179 NA NA NA NA NA 2349 747 293 263 NA NA NA NA NA 2329 766 320 331 NA NA NA NA 
1725397200.0 10001.0 NA 298 481 0 157 179 NA NA NA NA 398 690 0 230 266 NA NA NA NA 1428 1425 385 342 543 NA NA NA NA 585 1361 424 511 787 NA NA NA 
1725397200.0 10002.0 NA 296 484 0 156 181 NA NA NA NA 393 695 0 230 271 NA NA NA NA 1416 1474 377 328 490 NA NA NA NA 623 1409 414 449 521 NA NA NA 
1725397200.0 10003.0 NA 298 486 0 157 155 NA NA NA NA 392 675 0 222 272 NA NA NA NA 1436 1483 401 336 550 NA NA NA NA 663 1371 447 473 745 NA NA NA 
1725397200.0 10004.0 NA 298 479 0 157 180 NA NA NA NA 398 698 0 232 267 NA NA NA NA 1411 1466 399 332 508 NA NA NA NA 644 1416 501 427 549 NA NA NA 
1725397200.0 10005.0 NA 297 483 0 157 180 NA NA NA NA 384 663 0 225 263 NA NA NA NA 1437 1428 385 318 529 NA NA NA NA 622 1334 409 371 613 NA NA NA 
1725397200.0 10006.0 NA 298 479 0 155 178 NA NA NA NA 401 663 0 224 269 NA NA NA NA 1443 1447 381 332 520 NA NA NA NA 658 1414 424 475 592 NA NA NA 
1725397200.0 10007.0 NA 299 482 0 186 180 NA NA NA NA 401 668 0 307 272 NA NA NA NA 1443 1503 399 323 536 NA NA NA NA 621 1395 462 370 665 NA NA NA 
1725397200.0 10008.0 NA 298 482 0 186 179 NA NA NA NA 394 682 0 300 269 NA NA NA NA 1448 1541 376 315 530 NA NA NA NA 602 1557 395 356 599 NA NA NA 
1725397200.0 10009.0 NA 292 485 0 186 181 NA NA NA NA 388 674 0 302 269 NA NA NA NA 1470 1446 379 345 541 NA NA NA NA 805 1325 399 472 727 NA NA NA 
1725397200.0 1001.0 NA 332 193 0 0 0 0 0 0 NA 474 286 0 0 0 0 0 0 NA 2044 406 83 58 92 218 126 224 NA 2193 526 100 71 113 250 149 348 
1725397200.0 1001.2 NA 548 240 0 0 0 0 NA NA NA 785 371 0 0 0 0 NA NA NA 9287 778 110 109 116 132 NA NA NA 4324 585 174 150 132 156 NA NA 
1725397200.0 1001.3 NA 535 214 0 NA NA NA NA NA NA 751 331 0 NA NA NA NA NA NA 7100 407 242 NA NA NA NA NA NA 2604 378 303 NA NA NA NA NA 
1725397200.0 1001.4 NA 542 188 0 0 0 NA NA NA NA 777 292 0 0 0 NA NA NA NA 7455 362 123 130 125 NA NA NA NA 2708 409 149 168 148 NA NA NA 
1725397200.0 1002.0 NA 375 137 NA NA NA NA NA NA NA 530 175 NA NA NA NA NA NA NA 2335 193 NA NA NA NA NA NA NA 1859 183 NA NA NA NA NA NA 
1725397200.0 1002.3 NA 524 235 0 NA NA NA NA NA NA 750 358 0 NA NA NA NA NA NA 6076 632 234 NA NA NA NA NA NA 2510 534 275 NA NA NA NA NA 
1725397200.0 1002.4 NA 538 0 NA NA NA NA NA NA NA 764 0 NA NA NA NA NA NA NA 8476 367 NA NA NA NA NA NA NA 3036 383 NA NA NA NA NA NA 
1725397200.0 10023.0 NA 299 481 0 156 177 NA NA NA NA 399 690 0 227 266 NA NA NA NA 1367 1548 395 310 530 NA NA NA NA 549 1657 458 363 654 NA NA NA 
1725397200.0 10024.0 NA 307 502 0 188 181 NA NA NA NA 405 698 0 303 272 NA NA NA NA 1508 1695 416 343 544 NA NA NA NA 756 1483 460 466 729 NA NA NA 
1725397200.0 10024.1 NA 303 308 0 NA NA NA NA NA NA 412 443 0 NA NA NA NA NA NA 1473 683 395 NA NA NA NA NA NA 708 808 490 NA NA NA NA NA 
1725397200.0 10024.2 NA 310 492 0 NA NA NA NA NA NA 397 679 0 NA NA NA NA NA NA 1424 1605 390 NA NA NA NA NA NA 599 1453 434 NA NA NA NA NA 
1725397200.0 10024.3 NA 308 284 0 NA NA NA NA NA NA 398 409 0 NA NA NA NA NA NA 1483 683 336 NA NA NA NA NA NA 640 752 435 NA NA NA NA NA 
