Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 
1734559200.0 1002.5 NA 132 138 0 0 NA NA NA 211 213 0 0 NA NA NA 117 117 102 56 NA NA NA 186 156 111 101 NA NA 
1734559200.0 106.0 116 0 0 NA NA NA NA 171 0 0 NA NA NA NA 210 165 713 NA NA NA NA 236 216 940 NA NA NA NA 
1734559200.0 120.0 123 205 396 NA NA NA NA 181 286 564 NA NA NA NA 198 251 770 NA NA NA NA 234 252 841 NA NA NA NA 
1734559200.0 126.0 121 202 397 NA NA NA NA 176 282 552 NA NA NA NA 378 263 803 NA NA NA NA 257 300 879 NA NA NA NA 
1734559200.0 136.791 NA 234 517 0 NA NA NA NA 321 710 0 NA NA NA NA 270 1262 117 NA NA NA NA 240 1083 128 NA NA NA 
1734559200.0 136.901 NA 271 255 271 170 259 268 NA 423 387 355 240 397 395 NA 3238 674 531 235 311 455 NA 6897 1225 852 344 389 550 
1734559200.0 136.902 NA 277 251 260 169 257 269 NA 423 364 356 240 397 385 NA 2824 638 627 242 293 509 NA 6037 1132 1111 368 433 599 
1734559200.0 136.903 NA 305 295 339 179 299 286 NA 490 430 446 249 443 417 NA 4166 2020 1641 418 533 721 NA 9284 3932 2334 476 649 872 
1734559200.0 136.904 NA 306 287 321 176 296 287 NA 451 433 440 244 411 417 NA 3910 1295 1108 317 424 610 NA 8337 2612 1878 426 585 763 
1734559200.0 139.005 NA 166 138 NA NA NA NA NA 285 276 NA NA NA NA NA 6586 5375 NA NA NA NA NA 3770 1859 NA NA NA NA 
1734559200.0 140.009 NA 0 0 0 NA NA NA NA 0 0 0 NA NA NA NA 161 1005 209 NA NA NA NA 165 958 228 NA NA NA 
1734559200.0 140.044 NA 232 658 0 NA NA NA NA 323 893 0 NA NA NA NA 356 5913 131 NA NA NA NA 398 2180 141 NA NA NA 
1734559200.0 140.049 NA 235 609 0 NA NA NA NA 318 922 0 NA NA NA NA 333 5978 129 NA NA NA NA 320 2177 141 NA NA NA 
1734559200.0 140.108 NA 232 630 0 NA NA NA NA 327 902 0 NA NA NA NA 382 6403 130 NA NA NA NA 294 2357 141 NA NA NA 
1734559200.0 141.042 NA 234 681 0 NA NA NA NA 327 952 0 NA NA NA NA 331 5704 132 NA NA NA NA 474 2160 149 NA NA NA 
1734559200.0 141.101 NA 235 724 0 NA NA NA NA 313 1000 0 NA NA NA NA 310 4810 133 NA NA NA NA 231 2251 146 NA NA NA 
1734559200.0 144.6 NA 399 NA NA NA NA NA NA 536 NA NA NA NA NA NA 1281 NA NA NA NA NA NA 1141 NA NA NA NA NA 
1734559200.0 2024.300001 NA 433 694 0 NA NA NA NA 609 923 0 NA NA NA NA 897 3615 156 NA NA NA NA 635 1936 169 NA NA NA 
1734559200.0 2500.225 NA 273 NA NA NA NA NA NA 391 NA NA NA NA NA NA 7410 NA NA NA NA NA NA 2672 NA NA NA NA NA 
1734559200.0 2500.228 NA 252 NA NA NA NA NA NA 399 NA NA NA NA NA NA 9964 NA NA NA NA NA NA 3927 NA NA NA NA NA 
