Timestamp WorkflowId PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime2 TotalJobTime3 TotalJobTime4 
1752181200.0 12834.402 335 190 0 902 876 0 530 393 195 457 666 385 
1752181200.0 12834.403 332 197 0 904 882 0 524 378 219 505 458 509 
1752181200.0 12834.406 333 177 0 899 870 0 528 429 206 671 1405 359 
1752181200.0 12834.412 342 147 0 924 782 0 533 404 160 469 1218 364 
1752181200.0 12834.422 334 167 0 918 744 0 521 348 143 518 429 224 
1752181200.0 12834.423 337 153 0 913 749 0 518 432 138 477 945 209 
1752181200.0 141.044406 204 180 0 293 881 0 499 803 155 483 922 601 
1752181200.0 141.044408 211 138 NA 290 830 NA 521 225 NA 407 940 NA 
1752181200.0 141.044412 169 169 0 300 770 0 542 388 175 938 486 751 
1752181200.0 141.044422 204 160 0 294 741 0 507 486 155 322 1421 247 
1752181200.0 141.044423 210 163 0 301 748 0 501 459 165 348 733 269 
1752181200.0 16834.402 517 206 0 1306 903 0 1019 572 193 1119 1368 282 
1752181200.0 16834.403 494 232 0 1292 932 0 1041 517 210 1166 592 318 
1752181200.0 16834.404 484 175 NA 1307 850 NA 1011 285 NA 1050 464 NA 
1752181200.0 16834.406 490 219 0 1332 896 0 1029 511 203 1046 587 296 
1752181200.0 16834.407 484 213 0 1308 920 0 1030 551 223 1076 831 606 
1752181200.0 16834.408 510 175 NA 1306 857 NA 1025 282 NA 1063 428 NA 
1752181200.0 16834.412 487 191 0 1307 828 0 1033 547 162 1032 1343 304 
1752181200.0 16834.413 495 161 0 1333 829 0 1021 609 155 1010 1798 242 
1752181200.0 16834.422 492 189 0 1295 782 0 1040 526 157 1037 872 496 
1752181200.0 16834.424 486 179 NA 1292 747 NA 1012 350 NA 1060 880 NA 
1752181200.0 16850.402 477 217 0 1304 900 0 995 513 207 1144 742 483 
1752181200.0 16850.403 502 209 0 1310 917 0 979 546 210 1060 1122 536 
1752181200.0 16850.404 493 173 NA 1285 849 NA 986 286 NA 1106 598 NA 
1752181200.0 16850.406 509 216 0 1302 897 0 1046 585 214 1506 1401 678 
1752181200.0 16850.407 509 219 0 1306 920 0 984 522 205 1027 849 310 
1752181200.0 16850.408 476 164 NA 1295 849 NA 983 312 NA 1194 1021 NA 
1752181200.0 16861.402 454 196 0 1158 780 0 928 462 163 1002 660 231 
1752181200.0 17034.412 809 493 0 1816 1205 0 3850 1153 155 2265 1234 236 
1752181200.0 17050.407 818 307 0 1843 1031 0 3773 748 242 2355 880 515 
1752181200.0 17061.402 795 267 0 1765 993 0 3695 664 209 2447 951 306 
1752181200.0 29634.402 662 362 0 8018 1210 0 1999 1120 197 2233 2251 297 
1752181200.0 29634.404 612 176 NA 8019 1042 NA 1975 656 NA 2381 1184 NA 
1752181200.0 29634.406 662 359 0 8052 1196 0 1990 1119 195 2180 2040 320 
1752181200.0 29661.402 576 292 0 7823 922 0 1769 1030 190 2081 2376 839 
1752181200.0 29834.404 1213 180 NA 9402 1021 NA 10327 648 NA 5158 1236 NA 
