Timestamp WorkflowId PeakValueRss2 PeakValueRss3 PeakValueVsize2 PeakValueVsize3 TotalJobCPU2 TotalJobCPU3 TotalJobTime2 TotalJobTime3 
1734300000.0 12834.403 349 0 889 0 435 0 2025 0 
1734300000.0 12834.407 345 0 900 0 457 0 2009 0 
1734300000.0 12850.403 347 0 887 0 421 0 2067 0 
1734300000.0 12861.402 335 0 880 0 398 0 1819 0 
1734300000.0 13034.403 610 0 1335 0 2056 0 3051 0 
1734300000.0 13050.403 608 0 1336 0 2144 0 3130 0 
1734300000.0 13050.407 561 0 1380 0 2153 0 3103 0 
1734300000.0 141.008523 219 0 320 0 414 0 863 0 
1734300000.0 141.008583 0 NA 0 NA 0 NA 0 NA 
1734300000.0 29634.403 0 NA 0 NA 0 NA 0 NA 
1734300000.0 29634.404 0 NA 0 NA 0 NA 0 NA 
1734300000.0 29634.406 0 NA 0 NA 0 NA 0 NA 
1734300000.0 29834.402 0 NA 0 NA 0 NA 0 NA 
1734300000.0 29834.403 0 NA 0 NA 0 NA 0 NA 
