Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 
1741989600.0 136.901 NA 275 261 0 NA NA 411 403 0 NA NA 3083 638 0 NA NA 5141 832 0 NA 
1741989600.0 136.902 NA 279 256 0 NA NA 427 391 0 NA NA 2674 619 0 NA NA 4216 1006 0 NA 
1741989600.0 136.903 NA 307 301 0 NA NA 455 434 0 NA NA 3911 1904 0 NA NA 6426 2571 0 NA 
1741989600.0 136.904 NA 308 292 0 NA NA 495 446 0 NA NA 3682 1198 0 NA NA 5951 1677 0 NA 
1741989600.0 1360.0 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 
1741989600.0 140.064 NA 231 671 0 NA NA 326 936 0 NA NA 379 6648 136 NA NA 493 2653 169 NA 
1741989600.0 141.047 NA 234 705 0 NA NA 325 933 0 NA NA 397 10179 147 NA NA 469 3529 196 NA 
1741989600.0 144.6 NA 415 NA NA NA NA 552 NA NA NA NA 1298 NA NA NA NA 1115 NA NA NA 
1741989600.0 24834.911 173 632 700 0 253 237 804 944 0 342 4173 2540 2586 697 444 3053 2330 1961 844 609 
1741989600.0 2500.101 NA 284 0 NA NA NA 497 0 NA NA NA 5892 56 NA NA NA 3613 79 NA NA 
1741989600.0 2500.224 NA 257 NA NA NA NA 370 NA NA NA NA 8000 NA NA NA NA 2390 NA NA NA 
1741989600.0 2500.225 NA 274 NA NA NA NA 419 NA NA NA NA 8794 NA NA NA NA 3990 NA NA NA 
1741989600.0 2500.228 NA 248 NA NA NA NA 397 NA NA NA NA 9367 NA NA NA NA 4302 NA NA NA 
1741989600.0 25210.0 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 
1741989600.0 27234.0 155 634 682 0 245 247 824 907 0 348 2152 907 1240 235 436 1171 583 1105 315 522 
1741989600.0 29634.911 146 591 703 0 254 233 825 896 0 358 4502 2596 2722 772 450 3514 2607 2215 984 585 
1741989600.0 526.0 27 86 NA NA NA 109 118 NA NA NA 4358 69 NA NA NA 4668 76 NA NA NA 
1741989600.0 528.0 27 87 NA NA NA 107 116 NA NA NA 3498 70 NA NA NA 2622 106 NA NA NA 
1741989600.0 529.0 27 85 NA NA NA 106 122 NA NA NA 3449 72 NA NA NA 2696 121 NA NA NA 
1741989600.0 538.0 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 
