Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 
1757106000.0 1.0 140 174 281 NA NA NA NA 242 258 456 NA NA NA NA 733 201 541 NA NA NA NA 487 211 568 NA NA NA NA 
1757106000.0 103.0 127 178 389 NA NA NA NA 190 261 550 NA NA NA NA 328 150 776 NA NA NA NA 377 182 888 NA NA NA NA 
1757106000.0 106.0 121 0 0 NA NA NA NA 177 0 0 NA NA NA NA 280 77 648 NA NA NA NA 279 90 808 NA NA NA NA 
1757106000.0 111.0 129 179 388 NA NA NA NA 190 260 557 NA NA NA NA 329 146 743 NA NA NA NA 427 177 963 NA NA NA NA 
1757106000.0 120.0 127 185 391 NA NA NA NA 198 265 543 NA NA NA NA 284 192 819 NA NA NA NA 315 213 906 NA NA NA NA 
1757106000.0 122.0 121 0 0 NA NA NA NA 176 0 0 NA NA NA NA 309 71 644 NA NA NA NA 333 80 774 NA NA NA NA 
1757106000.0 128.0 121 187 392 NA NA NA NA 175 267 534 NA NA NA NA 258 195 824 NA NA NA NA 285 231 993 NA NA NA NA 
1757106000.0 129.0 122 186 392 NA NA NA NA 177 260 554 NA NA NA NA 262 201 777 NA NA NA NA 293 192 930 NA NA NA NA 
1757106000.0 130.0 125 188 395 NA NA NA NA 180 267 561 NA NA NA NA 295 201 808 NA NA NA NA 303 190 898 NA NA NA NA 
1757106000.0 131.0 127 187 397 NA NA NA NA 201 260 548 NA NA NA NA 408 191 842 NA NA NA NA 332 220 968 NA NA NA NA 
1757106000.0 136.901 NA 234 251 256 143 253 282 NA 411 404 362 219 402 419 NA 3977 871 702 174 381 579 NA 9725 1806 1206 270 644 820 
1757106000.0 136.902 NA 267 250 251 142 241 282 NA 428 392 363 220 402 419 NA 3396 794 806 173 376 667 NA 8479 1586 1472 284 659 931 
1757106000.0 136.903 NA 274 290 324 155 289 313 NA 456 435 448 232 447 487 NA 5050 2423 2176 396 701 1078 NA 12554 5674 3673 532 1142 1523 
1757106000.0 136.904 NA 263 281 309 158 276 313 NA 495 435 441 227 415 487 NA 4849 1560 1411 276 528 795 NA 11807 3540 2695 444 929 1139 
1757106000.0 144.6 NA 414 NA NA NA NA NA NA 581 NA NA NA NA NA NA 1605 NA NA NA NA NA NA 1431 NA NA NA NA NA 
1757106000.0 24834.911 136 629 694 0 271 NA NA 231 863 928 0 374 NA NA 5125 3236 3479 903 716 NA NA 6078 3687 2851 1219 853 NA NA 
1757106000.0 2500.2204 NA 295 NA NA NA NA NA NA 459 NA NA NA NA NA NA 9542 NA NA NA NA NA NA 3259 NA NA NA NA NA 
1757106000.0 2500.2208 NA 300 NA NA NA NA NA NA 527 NA NA NA NA NA NA 29826 NA NA NA NA NA NA 18642 NA NA NA NA NA 
1757106000.0 2500.2308 NA 286 NA NA NA NA NA NA 534 NA NA NA NA NA NA 22567 NA NA NA NA NA NA 14340 NA NA NA NA NA 
1757106000.0 2500.2309 NA 102 NA NA NA NA NA NA 172 NA NA NA NA NA NA 5252 NA NA NA NA NA NA 3266 NA NA NA NA NA 
1757106000.0 2500.3204 NA 322 NA NA NA NA NA NA 445 NA NA NA NA NA NA 8192 NA NA NA NA NA NA 2520 NA NA NA NA NA 
1757106000.0 2500.3205 NA 351 NA NA NA NA NA NA 507 NA NA NA NA NA NA 10719 NA NA NA NA NA NA 3509 NA NA NA NA NA 
1757106000.0 2500.3208 NA 318 NA NA NA NA NA NA 483 NA NA NA NA NA NA 10827 NA NA NA NA NA NA 3641 NA NA NA NA NA 
1757106000.0 25234.0 145 649 725 0 275 NA NA 235 883 962 0 372 NA NA 2639 1171 1673 301 631 NA NA 1490 880 1469 346 649 NA NA 
1757106000.0 26434.0 169 661 732 0 275 NA NA 226 844 971 0 373 NA NA 2321 1121 1661 321 647 NA NA 1283 851 1548 348 657 NA NA 
1757106000.0 27634.0 168 661 729 0 276 NA NA 225 864 941 0 377 NA NA 2554 1197 1565 283 616 NA NA 1332 907 1365 321 650 NA NA 
1757106000.0 28034.0 178 651 728 0 276 NA NA 234 872 947 0 378 NA NA 2150 1069 1621 246 609 NA NA 1017 813 1490 260 662 NA NA 
1757106000.0 29634.772 NA 640 NA NA NA NA NA NA 872 NA NA NA NA NA NA 1457 NA NA NA NA NA NA 1139 NA NA NA NA NA 
1757106000.0 29634.773 NA 680 NA NA NA NA NA NA 916 NA NA NA NA NA NA 1598 NA NA NA NA NA NA 1313 NA NA NA NA NA 
1757106000.0 29634.911 143 630 687 0 268 NA NA 237 886 961 0 393 NA NA 5414 3292 3678 1018 703 NA NA 6199 4767 4114 1448 811 NA NA 
1757106000.0 30034.0 177 645 697 0 266 NA NA 237 852 1004 0 371 NA NA 2562 1288 1809 344 700 NA NA 1462 1062 1536 409 778 NA NA 
1757106000.0 30434.0 180 655 723 0 275 NA NA 236 861 968 0 388 NA NA 2469 1224 1687 287 629 NA NA 1308 868 1751 324 643 NA NA 
1757106000.0 32034.0 176 644 741 0 269 NA NA 236 886 1036 0 373 NA NA 3326 1360 1659 340 749 NA NA 2154 1037 1790 445 806 NA NA 
1757106000.0 32434.0 148 666 746 0 277 NA NA 239 860 965 0 373 NA NA 2314 1233 1696 297 621 NA NA 1180 864 1442 325 632 NA NA 
1757106000.0 33234.0 178 627 726 0 277 NA NA 237 888 947 0 374 NA NA 2426 1196 1686 308 629 NA NA 1335 907 1468 333 655 NA NA 
