Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 
1756328400.0 141.044483 NA 479 0 NA NA NA 3919 0 NA NA NA 534 95 NA NA NA 297 128 NA NA 
1756328400.0 160.03502 163 285 150 697 197 241 402 214 4190 302 2826 318 98 1475 178 2840 286 128 844 208 
1756328400.0 16834.403 NA 683 418 0 NA NA 4207 3844 0 NA NA 569 258 96 NA NA 365 268 114 NA 
1756328400.0 16834.404 NA 685 349 NA NA NA 4199 3740 NA NA NA 566 130 NA NA NA 368 146 NA NA 
1756328400.0 16834.408 NA 683 331 NA NA NA 4199 3725 NA NA NA 572 131 NA NA NA 375 152 NA NA 
1756328400.0 16834.424 NA 670 295 NA NA NA 4173 3668 NA NA NA 547 162 NA NA NA 361 184 NA NA 
1756328400.0 16850.403 NA 682 394 0 NA NA 4226 3824 0 NA NA 528 247 93 NA NA 354 262 111 NA 
1756328400.0 16850.404 NA 664 365 NA NA NA 4175 3759 NA NA NA 534 129 NA NA NA 362 152 NA NA 
1756328400.0 16850.408 NA 629 330 NA NA NA 4112 3724 NA NA NA 528 127 NA NA NA 359 144 NA NA 
1756328400.0 17034.403 NA 1011 455 0 NA NA 4721 3891 0 NA NA 2123 345 106 NA NA 964 295 126 NA 
1756328400.0 17034.404 NA 1018 331 NA NA NA 4691 3729 NA NA NA 2067 130 NA NA NA 953 147 NA NA 
1756328400.0 17034.406 NA 976 468 0 NA NA 4739 3902 0 NA NA 2130 392 107 NA NA 966 308 124 NA 
1756328400.0 17034.407 NA 1035 456 0 NA NA 4779 3886 0 NA NA 2189 409 108 NA NA 968 317 125 NA 
1756328400.0 17034.408 NA 1019 368 NA NA NA 4767 3761 NA NA NA 2134 135 NA NA NA 951 156 NA NA 
1756328400.0 17034.424 NA 1002 296 NA NA NA 4706 3673 NA NA NA 2102 161 NA NA NA 941 165 NA NA 
1756328400.0 17050.403 NA 1066 435 0 NA NA 4760 3869 0 NA NA 2186 333 106 NA NA 1161 294 124 NA 
1756328400.0 17050.404 NA 1005 349 NA NA NA 4728 3743 NA NA NA 2148 128 NA NA NA 961 145 NA NA 
1756328400.0 17050.406 NA 988 443 0 NA NA 4741 3878 0 NA NA 2103 397 105 NA NA 986 313 122 NA 
1756328400.0 17050.407 NA 1040 477 0 NA NA 4712 3912 0 NA NA 2064 380 109 NA NA 959 299 127 NA 
1756328400.0 17050.408 NA 961 367 NA NA NA 4609 3762 NA NA NA 2087 129 NA NA NA 919 146 NA NA 
1756328400.0 29634.403 NA 867 567 0 NA NA 4424 4213 0 NA NA 1010 617 93 NA NA 661 575 111 NA 
1756328400.0 29634.404 NA 843 380 NA NA NA 4396 3918 NA NA NA 1008 384 NA NA NA 660 440 NA NA 
1756328400.0 29634.612 NA 294 343 0 NA NA 412 3753 0 NA NA 437 259 116 NA NA 250 235 134 NA 
1756328400.0 29634.704 NA 679 565 0 NA NA 4182 4203 0 NA NA 1043 629 103 NA NA 825 579 121 NA 
1756328400.0 29834.402 NA 1658 1043 0 NA NA 5539 4873 0 NA NA 5277 1567 106 NA NA 2010 969 122 NA 
1756328400.0 29834.403 NA 1760 1039 0 NA NA 5782 4805 0 NA NA 5543 1626 115 NA NA 2301 878 137 NA 
1756328400.0 29834.404 NA 1657 429 NA NA NA 5757 3974 NA NA NA 5568 377 NA NA NA 2184 423 NA NA 
1756328400.0 29834.704 NA 1526 957 0 NA NA 5283 4733 0 NA NA 5408 1864 121 NA NA 2219 896 143 NA 
