Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 
1756674000.0 141.044407 NA 198 182 0 NA NA 292 803 0 NA NA 281 514 73 NA NA 161 273 91 NA 
1756674000.0 141.044408 NA 197 131 NA NA NA 297 739 NA NA NA 287 92 NA NA NA 166 107 NA NA 
1756674000.0 141.044413 NA 198 154 0 NA NA 295 811 0 NA NA 286 235 76 NA NA 164 201 100 NA 
1756674000.0 141.044414 NA 199 107 NA NA NA 292 657 NA NA NA 282 70 NA NA NA 164 88 NA NA 
1756674000.0 141.044423 NA 197 154 0 NA NA 293 765 0 NA NA 284 216 73 NA NA 171 179 95 NA 
1756674000.0 141.044424 NA 199 106 NA NA NA 298 652 NA NA NA 284 72 NA NA NA 169 93 NA NA 
1756674000.0 141.044483 NA 231 0 NA NA NA 915 0 NA NA NA 527 96 NA NA NA 295 119 NA NA 
1756674000.0 160.03502 162 287 150 540 195 243 399 226 1294 296 2827 318 105 1445 175 2704 295 174 841 177 
1756674000.0 16834.402 NA 482 199 0 NA NA 1271 821 0 NA NA 554 254 90 NA NA 384 261 108 NA 
1756674000.0 16834.403 NA 481 207 0 NA NA 1274 842 0 NA NA 565 258 99 NA NA 390 263 118 NA 
1756674000.0 16834.404 NA 475 157 NA NA NA 1248 758 NA NA NA 545 129 NA NA NA 357 150 NA NA 
1756674000.0 16834.406 NA 476 200 0 NA NA 1262 825 0 NA NA 553 253 94 NA NA 371 258 112 NA 
1756674000.0 16834.407 NA 473 206 0 NA NA 1258 845 0 NA NA 551 265 96 NA NA 363 277 114 NA 
1756674000.0 16834.408 NA 474 157 NA NA NA 1232 757 NA NA NA 550 130 NA NA NA 376 156 NA NA 
1756674000.0 16834.412 NA 477 185 0 NA NA 1239 854 0 NA NA 551 239 65 NA NA 363 259 83 NA 
1756674000.0 16834.424 NA 475 159 NA NA NA 1234 767 NA NA NA 544 164 NA NA NA 361 178 NA NA 
1756674000.0 16850.402 NA 455 194 0 NA NA 1228 810 0 NA NA 528 242 87 NA NA 370 253 108 NA 
1756674000.0 16850.403 NA 456 202 0 NA NA 1269 830 0 NA NA 527 249 94 NA NA 357 270 113 NA 
1756674000.0 16850.404 NA 453 158 NA NA NA 1195 760 NA NA NA 524 125 NA NA NA 360 145 NA NA 
1756674000.0 16850.406 NA 456 194 0 NA NA 1253 819 0 NA NA 531 244 89 NA NA 360 261 107 NA 
1756674000.0 16850.407 NA 456 205 0 NA NA 1246 837 0 NA NA 539 250 93 NA NA 370 271 112 NA 
1756674000.0 16850.408 NA 457 156 NA NA NA 1230 757 NA NA NA 528 126 NA NA NA 364 145 NA NA 
1756674000.0 16861.402 NA 433 186 0 NA NA 1176 805 0 NA NA 504 231 74 NA NA 356 257 91 NA 
1756674000.0 17034.402 NA 821 265 0 NA NA 1767 921 0 NA NA 2071 334 98 NA NA 1099 290 116 NA 
1756674000.0 17034.403 NA 781 265 0 NA NA 1826 935 0 NA NA 2092 343 106 NA NA 996 294 124 NA 
1756674000.0 17034.404 NA 872 158 NA NA NA 1757 762 NA NA NA 2128 129 NA NA NA 940 150 NA NA 
1756674000.0 17034.406 NA 827 277 0 NA NA 1799 928 0 NA NA 2112 407 109 NA NA 941 309 132 NA 
1756674000.0 17034.407 NA 843 288 0 NA NA 1753 981 0 NA NA 2102 411 109 NA NA 915 326 126 NA 
