Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 
1746651600.0 1.0 150 NA NA NA NA 234 NA NA NA NA 5774 NA NA NA NA 1951 NA NA NA NA 
1746651600.0 1002.5 NA 132 139 0 0 NA 207 210 0 0 NA 118 111 96 51 NA 271 244 207 110 
1746651600.0 1005.0 NA 217 164 0 0 NA 385 265 0 0 NA 235 108 36 51 NA 380 221 81 109 
1746651600.0 101.0 172 NA NA NA NA 286 NA NA NA NA 2711 NA NA NA NA 1356 NA NA NA NA 
1746651600.0 1010.0 NA 90 109 0 NA NA 157 176 0 NA NA 73 85 61 NA NA 198 157 75 NA 
1746651600.0 102.0 176 NA NA NA NA 297 NA NA NA NA 825 NA NA NA NA 400 NA NA NA NA 
1746651600.0 1020.0 NA 98 86 0 95 NA 169 159 0 168 NA 82 62 26 78 NA 219 140 51 171 
1746651600.0 103.0 117 NA NA NA NA 171 NA NA NA NA 229 NA NA NA NA 427 NA NA NA NA 
1746651600.0 1040.1 NA 135 86 0 NA NA 207 147 0 NA NA 174 68 47 NA NA 373 141 57 NA 
1746651600.0 1041.0 NA 130 92 0 NA NA 212 157 0 NA NA 130 71 29 NA NA 289 136 56 NA 
1746651600.0 1042.0 NA 131 90 0 NA NA 206 152 0 NA NA 255 75 30 NA NA 450 166 56 NA 
1746651600.0 1046.0 NA 106 92 0 NA NA 178 158 0 NA NA 124 79 26 NA NA 222 172 63 NA 
1746651600.0 1047.0 NA 106 109 0 NA NA 178 182 0 NA NA 126 90 30 NA NA 243 161 60 NA 
1746651600.0 1048.0 NA 106 101 0 NA NA 178 168 0 NA NA 130 89 29 NA NA 254 168 42 NA 
1746651600.0 105.0 151 NA NA NA NA 234 NA NA NA NA 4874 NA NA NA NA 1730 NA NA NA NA 
1746651600.0 1052.0 NA 217 164 0 NA NA 372 265 0 NA NA 232 108 26 NA NA 504 213 58 NA 
1746651600.0 1052.1 NA 150 0 NA NA NA 254 0 NA NA NA 100 28 NA NA NA 143 47 NA NA 
1746651600.0 106.0 117 NA NA NA NA 173 NA NA NA NA 228 NA NA NA NA 316 NA NA NA NA 
1746651600.0 107.0 156 NA NA NA NA 238 NA NA NA NA 19339 NA NA NA NA 15154 NA NA NA NA 
1746651600.0 108.0 152 NA NA NA NA 241 NA NA NA NA 14593 NA NA NA NA 10016 NA NA NA NA 
1746651600.0 109.0 154 NA NA NA NA 238 NA NA NA NA 16384 NA NA NA NA 11600 NA NA NA NA 
1746651600.0 110.0 121 NA NA NA NA 183 NA NA NA NA 1080 NA NA NA NA 968 NA NA NA NA 
1746651600.0 111.0 133 NA NA NA NA 209 NA NA NA NA 2317 NA NA NA NA 1999 NA NA NA NA 
1746651600.0 112.0 149 NA NA NA NA 231 NA NA NA NA 10995 NA NA NA NA 3368 NA NA NA NA 
1746651600.0 113.0 151 NA NA NA NA 240 NA NA NA NA 11012 NA NA NA NA 7430 NA NA NA NA 
1746651600.0 114.0 152 NA NA NA NA 241 NA NA NA NA 10725 NA NA NA NA 8854 NA NA NA NA 
1746651600.0 115.0 155 NA NA NA NA 236 NA NA NA NA 12361 NA NA NA NA 9664 NA NA NA NA 
1746651600.0 116.0 152 NA NA NA NA 245 NA NA NA NA 13720 NA NA NA NA 9803 NA NA NA NA 
1746651600.0 11634.914 135 NA NA NA NA 188 NA NA NA NA 19342 NA NA NA NA 12221 NA NA NA NA 
1746651600.0 117.0 151 NA NA NA NA 237 NA NA NA NA 14594 NA NA NA NA 10695 NA NA NA NA 
1746651600.0 118.0 152 NA NA NA NA 239 NA NA NA NA 21779 NA NA NA NA 14874 NA NA NA NA 
1746651600.0 11834.99 NA 588 NA NA NA NA 793 NA NA NA NA 3630 NA NA NA NA 1539 NA NA NA 
1746651600.0 119.0 142 NA NA NA NA 226 NA NA NA NA 10884 NA NA NA NA 3495 NA NA NA NA 
1746651600.0 120.0 120 NA NA NA NA 184 NA NA NA NA 437 NA NA NA NA 533 NA NA NA NA 
1746651600.0 121.0 149 NA NA NA NA 244 NA NA NA NA 25932 NA NA NA NA 13738 NA NA NA NA 
1746651600.0 122.0 122 NA NA NA NA 188 NA NA NA NA 439 NA NA NA NA 573 NA NA NA NA 
1746651600.0 125.0 153 NA NA NA NA 238 NA NA NA NA 14048 NA NA NA NA 10001 NA NA NA NA 
1746651600.0 126.0 121 NA NA NA NA 175 NA NA NA NA 9938 NA NA NA NA 3570 NA NA NA NA 
1746651600.0 12634.99 NA 591 NA NA NA NA 761 NA NA NA NA 3286 NA NA NA NA 1681 NA NA NA 
1746651600.0 127.0 120 NA NA NA NA 182 NA NA NA NA 4050 NA NA NA NA 1847 NA NA NA NA 
1746651600.0 128.0 120 NA NA NA NA 174 NA NA NA NA 243 NA NA NA NA 381 NA NA NA NA 
1746651600.0 129.0 123 NA NA NA NA 182 NA NA NA NA 284 NA NA NA NA 313 NA NA NA NA 
1746651600.0 130.0 122 NA NA NA NA 179 NA NA NA NA 534 NA NA NA NA 611 NA NA NA NA 
1746651600.0 1301.0 145 NA NA NA NA 213 NA NA NA NA 5586 NA NA NA NA 2256 NA NA NA NA 
1746651600.0 1301.17 130 NA NA NA NA 183 NA NA NA NA 7630 NA NA NA NA 2829 NA NA NA NA 
1746651600.0 1302.0 151 NA NA NA NA 220 NA NA NA NA 22389 NA NA NA NA 14475 NA NA NA NA 
1746651600.0 1302.17 135 NA NA NA NA 196 NA NA NA NA 21880 NA NA NA NA 15916 NA NA NA NA 
1746651600.0 1302.18 131 NA NA NA NA 187 NA NA NA NA 24513 NA NA NA NA 15402 NA NA NA NA 
1746651600.0 1302.181 133 NA NA NA NA 191 NA NA NA NA 22616 NA NA NA NA 16029 NA NA NA NA 
1746651600.0 1303.0 146 NA NA NA NA 201 NA NA NA NA 36532 NA NA NA NA 22224 NA NA NA NA 
1746651600.0 1303.17 142 NA NA NA NA 200 NA NA NA NA 33512 NA NA NA NA 18628 NA NA NA NA 
1746651600.0 13034.99 NA 535 NA NA NA NA 837 NA NA NA NA 3616 NA NA NA NA 1544 NA NA NA 
1746651600.0 1304.18 129 NA NA NA NA 184 NA NA NA NA 14566 NA NA NA NA 7978 NA NA NA NA 
