Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9 
1746824400.0 10.0 NA 224 433 0 NA NA NA NA NA NA 465 598 0 NA NA NA NA NA NA 907 1953 187 NA NA NA NA NA NA 404 1002 201 NA NA NA NA NA 
1746824400.0 1000.0 NA 384 274 0 116 NA NA NA NA NA 538 360 0 177 NA NA NA NA NA 1730 352 131 127 NA NA NA NA NA 1283 341 143 124 NA NA NA NA 
1746824400.0 1001.0 NA 338 197 0 0 0 0 0 0 NA 473 270 0 0 0 0 0 0 NA 1533 196 36 26 38 80 49 80 NA 1069 285 58 53 71 126 86 95 
1746824400.0 1001.3 NA 533 219 0 NA NA NA NA NA NA 747 341 0 NA NA NA NA NA NA 10524 208 113 NA NA NA NA NA NA 3388 206 149 NA NA NA NA NA 
1746824400.0 1002.5 NA 132 138 0 0 NA NA NA NA NA 209 212 0 0 NA NA NA NA NA 132 121 105 55 NA NA NA NA NA 340 235 196 106 NA NA NA NA 
1746824400.0 1005.0 NA 217 164 0 0 NA NA NA NA NA 378 264 0 0 NA NA NA NA NA 261 114 38 51 NA NA NA NA NA 508 196 79 106 NA NA NA NA 
1746824400.0 101.0 172 NA NA NA NA NA NA NA NA 287 NA NA NA NA NA NA NA NA 3420 NA NA NA NA NA NA NA NA 1477 NA NA NA NA NA NA NA NA 
1746824400.0 1010.0 NA 90 108 0 NA NA NA NA NA NA 159 171 0 NA NA NA NA NA NA 68 80 51 NA NA NA NA NA NA 166 160 100 NA NA NA NA NA 
1746824400.0 102.0 176 NA NA NA NA NA NA NA NA 299 NA NA NA NA NA NA NA NA 665 NA NA NA NA NA NA NA NA 377 NA NA NA NA NA NA NA NA 
1746824400.0 1020.0 NA 98 87 0 95 NA NA NA NA NA 171 159 0 168 NA NA NA NA NA 85 69 27 88 NA NA NA NA NA 237 149 61 230 NA NA NA NA 
1746824400.0 10224.0 NA 497 812 0 190 NA NA NA NA NA 847 1093 0 285 NA NA NA NA NA 2607 2397 259 324 NA NA NA NA NA 1137 1854 324 435 NA NA NA NA 
1746824400.0 103.0 117 0 0 NA NA NA NA NA NA 173 0 0 NA NA NA NA NA NA 221 86 553 NA NA NA NA NA NA 484 67 522 NA NA NA NA NA NA 
1746824400.0 1040.1 NA 134 87 0 NA NA NA NA NA NA 216 147 0 NA NA NA NA NA NA 164 63 44 NA NA NA NA NA NA 296 116 72 NA NA NA NA NA 
1746824400.0 1041.0 NA 131 93 0 NA NA NA NA NA NA 205 157 0 NA NA NA NA NA NA 119 67 27 NA NA NA NA NA NA 220 123 49 NA NA NA NA NA 
1746824400.0 1042.0 NA 132 90 0 NA NA NA NA NA NA 207 154 0 NA NA NA NA NA NA 241 66 26 NA NA NA NA NA NA 469 127 52 NA NA NA NA NA 
1746824400.0 1046.0 NA 107 92 0 NA NA NA NA NA NA 178 159 0 NA NA NA NA NA NA 116 69 25 NA NA NA NA NA NA 178 108 63 NA NA NA NA NA 
1746824400.0 1047.0 NA 105 112 0 NA NA NA NA NA NA 178 177 0 NA NA NA NA NA NA 116 91 28 NA NA NA NA NA NA 183 161 60 NA NA NA NA NA 
1746824400.0 1048.0 NA 106 101 0 NA NA NA NA NA NA 177 168 0 NA NA NA NA NA NA 113 81 24 NA NA NA NA NA NA 186 122 37 NA NA NA NA NA 
1746824400.0 1049.0 NA 113 0 NA NA NA NA NA NA NA 184 0 NA NA NA NA NA NA NA 682 63 NA NA NA NA NA NA NA 711 75 NA NA NA NA NA NA 
1746824400.0 1052.0 NA 217 163 0 NA NA NA NA NA NA 375 270 0 NA NA NA NA NA NA 244 113 28 NA NA NA NA NA NA 533 212 52 NA NA NA NA NA 
1746824400.0 1052.1 NA 148 0 NA NA NA NA NA NA NA 251 0 NA NA NA NA NA NA NA 106 27 NA NA NA NA NA NA NA 296 59 NA NA NA NA NA NA 
