Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueVsize1 PeakValueVsize2 TotalJobCPU1 TotalJobCPU2 TotalJobTime1 TotalJobTime2 
1741644000.0 138.3 NA 74 NA 121 NA 28 NA 176 
1741644000.0 23634.0 NA 0 NA 0 NA 0 NA 0 
1741644000.0 24834.0 NA 0 NA 0 NA 0 NA 0 
1741644000.0 24834.911 172 0 231 0 4163 0 2701 0 
1741644000.0 29634.0 NA 0 NA 0 NA 0 NA 0 
1741644000.0 29634.702 NA 0 NA 0 NA 0 NA 0 
1741644000.0 29634.9 NA 0 NA 0 NA 0 NA 0 
1741644000.0 29634.911 179 0 235 0 4308 0 2872 0 
1741644000.0 29661.0 NA 0 NA 0 NA 0 NA 0 
1741644000.0 29751.85 NA 0 NA 0 NA 0 NA 0 
1741644000.0 29834.114 NA 0 NA 0 NA 0 NA 0 
1741644000.0 29834.21 NA 0 NA 0 NA 0 NA 0 
1741644000.0 29834.703 NA 0 NA 0 NA 0 NA 0 
