Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 
1744923600.0 119.0 146 187 398 NA NA NA NA 226 263 538 NA NA NA NA 501 152 654 NA NA NA NA 332 136 648 NA NA NA NA 
1744923600.0 122.0 121 176 386 NA NA NA NA 190 254 551 NA NA NA NA 242 106 621 NA NA NA NA 320 177 628 NA NA NA NA 
1744923600.0 123.1 377 NA NA NA NA NA NA 525 NA NA NA NA NA NA 411 NA NA NA NA NA NA 407 NA NA NA NA NA NA 
1744923600.0 123.2 414 NA NA NA NA NA NA 557 NA NA NA NA NA NA 445 NA NA NA NA NA NA 349 NA NA NA NA NA NA 
1744923600.0 124.2 407 NA NA NA NA NA NA 552 NA NA NA NA NA NA 379 NA NA NA NA NA NA 410 NA NA NA NA NA NA 
1744923600.0 130.0 122 185 389 NA NA NA NA 179 259 564 NA NA NA NA 233 146 633 NA NA NA NA 256 140 636 NA NA NA NA 
1744923600.0 136.827 NA 218 517 0 NA NA NA NA 310 727 0 NA NA NA NA 146 1349 145 NA NA NA NA 130 1064 162 NA NA NA 
1744923600.0 136.871 NA 216 510 0 NA NA NA NA 299 743 0 NA NA NA NA 200 7712 121 NA NA NA NA 189 2665 141 NA NA NA 
1744923600.0 136.901 NA 273 257 269 151 260 279 NA 408 389 353 218 399 428 NA 3234 687 589 157 313 468 NA 5066 1216 1002 235 394 671 
1744923600.0 136.902 NA 278 255 261 151 257 281 NA 425 389 352 218 399 385 NA 2790 662 663 150 317 464 NA 4168 1002 1124 224 454 535 
1744923600.0 136.903 NA 308 300 337 161 299 299 NA 492 444 443 230 445 428 NA 4196 2051 1770 349 563 702 NA 6584 3381 2644 494 844 914 
1744923600.0 136.904 NA 309 289 322 158 295 297 NA 492 432 437 225 413 447 NA 3937 1302 1199 238 437 568 NA 6138 2133 1983 374 747 791 
1744923600.0 140.008 NA 189 537 0 NA NA NA NA 279 738 0 NA NA NA NA 85 1159 242 NA NA NA NA 84 1142 267 NA NA NA 
1744923600.0 141.112 NA 211 664 0 NA NA NA NA 292 966 0 NA NA NA NA 299 8002 145 NA NA NA NA 179 2791 157 NA NA NA 
1744923600.0 144.6 NA 409 NA NA NA NA NA NA 575 NA NA NA NA NA NA 1196 NA NA NA NA NA NA 1078 NA NA NA NA NA 
1744923600.0 145.005 NA 432 711 0 NA NA NA NA 613 948 0 NA NA NA NA 1294 7397 189 NA NA NA NA 625 3003 210 NA NA NA 
1744923600.0 145.108 NA 438 705 0 NA NA NA NA 598 977 0 NA NA NA NA 1385 7442 190 NA NA NA NA 635 2884 212 NA NA NA 
1744923600.0 2018.3 435 0 233 181 NA NA NA 568 0 317 266 NA NA NA 394 100 278 202 NA NA NA 522 136 375 240 NA NA NA 
1744923600.0 24834.911 169 631 693 0 255 NA NA 232 812 907 0 351 NA NA 4148 2571 2755 727 499 NA NA 3347 2045 2773 1172 503 NA NA 
1744923600.0 2500.002 NA 315 0 NA NA NA NA NA 553 0 NA NA NA NA NA 16374 64 NA NA NA NA NA 7540 124 NA NA NA NA 
1744923600.0 2500.003 NA 324 0 NA NA NA NA NA 562 0 NA NA NA NA NA 15663 62 NA NA NA NA NA 7014 127 NA NA NA NA 
1744923600.0 2500.224 NA 256 NA NA NA NA NA NA 366 NA NA NA NA NA NA 7443 NA NA NA NA NA NA 2317 NA NA NA NA NA 
1744923600.0 2500.225 NA 281 NA NA NA NA NA NA 408 NA NA NA NA NA NA 7975 NA NA NA NA NA NA 2568 NA NA NA NA NA 
1744923600.0 2500.228 NA 249 NA NA NA NA NA NA 400 NA NA NA NA NA NA 10007 NA NA NA NA NA NA 4712 NA NA NA NA NA 
1744923600.0 2500.232 NA 254 NA NA NA NA NA NA 359 NA NA NA NA NA NA 712 NA NA NA NA NA NA 563 NA NA NA NA NA 
1744923600.0 2500.238 NA 269 NA NA NA NA NA NA 413 NA NA NA NA NA NA 5788 NA NA NA NA NA NA 2366 NA NA NA NA NA 
1744923600.0 250199.17 391 NA NA NA NA NA NA 534 NA NA NA NA NA NA 1031 NA NA NA NA NA NA 708 NA NA NA NA NA NA 
1744923600.0 250199.18 460 NA NA NA NA NA NA 640 NA NA NA NA NA NA 1498 NA NA NA NA NA NA 770 NA NA NA NA NA NA 
1744923600.0 250409.17 570 0 244 NA NA NA NA 742 0 346 NA NA NA NA 652 121 352 NA NA NA NA 710 191 337 NA NA NA NA 
1744923600.0 25234.0 175 630 690 0 253 NA NA 232 812 915 0 352 NA NA 2047 965 1276 262 484 NA NA 1222 780 1189 390 471 NA NA 
1744923600.0 25400.17 673 0 234 NA NA NA NA 898 0 337 NA NA NA NA 1451 112 286 NA NA NA NA 833 128 339 NA NA NA NA 
1744923600.0 25407.17 612 0 233 NA NA NA NA 825 0 330 NA NA NA NA 1269 109 267 NA NA NA NA 760 121 285 NA NA NA NA 
1744923600.0 25408.0 598 0 239 NA NA NA NA 794 0 351 NA NA NA NA 920 105 348 NA NA NA NA 544 125 345 NA NA NA NA 
1744923600.0 25634.0 166 610 688 0 254 NA NA 224 819 870 0 354 NA NA 1968 945 1322 260 500 NA NA 1087 703 1200 286 602 NA NA 
1744923600.0 26434.0 168 631 657 0 253 NA NA 223 813 923 0 350 NA NA 1943 961 1366 247 504 NA NA 917 817 1440 268 554 NA NA 
1744923600.0 27234.0 176 641 691 0 258 NA NA 240 841 886 0 351 NA NA 1944 976 1385 281 516 NA NA 1086 625 1284 318 664 NA NA 
1744923600.0 27634.0 166 628 706 0 255 NA NA 221 823 881 0 351 NA NA 1949 955 1307 258 502 NA NA 1074 741 1165 286 621 NA NA 
1744923600.0 28434.0 163 620 689 0 257 NA NA 217 817 910 0 351 NA NA 2024 947 1304 264 479 NA NA 1199 733 1166 342 481 NA NA 
1744923600.0 29234.0 179 630 616 0 259 NA NA 233 829 856 0 353 NA NA 1699 903 1242 227 434 NA NA 973 648 1216 254 467 NA NA 
1744923600.0 29634.911 177 626 673 0 258 NA NA 237 836 878 0 354 NA NA 4362 2721 2876 805 521 NA NA 3542 2400 2968 1181 693 NA NA 
1744923600.0 29834.114 NA 1466 2072 0 NA NA NA NA 2092 2886 0 NA NA NA NA 5726 8289 306 NA NA NA NA 3540 3429 353 NA NA NA 
