Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9 
1746997200.0 1.0 155 185 325 NA NA NA NA NA NA 239 258 463 NA NA NA NA NA NA 633 179 455 NA NA NA NA NA NA 592 227 562 NA NA NA NA NA NA 
1746997200.0 10004.0 NA 315 500 0 160 187 NA NA NA NA 415 720 0 235 285 NA NA NA NA 546 723 166 158 239 NA NA NA NA 255 778 188 185 297 NA NA NA 
1746997200.0 10006.0 NA 313 520 0 158 186 NA NA NA NA 419 737 0 230 279 NA NA NA NA 554 689 169 157 236 NA NA NA NA 281 653 218 197 293 NA NA NA 
1746997200.0 1001.0 NA 334 193 0 0 0 0 0 0 NA 490 268 0 0 0 0 0 0 NA 964 205 37 27 37 83 50 85 NA 708 232 53 55 46 113 88 152 
1746997200.0 1002.0 NA 395 124 NA NA NA NA NA NA NA 544 177 NA NA NA NA NA NA NA 1717 126 NA NA NA NA NA NA NA 1527 107 NA NA NA NA NA NA 
1746997200.0 10026.0 NA 270 557 0 164 191 NA NA NA NA 439 751 0 235 283 NA NA NA NA 582 884 188 158 240 NA NA NA NA 303 741 203 177 254 NA NA NA 
1746997200.0 1003.0 NA 404 0 NA NA NA NA NA NA NA 662 0 NA NA NA NA NA NA NA 1203 115 NA NA NA NA NA NA NA 879 130 NA NA NA NA NA NA 
1746997200.0 1005.0 NA 216 164 0 0 NA NA NA NA NA 366 267 0 0 NA NA NA NA NA 233 114 41 55 NA NA NA NA NA 320 148 99 111 NA NA NA NA 
1746997200.0 10059.0 NA 329 550 0 164 191 NA NA NA NA 429 774 0 234 284 NA NA NA NA 574 1044 189 159 244 NA NA NA NA 281 813 205 181 258 NA NA NA 
1746997200.0 101.0 178 NA NA NA NA NA NA NA NA 305 NA NA NA NA NA NA NA NA 329 NA NA NA NA NA NA NA NA 294 NA NA NA NA NA NA NA NA 
1746997200.0 102.0 177 NA NA NA NA NA NA NA NA 286 NA NA NA NA NA NA NA NA 311 NA NA NA NA NA NA NA NA 320 NA NA NA NA NA NA NA NA 
1746997200.0 1020.0 NA 97 87 0 94 NA NA NA NA NA 168 160 0 168 NA NA NA NA NA 90 69 28 88 NA NA NA NA NA 154 113 67 200 NA NA NA NA 
1746997200.0 10224.0 NA 502 773 0 191 NA NA NA NA NA 670 1057 0 280 NA NA NA NA NA 1320 1507 196 240 NA NA NA NA NA 690 1074 212 251 NA NA NA NA 
1746997200.0 10224.15 NA 511 773 0 214 NA NA NA NA NA 667 1120 0 304 NA NA NA NA NA 1231 1360 197 321 NA NA NA NA NA 560 956 214 298 NA NA NA NA 
1746997200.0 10225.0 NA 496 744 0 190 NA NA NA NA NA 674 1041 0 280 NA NA NA NA NA 1249 1225 186 246 NA NA NA NA NA 559 951 197 280 NA NA NA NA 
1746997200.0 103.0 118 0 0 NA NA NA NA NA NA 175 0 0 NA NA NA NA NA NA 247 64 624 NA NA NA NA NA NA 330 106 831 NA NA NA NA NA NA 
1746997200.0 1042.0 NA 132 90 0 NA NA NA NA NA NA 215 153 0 NA NA NA NA NA NA 263 79 28 NA NA NA NA NA NA 465 129 37 NA NA NA NA NA 
1746997200.0 1046.0 NA 103 89 0 NA NA NA NA NA NA 177 158 0 NA NA NA NA NA NA 128 72 26 NA NA NA NA NA NA 181 85 47 NA NA NA NA NA 
1746997200.0 1047.0 NA 103 107 0 NA NA NA NA NA NA 177 174 0 NA NA NA NA NA NA 127 92 33 NA NA NA NA NA NA 168 97 68 NA NA NA NA NA 
1746997200.0 1048.0 NA 103 101 0 NA NA NA NA NA NA 177 172 0 NA NA NA NA NA NA 125 90 27 NA NA NA NA NA NA 131 87 41 NA NA NA NA NA 
1746997200.0 1049.0 NA 111 0 NA NA NA NA NA NA NA 180 0 NA NA NA NA NA NA NA 928 89 NA NA NA NA NA NA NA 1024 108 NA NA NA NA NA NA 
1746997200.0 1052.0 NA 217 164 0 NA NA NA NA NA NA 383 268 0 NA NA NA NA NA NA 262 114 28 NA NA NA NA NA NA 324 170 39 NA NA NA NA NA 
1746997200.0 106.0 110 0 0 NA NA NA NA NA NA 172 0 0 NA NA NA NA NA NA 294 83 722 NA NA NA NA NA NA 303 106 765 NA NA NA NA NA NA 
1746997200.0 107.0 156 192 400 NA NA NA NA NA NA 253 267 534 NA NA NA NA NA NA 1079 204 926 NA NA NA NA NA NA 568 174 935 NA NA NA NA NA NA 
1746997200.0 10802.0 NA 306 524 0 154 191 NA NA NA NA 406 757 0 229 284 NA NA NA NA 537 689 177 167 245 NA NA NA NA 335 638 197 232 284 NA NA NA 
1746997200.0 10803.0 NA 306 491 0 161 192 NA NA NA NA 393 763 0 232 281 NA NA NA NA 542 713 179 157 243 NA NA NA NA 284 665 214 195 265 NA NA NA 
1746997200.0 10804.31 NA 309 523 0 161 179 NA NA NA NA 390 754 0 234 286 NA NA NA NA 657 702 173 155 250 NA NA NA NA 273 871 194 177 304 NA NA NA 
1746997200.0 10808.0 NA 277 527 0 188 194 NA NA NA NA 405 722 0 304 284 NA NA NA NA 539 718 171 160 244 NA NA NA NA 249 716 185 184 263 NA NA NA 
1746997200.0 10823.0 NA 307 508 0 159 192 NA NA NA NA 404 730 0 227 278 NA NA NA NA 542 719 172 155 242 NA NA NA NA 239 791 188 177 270 NA NA NA 
