Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 
1754514000.0 103.0 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 
1754514000.0 106.0 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 
1754514000.0 110.0 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 
1754514000.0 111.0 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 
1754514000.0 11634.914 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 
1754514000.0 117.0 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 
1754514000.0 118.0 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 
1754514000.0 11834.99 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA 
1754514000.0 119.0 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 
1754514000.0 120.0 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 
1754514000.0 122.0 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 
1754514000.0 126.0 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 
1754514000.0 12634.99 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA 
1754514000.0 127.0 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 
1754514000.0 128.0 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 
1754514000.0 129.0 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 
1754514000.0 130.0 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 
1754514000.0 1301.0 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 
1754514000.0 1302.17 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 
1754514000.0 13034.99 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA 
1754514000.0 1304.181 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 
