Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9 
1760605200.0 1.0 135 173 278 NA NA NA NA NA NA 243 273 447 NA NA NA NA NA NA 602 176 458 NA NA NA NA NA NA 380 167 516 NA NA NA NA NA NA 
1760605200.0 10.0 NA 224 439 0 NA NA NA NA NA NA 323 609 0 NA NA NA NA NA NA 698 1356 231 NA NA NA NA NA NA 277 814 259 NA NA NA NA NA 
1760605200.0 1000.0 NA 385 205 0 116 NA NA NA NA NA 562 279 0 188 NA NA NA NA NA 1188 213 131 133 NA NA NA NA NA 1022 284 184 138 NA NA NA NA 
1760605200.0 1001.0 NA 331 188 0 0 0 0 0 0 NA 512 284 0 0 0 0 0 0 NA 949 203 35 26 40 85 48 84 NA 728 278 43 35 52 94 58 125 
1760605200.0 1001.3 NA 542 217 0 NA NA NA NA NA NA 779 341 0 NA NA NA NA NA NA 3621 206 145 NA NA NA NA NA NA 1509 208 198 NA NA NA NA NA 
1760605200.0 1002.0 NA 410 142 NA NA NA NA NA NA NA 581 181 NA NA NA NA NA NA NA 1175 102 NA NA NA NA NA NA NA 896 90 NA NA NA NA NA NA 
1760605200.0 1002.3 NA 532 239 0 NA NA NA NA NA NA 767 364 0 NA NA NA NA NA NA 2804 302 151 NA NA NA NA NA NA 1309 265 208 NA NA NA NA NA 
1760605200.0 1002.4 NA 547 0 NA NA NA NA NA NA NA 778 0 NA NA NA NA NA NA NA 4233 245 NA NA NA NA NA NA NA 1710 280 NA NA NA NA NA NA 
1760605200.0 1002.5 NA 154 138 0 0 NA NA NA NA NA 239 212 0 0 NA NA NA NA NA 172 124 98 75 NA NA NA NA NA 319 142 129 107 NA NA NA NA 
1760605200.0 10024.2 NA 307 519 0 NA NA NA NA NA NA 449 771 0 NA NA NA NA NA NA 667 868 191 NA NA NA NA NA NA 283 955 216 NA NA NA NA NA 
1760605200.0 10024.4 NA 311 514 0 NA NA NA NA NA NA 445 752 0 NA NA NA NA NA NA 656 845 188 NA NA NA NA NA NA 290 1024 214 NA NA NA NA NA 
1760605200.0 1003.0 NA 393 0 NA NA NA NA NA NA NA 687 0 NA NA NA NA NA NA NA 1256 132 NA NA NA NA NA NA NA 746 146 NA NA NA NA NA NA 
1760605200.0 1005.0 NA 217 165 0 0 NA NA NA NA NA 388 264 0 0 NA NA NA NA NA 222 112 35 52 NA NA NA NA NA 330 138 47 100 NA NA NA NA 
1760605200.0 101.0 181 NA NA NA NA NA NA NA NA 310 NA NA NA NA NA NA NA NA 327 NA NA NA NA NA NA NA NA 269 NA NA NA NA NA NA NA NA 
1760605200.0 1010.0 NA 89 109 0 NA NA NA NA NA NA 154 176 0 NA NA NA NA NA NA 73 93 85 NA NA NA NA NA NA 166 130 126 NA NA NA NA NA 
1760605200.0 102.0 182 NA NA NA NA NA NA NA NA 299 NA NA NA NA NA NA NA NA 314 NA NA NA NA NA NA NA NA 267 NA NA NA NA NA NA NA NA 
1760605200.0 1020.0 NA 97 86 0 95 NA NA NA NA NA 172 159 0 169 NA NA NA NA NA 95 65 27 90 NA NA NA NA NA 228 97 60 184 NA NA NA NA 
1760605200.0 10224.0 NA 510 764 0 189 NA NA NA NA NA 683 1102 0 306 NA NA NA NA NA 1777 2181 348 386 NA NA NA NA NA 788 1637 370 447 NA NA NA NA 
1760605200.0 10224.15 NA 508 795 0 214 NA NA NA NA NA 710 1125 0 334 NA NA NA NA NA 1374 1461 208 328 NA NA NA NA NA 752 1142 229 302 NA NA NA NA 
1760605200.0 10225.0 NA 491 758 0 188 NA NA NA NA NA 692 1048 0 289 NA NA NA NA NA 1733 1979 286 368 NA NA NA NA NA 953 1626 310 401 NA NA NA NA 
1760605200.0 103.0 110 0 0 NA NA NA NA NA NA 179 0 0 NA NA NA NA NA NA 256 61 623 NA NA NA NA NA NA 303 68 669 NA NA NA NA NA NA 
1760605200.0 1040.0 NA 498 83 0 NA NA NA NA NA NA 718 144 0 NA NA NA NA NA NA 4309 64 44 NA NA NA NA NA NA 1609 73 53 NA NA NA NA NA 
1760605200.0 1040.1 NA 134 49 0 NA NA NA NA NA NA 212 144 0 NA NA NA NA NA NA 173 80 70 NA NA NA NA NA NA 222 104 135 NA NA NA NA NA 
1760605200.0 1041.0 NA 131 92 0 NA NA NA NA NA NA 212 155 0 NA NA NA NA NA NA 125 78 46 NA NA NA NA NA NA 157 103 64 NA NA NA NA NA 
1760605200.0 1042.0 NA 131 86 0 NA NA NA NA NA NA 212 150 0 NA NA NA NA NA NA 266 79 41 NA NA NA NA NA NA 593 147 52 NA NA NA NA NA 
