Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 
1741816800.0 1020.0 NA 101 89 0 98 NA NA NA 173 163 0 172 NA NA NA 81 63 23 77 NA NA NA 135 78 30 113 NA NA 
1741816800.0 10803.0 NA 328 554 0 164 194 NA NA 426 743 0 240 281 NA NA 728 956 199 187 266 NA NA 477 907 224 244 313 NA 
1741816800.0 123.1 413 NA NA NA NA NA NA 558 NA NA NA NA NA NA 366 NA NA NA NA NA NA 307 NA NA NA NA NA NA 
1741816800.0 123.2 421 NA NA NA NA NA NA 556 NA NA NA NA NA NA 406 NA NA NA NA NA NA 374 NA NA NA NA NA NA 
1741816800.0 123.3 335 NA NA NA NA NA NA 454 NA NA NA NA NA NA 307 NA NA NA NA NA NA 306 NA NA NA NA NA NA 
1741816800.0 124.1 399 NA NA NA NA NA NA 507 NA NA NA NA NA NA 313 NA NA NA NA NA NA 257 NA NA NA NA NA NA 
1741816800.0 124.2 408 NA NA NA NA NA NA 536 NA NA NA NA NA NA 335 NA NA NA NA NA NA 326 NA NA NA NA NA NA 
1741816800.0 124.4 396 NA NA NA NA NA NA 506 NA NA NA NA NA NA 313 NA NA NA NA NA NA 307 NA NA NA NA NA NA 
1741816800.0 124.5 399 NA NA NA NA NA NA 514 NA NA NA NA NA NA 318 NA NA NA NA NA NA 274 NA NA NA NA NA NA 
1741816800.0 124.6 333 NA NA NA NA NA NA 440 NA NA NA NA NA NA 315 NA NA NA NA NA NA 289 NA NA NA NA NA NA 
1741816800.0 1329.0 NA 270 483 0 183 NA NA NA 372 645 0 278 NA NA NA 286 937 162 219 NA NA NA 281 985 178 241 NA NA 
