Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 
1743498000.0 124.6 327 NA NA NA NA NA NA 457 NA NA NA NA NA NA 328 NA NA NA NA NA NA 366 NA NA NA NA NA NA 
1743498000.0 136.901 NA 275 257 271 151 263 279 NA 408 401 355 218 399 417 NA 2977 614 523 139 287 425 NA 5146 920 813 210 422 623 
1743498000.0 136.902 NA 281 254 263 151 260 278 NA 408 401 356 218 399 385 NA 2586 597 618 139 293 436 NA 4653 1072 938 185 429 559 
1743498000.0 136.903 NA 310 301 340 161 303 297 NA 491 432 446 230 444 428 NA 3853 1872 1635 326 537 677 NA 6540 2342 2163 452 788 929 
1743498000.0 136.904 NA 311 290 325 159 299 298 NA 492 432 440 225 413 428 NA 3618 1185 1102 227 431 561 NA 6320 1748 1455 294 608 761 
1743498000.0 144.6 NA 416 NA NA NA NA NA NA 551 NA NA NA NA NA NA 1169 NA NA NA NA NA NA 1125 NA NA NA NA NA 
1743498000.0 24834.911 172 582 690 0 252 NA NA 226 825 883 0 355 NA NA 4280 2402 2533 680 448 NA NA 3505 2238 2117 920 542 NA NA 
1743498000.0 2500.224 NA 255 NA NA NA NA NA NA 384 NA NA NA NA NA NA 7377 NA NA NA NA NA NA 2256 NA NA NA NA NA 
1743498000.0 2500.225 NA 282 NA NA NA NA NA NA 401 NA NA NA NA NA NA 7753 NA NA NA NA NA NA 2469 NA NA NA NA NA 
1743498000.0 2500.228 NA 249 NA NA NA NA NA NA 405 NA NA NA NA NA NA 9567 NA NA NA NA NA NA 4503 NA NA NA NA NA 
1743498000.0 29634.911 179 585 682 0 254 NA NA 244 836 900 0 357 NA NA 4461 2503 2682 743 448 NA NA 3925 2457 2084 952 562 NA NA 
1743498000.0 32434.0 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 
1743498000.0 32834.0 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 
1743498000.0 33234.0 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 
1743498000.0 34034.0 176 0 NA NA NA NA NA 233 0 NA NA NA NA NA 2392 0 NA NA NA NA NA 1383 0 NA NA NA NA NA 
1743498000.0 4001.0 NA 276 510 NA NA NA NA NA 373 689 NA NA NA NA NA 359 1064 NA NA NA NA NA 292 966 NA NA NA NA 
