Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 
1746997200.0 141.044483 NA 251 0 NA NA NA 1021 0 NA NA NA 1062 216 NA NA NA 664 273 NA NA 
1746997200.0 160.03502 132 303 164 548 197 242 400 226 1282 290 5224 644 343 3253 369 4855 604 489 1940 386 
1746997200.0 16834.404 NA 486 168 NA NA NA 1308 870 NA NA NA 1034 304 NA NA NA 733 359 NA NA 
1746997200.0 16834.406 NA 488 223 0 NA NA 1299 926 0 NA NA 1050 562 220 NA NA 742 602 273 NA 
1746997200.0 16834.408 NA 485 166 NA NA NA 1299 877 NA NA NA 1039 301 NA NA NA 741 356 NA NA 
1746997200.0 16834.424 NA 489 169 NA NA NA 1307 768 NA NA NA 1031 359 NA NA NA 725 402 NA NA 
1746997200.0 16850.404 NA 469 166 NA NA NA 1282 868 NA NA NA 996 298 NA NA NA 747 356 NA NA 
1746997200.0 16850.408 NA 472 166 NA NA NA 1297 869 NA NA NA 989 301 NA NA NA 726 362 NA NA 
1746997200.0 17034.403 NA 819 279 0 NA NA 1844 1007 0 NA NA 4266 758 239 NA NA 1950 697 292 NA 
1746997200.0 17034.404 NA 841 169 NA NA NA 1853 873 NA NA NA 4154 310 NA NA NA 1883 369 NA NA 
1746997200.0 17034.406 NA 838 304 0 NA NA 1822 1079 0 NA NA 4213 877 253 NA NA 1949 721 308 NA 
1746997200.0 17034.407 NA 820 313 0 NA NA 1819 1055 0 NA NA 4018 823 249 NA NA 1885 691 304 NA 
1746997200.0 17034.408 NA 821 168 NA NA NA 1847 870 NA NA NA 4146 304 NA NA NA 1958 358 NA NA 
1746997200.0 17034.424 NA 807 174 NA NA NA 1769 773 NA NA NA 4017 365 NA NA NA 1834 401 NA NA 
1746997200.0 17050.403 NA 795 284 0 NA NA 1729 1018 0 NA NA 3773 694 232 NA NA 1735 665 292 NA 
1746997200.0 17050.404 NA 780 167 NA NA NA 1780 873 NA NA NA 3845 315 NA NA NA 1786 387 NA NA 
1746997200.0 17050.407 NA 812 308 0 NA NA 1772 1052 0 NA NA 3978 784 249 NA NA 1939 687 301 NA 
1746997200.0 17050.408 NA 817 164 NA NA NA 1780 873 NA NA NA 4107 313 NA NA NA 1936 377 NA NA 
1746997200.0 29634.404 NA 675 213 NA NA NA 8036 1183 NA NA NA 2134 835 NA NA NA 1511 1007 NA NA 
1746997200.0 29634.612 NA 313 208 0 NA NA 412 824 0 NA NA 970 559 266 NA NA 677 519 322 NA 
1746997200.0 29634.704 NA 643 348 0 NA NA 1338 1035 0 NA NA 2140 1317 244 NA NA 1606 1299 300 NA 
1746997200.0 29834.402 NA 1314 836 0 NA NA 9316 2209 0 NA NA 11268 3439 248 NA NA 4576 2039 304 NA 
1746997200.0 29834.403 NA 1328 806 0 NA NA 9316 2361 0 NA NA 11129 3494 248 NA NA 4651 2036 302 NA 
1746997200.0 29834.404 NA 1339 185 NA NA NA 9327 1277 NA NA NA 11222 847 NA NA NA 4648 1031 NA NA 
1746997200.0 29834.704 NA 1307 719 0 NA NA 2649 1663 0 NA NA 11034 3420 281 NA NA 4586 1927 345 NA 
