Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 
1747170000.0 12834.402 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA 
1747170000.0 12834.403 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA 
1747170000.0 12834.406 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA 
1747170000.0 12834.412 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA 
1747170000.0 12834.422 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA 
1747170000.0 12834.423 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA 
1747170000.0 141.044406 NA 211 0 NA NA 293 0 NA NA 591 0 NA NA 361 0 NA 
1747170000.0 141.044407 NA 211 0 NA NA 301 0 NA NA 605 0 NA NA 383 0 NA 
1747170000.0 141.044408 NA 211 0 NA NA 296 0 NA NA 593 0 NA NA 368 0 NA 
1747170000.0 141.044412 NA 211 0 NA NA 289 0 NA NA 607 0 NA NA 385 0 NA 
1747170000.0 141.044413 NA 210 0 NA NA 295 0 NA NA 607 0 NA NA 384 0 NA 
1747170000.0 141.044414 NA 212 0 NA NA 295 0 NA NA 608 0 NA NA 384 0 NA 
1747170000.0 141.044422 NA 211 0 NA NA 296 0 NA NA 605 0 NA NA 374 0 NA 
1747170000.0 141.044423 NA 212 0 NA NA 296 0 NA NA 593 0 NA NA 443 0 NA 
1747170000.0 141.044424 NA 213 0 NA NA 296 0 NA NA 612 0 NA NA 386 0 NA 
1747170000.0 141.044483 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA 
1747170000.0 160.03502 147 309 165 0 243 413 212 0 5489 664 358 0 5001 634 528 0 
1747170000.0 16834.402 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA 
1747170000.0 16834.403 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA 
1747170000.0 16834.404 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA 
1747170000.0 16834.406 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA 
1747170000.0 16834.407 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA 
1747170000.0 16834.408 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA 
1747170000.0 16834.412 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA 
1747170000.0 16834.413 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA 
1747170000.0 16834.422 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA 
1747170000.0 16834.423 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA 
