Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9 
1749502800.0 1.0 155 183 321 NA NA NA NA NA NA 236 262 447 NA NA NA NA NA NA 654 167 444 NA NA NA NA NA NA 474 172 450 NA NA NA NA NA NA 
1749502800.0 10.0 NA 222 434 0 NA NA NA NA NA NA 313 605 0 NA NA NA NA NA NA 895 1702 218 NA NA NA NA NA NA 364 1106 271 NA NA NA NA NA 
1749502800.0 1000.0 NA 388 272 0 116 NA NA NA NA NA 528 357 0 181 NA NA NA NA NA 1212 383 134 132 NA NA NA NA NA 915 392 177 135 NA NA NA NA 
1749502800.0 10001.0 NA 316 524 0 160 187 NA NA NA NA 421 741 0 226 277 NA NA NA NA 616 776 186 176 255 NA NA NA NA 270 759 203 204 272 NA NA NA 
1749502800.0 10002.0 NA 316 530 0 160 190 NA NA NA NA 415 739 0 227 284 NA NA NA NA 642 775 184 172 282 NA NA NA NA 279 763 200 204 306 NA NA NA 
1749502800.0 10003.0 NA 314 531 0 161 183 NA NA NA NA 417 774 0 226 278 NA NA NA NA 656 811 203 178 266 NA NA NA NA 284 784 228 208 357 NA NA NA 
1749502800.0 10004.0 NA 314 519 0 160 179 NA NA NA NA 414 719 0 229 283 NA NA NA NA 641 780 188 176 273 NA NA NA NA 300 715 219 203 403 NA NA NA 
1749502800.0 10005.0 NA 315 527 0 160 188 NA NA NA NA 411 738 0 235 279 NA NA NA NA 624 782 197 171 266 NA NA NA NA 256 850 257 244 312 NA NA NA 
1749502800.0 10006.0 NA 314 524 0 154 186 NA NA NA NA 415 725 0 229 277 NA NA NA NA 623 755 188 179 260 NA NA NA NA 281 713 214 243 289 NA NA NA 
1749502800.0 10007.0 NA 313 517 0 190 178 NA NA NA NA 421 750 0 305 281 NA NA NA NA 653 807 211 189 286 NA NA NA NA 281 855 273 213 326 NA NA NA 
1749502800.0 10008.0 NA 316 523 0 192 189 NA NA NA NA 426 738 0 312 289 NA NA NA NA 656 796 191 187 267 NA NA NA NA 288 793 241 215 302 NA NA NA 
1749502800.0 10009.0 NA 317 515 0 189 188 NA NA NA NA 415 737 0 304 286 NA NA NA NA 625 821 203 181 285 NA NA NA NA 268 886 246 209 380 NA NA NA 
1749502800.0 1001.0 NA 342 197 0 0 0 0 0 0 NA 480 286 0 0 0 0 0 0 NA 1124 206 54 39 58 120 61 92 NA 779 221 65 51 69 142 75 103 
1749502800.0 1001.2 NA 564 247 0 0 0 0 NA NA NA 799 370 0 0 0 0 NA NA NA 4436 381 47 55 56 58 NA NA NA 1521 269 58 84 68 69 NA NA 
1749502800.0 1001.3 NA 542 218 0 NA NA NA NA NA NA 771 342 0 NA NA NA NA NA NA 3857 235 121 NA NA NA NA NA NA 1608 235 152 NA NA NA NA NA 
1749502800.0 1001.4 NA 543 191 0 0 0 NA NA NA NA 763 299 0 0 0 NA NA NA NA 4169 196 53 55 52 NA NA NA NA 1828 236 71 71 63 NA NA NA 
1749502800.0 1002.0 NA 408 140 NA NA NA NA NA NA NA 565 186 NA NA NA NA NA NA NA 1253 107 NA NA NA NA NA NA NA 1087 105 NA NA NA NA NA NA 
1749502800.0 1002.3 NA 523 240 0 NA NA NA NA NA NA 769 363 0 NA NA NA NA NA NA 3051 338 120 NA NA NA NA NA NA 1447 308 170 NA NA NA NA NA 
1749502800.0 1002.4 NA 540 0 NA NA NA NA NA NA NA 748 0 NA NA NA NA NA NA NA 4402 175 NA NA NA NA NA NA NA 1822 195 NA NA NA NA NA NA 
1749502800.0 1002.5 NA 156 139 0 0 NA NA NA NA NA 241 210 0 0 NA NA NA NA NA 157 118 100 50 NA NA NA NA NA 202 143 112 61 NA NA NA NA 
1749502800.0 10023.0 NA 318 524 0 158 181 NA NA NA NA 409 730 0 226 281 NA NA NA NA 624 796 189 168 283 NA NA NA NA 266 845 204 192 368 NA NA NA 
1749502800.0 10024.0 NA 326 550 0 193 191 NA NA NA NA 421 767 0 307 286 NA NA NA NA 687 889 200 186 254 NA NA NA NA 313 747 244 217 267 NA NA NA 
1749502800.0 10024.1 NA 328 314 0 NA NA NA NA NA NA 439 444 0 NA NA NA NA NA NA 649 363 195 NA NA NA NA NA NA 277 328 226 NA NA NA NA NA 
