Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 
1751922000.0 1.0 156 184 320 NA NA NA 239 253 463 NA NA NA 605 172 445 NA NA NA 420 201 538 NA NA NA 
1751922000.0 10001.0 NA 305 515 0 160 184 NA 431 752 0 231 277 NA 633 762 187 167 272 NA 307 918 219 204 329 
1751922000.0 10002.0 NA 302 476 0 156 181 NA 425 737 0 227 278 NA 620 791 184 182 267 NA 419 897 204 256 347 
1751922000.0 10004.0 NA 299 513 0 160 181 NA 420 742 0 230 280 NA 630 781 190 167 327 NA 355 801 211 221 367 
1751922000.0 10006.0 NA 315 506 0 154 180 NA 429 723 0 229 277 NA 717 807 183 180 267 NA 401 1080 211 265 387 
1751922000.0 10007.0 NA 304 513 0 185 188 NA 423 766 0 303 275 NA 777 1073 185 191 267 NA 421 1213 215 342 309 
1751922000.0 10008.0 NA 314 519 0 189 183 NA 414 729 0 304 281 NA 630 793 189 181 332 NA 361 931 213 257 392 
1751922000.0 1002.0 NA 411 138 NA NA NA NA 567 173 NA NA NA NA 1190 100 NA NA NA NA 1030 93 NA NA NA 
1751922000.0 1002.5 NA 155 138 0 0 NA NA 239 212 0 0 NA NA 167 113 95 50 NA NA 246 146 101 63 NA 
1751922000.0 10024.0 NA 322 525 0 167 178 NA 442 734 0 314 281 NA 747 1142 214 183 263 NA 385 1147 305 242 321 
1751922000.0 10024.1 NA 328 316 0 NA NA NA 414 439 0 NA NA NA 613 331 182 NA NA NA 274 313 214 NA NA 
1751922000.0 10024.3 NA 327 289 0 NA NA NA 437 423 0 NA NA NA 628 329 152 NA NA NA 263 368 169 NA NA 
1751922000.0 10024.4 NA 327 494 0 NA NA NA 419 754 0 NA NA NA 617 792 181 NA NA NA 314 778 239 NA NA 
1751922000.0 10025.0 NA 316 532 0 157 179 NA 422 744 0 230 277 NA 632 791 190 185 338 NA 281 907 206 286 388 
1751922000.0 10026.0 NA 325 506 0 164 148 NA 424 767 0 241 289 NA 751 1241 206 168 339 NA 341 1279 225 206 405 
1751922000.0 1003.0 NA 403 0 NA NA NA NA 656 0 NA NA NA NA 1147 118 NA NA NA NA 678 146 NA NA NA 
1751922000.0 10042.0 NA 317 520 0 192 182 NA 431 751 0 307 279 NA 748 1051 194 189 293 NA 393 1207 215 295 324 
1751922000.0 1005.0 NA 217 168 0 0 NA NA 378 273 0 0 NA NA 233 107 36 49 NA NA 281 116 48 80 NA 
1751922000.0 10071.0 NA 316 527 0 161 189 NA 430 768 0 230 281 NA 815 995 202 180 308 NA 417 989 235 337 372 
1751922000.0 101.0 180 NA NA NA NA NA 302 NA NA NA NA NA 316 NA NA NA NA NA 382 NA NA NA NA NA 
1751922000.0 1010.0 NA 90 109 0 NA NA NA 156 177 0 NA NA NA 76 82 52 NA NA NA 134 96 60 NA NA 
1751922000.0 102.0 174 NA NA NA NA NA 290 NA NA NA NA NA 297 NA NA NA NA NA 288 NA NA NA NA NA 
1751922000.0 1020.0 NA 98 86 0 95 NA NA 173 161 0 167 NA NA 99 64 25 86 NA NA 194 84 35 134 NA 
1751922000.0 103.0 97 0 0 NA NA NA 174 0 0 NA NA NA 240 63 602 NA NA NA 348 87 729 NA NA NA 
1751922000.0 1030.0 NA 285 98 0 0 NA NA 466 167 0 0 NA NA 2145 85 25 24 NA NA 780 97 40 34 NA 
1751922000.0 1040.0 NA 506 84 0 NA NA NA 709 145 0 NA NA NA 4757 89 58 NA NA NA 1772 153 73 NA NA 
1751922000.0 1040.1 NA 135 86 0 NA NA NA 213 146 0 NA NA NA 181 66 46 NA NA NA 271 79 58 NA NA 
1751922000.0 1041.0 NA 131 93 0 NA NA NA 212 158 0 NA NA NA 128 70 28 NA NA NA 210 88 39 NA NA 
1751922000.0 1042.0 NA 132 90 0 NA NA NA 215 154 0 NA NA NA 260 72 27 NA NA NA 641 97 37 NA NA 
1751922000.0 10424.0 NA 279 472 0 NA NA NA 361 747 0 NA NA NA 249 1107 202 NA NA NA 392 1258 253 NA NA 
1751922000.0 1046.0 NA 104 90 0 NA NA NA 176 158 0 NA NA NA 118 69 25 NA NA NA 169 93 36 NA NA 
1751922000.0 1047.0 NA 103 108 0 NA NA NA 177 178 0 NA NA NA 118 88 28 NA NA NA 176 106 35 NA NA 
1751922000.0 1048.0 NA 104 102 0 NA NA NA 178 172 0 NA NA NA 123 87 24 NA NA NA 244 113 31 NA NA 
1751922000.0 1049.0 NA 111 0 NA NA NA NA 181 0 NA NA NA NA 727 66 NA NA NA NA 910 93 NA NA NA 
1751922000.0 105.0 152 187 101 NA NA NA 238 262 162 NA NA NA 578 156 80 NA NA NA 409 138 94 NA NA NA 
1751922000.0 1052.0 NA 217 166 0 NA NA NA 386 266 0 NA NA NA 217 107 25 NA NA NA 240 124 34 NA NA 
1751922000.0 1052.1 NA 149 0 NA NA NA NA 252 0 NA NA NA NA 96 27 NA NA NA NA 110 38 NA NA NA 
1751922000.0 106.0 116 0 0 NA NA NA 170 0 0 NA NA NA 241 57 602 NA NA NA 270 86 755 NA NA NA 
1751922000.0 108.0 154 192 407 NA NA NA 240 273 561 NA NA NA 869 174 757 NA NA NA 448 174 751 NA NA NA 
1751922000.0 10801.0 NA 300 517 0 161 189 NA 393 759 0 228 285 NA 615 768 190 170 274 NA 325 825 259 277 378 
1751922000.0 10802.0 NA 290 513 0 156 190 NA 388 749 0 226 283 NA 773 955 189 188 274 NA 484 1172 214 338 395 
1751922000.0 10803.0 NA 299 485 0 160 190 NA 392 762 0 228 287 NA 775 1002 187 180 283 NA 517 1103 214 308 414 
1751922000.0 10805.0 NA 299 512 0 160 191 NA 393 733 0 231 282 NA 718 851 190 165 310 NA 491 942 212 204 369 
1751922000.0 10806.0 NA 293 507 0 160 185 NA 415 751 0 231 278 NA 731 1019 192 174 273 NA 423 1164 263 230 413 
1751922000.0 10807.0 NA 303 476 0 187 184 NA 401 717 0 307 283 NA 615 772 189 179 341 NA 372 750 226 360 391 
1751922000.0 10808.0 NA 305 520 0 188 185 NA 411 753 0 310 287 NA 619 778 189 176 370 NA 315 777 217 226 400 
1751922000.0 10809.0 NA 307 517 0 189 186 NA 414 751 0 312 290 NA 615 823 188 178 305 NA 323 813 227 225 338 
1751922000.0 10823.0 NA 298 516 0 156 179 NA 405 741 0 227 280 NA 621 766 189 171 290 NA 453 762 220 280 352 
1751922000.0 10824.0 NA 308 529 0 190 193 NA 422 744 0 308 289 NA 756 1089 215 174 272 NA 562 1050 268 216 328 
1751922000.0 10824.1 NA 276 313 0 NA NA NA 405 444 0 NA NA NA 601 343 182 NA NA NA 273 337 205 NA NA 
1751922000.0 10824.6 NA 304 530 0 182 193 NA 396 756 0 317 284 NA 799 1009 209 197 273 NA 420 966 249 316 357 
1751922000.0 10824.8 NA 319 531 0 191 187 NA 409 768 0 305 279 NA 771 1103 205 173 287 NA 363 1388 245 218 432 
1751922000.0 10842.0 NA 302 530 0 193 191 NA 397 752 0 307 280 NA 630 822 213 174 363 NA 341 846 284 211 423 
1751922000.0 10871.0 NA 305 527 0 163 190 NA 415 749 0 241 288 NA 805 1018 206 172 277 NA 386 971 228 235 348 
1751922000.0 110.0 122 186 391 NA NA NA 185 265 542 NA NA NA 245 155 693 NA NA NA 297 166 796 NA NA NA 
1751922000.0 115.0 155 191 359 NA NA NA 239 267 552 NA NA NA 730 164 703 NA NA NA 413 145 725 NA NA NA 
1751922000.0 116.0 159 192 405 NA NA NA 238 270 554 NA NA NA 744 167 719 NA NA NA 394 162 837 NA NA NA 
1751922000.0 11601.0 NA 313 567 0 162 NA NA 420 785 0 236 NA NA 567 776 179 143 NA NA 279 812 210 153 NA 
1751922000.0 11605.0 NA 318 566 0 162 NA NA 426 807 0 230 NA NA 557 782 181 142 NA NA 268 784 236 156 NA 
1751922000.0 11609.0 NA 320 572 0 195 NA NA 430 825 0 314 NA NA 559 824 182 150 NA NA 240 892 221 156 NA 
1751922000.0 11634.1 NA 333 318 0 NA NA NA 450 452 0 NA NA NA 570 328 180 NA NA NA 220 328 199 NA NA 
1751922000.0 11634.5 NA 329 171 0 NA NA NA 436 310 0 NA NA NA 573 195 78 NA NA NA 244 211 90 NA NA 
1751922000.0 11634.601 NA 325 109 595 0 NA NA 424 173 813 0 NA NA 577 51 882 197 NA NA 257 65 775 216 NA 
1751922000.0 11646.0 NA 326 580 0 164 NA NA 445 850 0 237 NA NA 582 836 191 141 NA NA 268 834 233 145 NA 
1751922000.0 117.0 158 192 406 NA NA NA 243 270 569 NA NA NA 772 165 708 NA NA NA 420 148 705 NA NA NA 
1751922000.0 11834.24 NA 260 528 0 NA NA NA 357 790 0 NA NA NA 261 1030 213 NA NA NA 254 1131 263 NA NA 
1751922000.0 12.0 NA 220 421 0 NA NA NA 315 591 0 NA NA NA 700 1577 232 NA NA NA 389 1069 273 NA NA 
1751922000.0 12034.0 NA 292 581 0 NA NA NA 383 837 0 NA NA NA 185 838 197 NA NA NA 135 833 223 NA NA 
1751922000.0 122.0 128 180 387 NA NA NA 198 252 535 NA NA NA 263 121 665 NA NA NA 255 150 739 NA NA NA 
1751922000.0 123.1 419 NA NA NA NA NA 541 NA NA NA NA NA 391 NA NA NA NA NA 423 NA NA NA NA NA 
1751922000.0 123.2 412 NA NA NA NA NA 549 NA NA NA NA NA 409 NA NA NA NA NA 327 NA NA NA NA NA 
1751922000.0 123.3 328 NA NA NA NA NA 447 NA NA NA NA NA 324 NA NA NA NA NA 319 NA NA NA NA NA 
1751922000.0 124.1 396 NA NA NA NA NA 511 NA NA NA NA NA 343 NA NA NA NA NA 325 NA NA NA NA NA 
1751922000.0 124.2 405 NA NA NA NA NA 539 NA NA NA NA NA 355 NA NA NA NA NA 343 NA NA NA NA NA 
1751922000.0 124.4 401 NA NA NA NA NA 519 NA NA NA NA NA 347 NA NA NA NA NA 404 NA NA NA NA NA 
1751922000.0 124.5 395 NA NA NA NA NA 512 NA NA NA NA NA 358 NA NA NA NA NA 425 NA NA NA NA NA 
1751922000.0 124.6 339 NA NA NA NA NA 453 NA NA NA NA NA 328 NA NA NA NA NA 357 NA NA NA NA NA 
1751922000.0 12434.511 NA 327 144 0 NA NA NA 431 234 0 NA NA NA 766 158 65 NA NA NA 294 177 76 NA NA 
