Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 
1740607200.0 101.0 179 NA NA NA NA NA NA 302 NA NA NA NA NA NA 283 NA NA NA NA NA NA 267 NA NA NA NA NA NA 
1740607200.0 102.0 177 NA NA NA NA NA NA 287 NA NA NA NA NA NA 266 NA NA NA NA NA NA 234 NA NA NA NA NA NA 
1740607200.0 1020.0 NA 97 86 0 94 NA NA NA 168 159 0 167 NA NA NA 86 70 23 86 NA NA NA 154 90 31 120 NA NA 
1740607200.0 105.0 158 207 121 NA NA NA NA 238 290 185 NA NA NA NA 621 246 175 NA NA NA NA 462 250 185 NA NA NA NA 
1740607200.0 123.1 416 NA NA NA NA NA NA 544 NA NA NA NA NA NA 364 NA NA NA NA NA NA 390 NA NA NA NA NA NA 
1740607200.0 123.2 414 NA NA NA NA NA NA 547 NA NA NA NA NA NA 397 NA NA NA NA NA NA 339 NA NA NA NA NA NA 
1740607200.0 123.3 331 NA NA NA NA NA NA 443 NA NA NA NA NA NA 316 NA NA NA NA NA NA 385 NA NA NA NA NA NA 
1740607200.0 124.1 395 NA NA NA NA NA NA 500 NA NA NA NA NA NA 315 NA NA NA NA NA NA 334 NA NA NA NA NA NA 
1740607200.0 124.2 410 NA NA NA NA NA NA 540 NA NA NA NA NA NA 338 NA NA NA NA NA NA 271 NA NA NA NA NA NA 
1740607200.0 124.4 397 NA NA NA NA NA NA 529 NA NA NA NA NA NA 312 NA NA NA NA NA NA 295 NA NA NA NA NA NA 
1740607200.0 124.5 400 NA NA NA NA NA NA 520 NA NA NA NA NA NA 317 NA NA NA NA NA NA 322 NA NA NA NA NA NA 
1740607200.0 124.6 327 NA NA NA NA NA NA 436 NA NA NA NA NA NA 310 NA NA NA NA NA NA 293 NA NA NA NA NA NA 
1740607200.0 135.11 452 0 221 178 NA NA NA 616 0 329 268 NA NA NA 449 100 327 176 NA NA NA 485 142 428 200 NA NA NA 
1740607200.0 135.2 374 0 223 175 NA NA NA 507 0 319 255 NA NA NA 323 90 244 171 NA NA NA 443 154 408 188 NA NA NA 
1740607200.0 135.3 374 0 231 176 NA NA NA 516 0 326 268 NA NA NA 326 84 254 173 NA NA NA 407 122 387 192 NA NA NA 
1740607200.0 135.6 448 0 232 175 NA NA NA 613 0 331 257 NA NA NA 380 97 259 174 NA NA NA 471 138 279 198 NA NA NA 
1740607200.0 135.7 444 0 227 178 NA NA NA 592 0 328 269 NA NA NA 367 88 254 171 NA NA NA 415 136 335 205 NA NA NA 
1740607200.0 135.9 442 0 229 175 NA NA NA 582 0 326 261 NA NA NA 348 90 245 169 NA NA NA 419 131 296 198 NA NA NA 
1740607200.0 136.7803 NA 208 0 NA NA NA NA NA 294 0 NA NA NA NA NA 385 60 NA NA NA NA NA 613 72 NA NA NA NA 
1740607200.0 136.901 NA 276 257 271 169 264 276 NA 425 401 355 240 399 396 NA 2879 648 532 231 293 424 NA 3488 1016 770 320 510 664 
1740607200.0 136.902 NA 281 254 261 169 260 278 NA 425 389 355 240 399 385 NA 2522 595 636 237 293 430 NA 3090 916 1017 386 481 591 
1740607200.0 136.903 NA 310 300 339 178 302 295 NA 492 444 446 249 445 428 NA 3788 1899 1610 420 531 676 NA 4630 2700 2169 514 664 858 
1740607200.0 136.904 NA 312 290 322 176 300 295 NA 492 444 439 244 413 428 NA 3544 1217 1104 311 416 557 NA 4551 1802 1443 411 607 761 
1740607200.0 141.113 NA 0 0 0 NA NA NA NA 0 0 0 NA NA NA NA 149 509 198 NA NA NA NA 156 588 207 NA NA NA 
1740607200.0 144.6 NA 415 NA NA NA NA NA NA 572 NA NA NA NA NA NA 1212 NA NA NA NA NA NA 1011 NA NA NA NA NA 
1740607200.0 159.03 208 357 224 357 212 NA NA 295 493 318 507 295 NA NA 4883 598 203 494 211 NA NA 6368 794 289 568 200 NA NA 
1740607200.0 2017.4 510 0 228 176 NA NA NA 660 0 334 267 NA NA NA 394 102 251 171 NA NA NA 496 154 368 207 NA NA NA 
1740607200.0 2017.5 511 0 228 178 NA NA NA 644 0 330 264 NA NA NA 390 101 243 171 NA NA NA 483 149 260 185 NA NA NA 
1740607200.0 2018.12 512 0 230 180 NA NA NA 674 0 331 269 NA NA NA 424 103 249 176 NA NA NA 537 159 268 192 NA NA NA 
1740607200.0 2018.2 441 0 225 180 NA NA NA 573 0 320 262 NA NA NA 367 96 244 178 NA NA NA 407 167 322 205 NA NA NA 
1740607200.0 2018.6 514 0 231 181 NA NA NA 691 0 330 273 NA NA NA 430 106 258 177 NA NA NA 466 157 282 193 NA NA NA 
1740607200.0 2018.7 510 0 225 180 NA NA NA 686 0 329 266 NA NA NA 387 102 248 178 NA NA NA 439 161 339 193 NA NA NA 
1740607200.0 24034.0 NA 536 636 0 248 NA NA NA 714 835 0 345 NA NA NA 1234 1736 361 745 NA NA NA 894 1715 384 773 NA NA 
1740607200.0 24834.911 172 624 687 0 253 NA NA 230 832 916 0 358 NA NA 4083 2371 2596 670 461 NA NA 2416 1725 2257 919 527 NA NA 
1740607200.0 2500.224 NA 255 NA NA NA NA NA NA 370 NA NA NA NA NA NA 7481 NA NA NA NA NA NA 3944 NA NA NA NA NA 
1740607200.0 2500.225 NA 272 NA NA NA NA NA NA 405 NA NA NA NA NA NA 7926 NA NA NA NA NA NA 2778 NA NA NA NA NA 
1740607200.0 2500.228 NA 248 NA NA NA NA NA NA 379 NA NA NA NA NA NA 9607 NA NA NA NA NA NA 4738 NA NA NA NA NA 
1740607200.0 2500.232 NA 223 NA NA NA NA NA NA 343 NA NA NA NA NA NA 676 NA NA NA NA NA NA 514 NA NA NA NA NA 
1740607200.0 2500.236 NA 254 NA NA NA NA NA NA 344 NA NA NA NA NA NA 600 NA NA NA NA NA NA 377 NA NA NA NA NA 
1740607200.0 2500.238 NA 262 NA NA NA NA NA NA 408 NA NA NA NA NA NA 5863 NA NA NA NA NA NA 3787 NA NA NA NA NA 
1740607200.0 2500.241 NA 230 NA NA NA NA NA NA 344 NA NA NA NA NA NA 232 NA NA NA NA NA NA 223 NA NA NA NA NA 
1740607200.0 2500.901 NA 146 NA NA NA NA NA NA 235 NA NA NA NA NA NA 382 NA NA NA NA NA NA 321 NA NA NA NA NA 
1740607200.0 250399.0 310 NA NA NA NA NA NA 419 NA NA NA NA NA NA 276 NA NA NA NA NA NA 309 NA NA NA NA NA NA 
1740607200.0 250399.17 326 NA NA NA NA NA NA 488 NA NA NA NA NA NA 385 NA NA NA NA NA NA 317 NA NA NA NA NA NA 
1740607200.0 250399.18 371 NA NA NA NA NA NA 508 NA NA NA NA NA NA 403 NA NA NA NA NA NA 330 NA NA NA NA NA NA 
1740607200.0 250400.0 478 0 233 NA NA NA NA 629 0 339 NA NA NA NA 397 89 247 NA NA NA NA 540 148 264 NA NA NA NA 
1740607200.0 250400.17 554 0 235 NA NA NA NA 700 0 338 NA NA NA NA 477 97 258 NA NA NA NA 594 106 260 NA NA NA NA 
1740607200.0 250400.18 566 0 236 NA NA NA NA 719 0 336 NA NA NA NA 484 99 251 NA NA NA NA 651 130 237 NA NA NA NA 
1740607200.0 250402.0 487 0 234 NA NA NA NA 628 0 325 NA NA NA NA 440 92 267 NA NA NA NA 532 136 245 NA NA NA NA 
1740607200.0 250402.17 558 0 241 NA NA NA NA 708 0 338 NA NA NA NA 489 105 270 NA NA NA NA 571 130 270 NA NA NA NA 
1740607200.0 250402.18 578 0 236 NA NA NA NA 732 0 331 NA NA NA NA 503 103 270 NA NA NA NA 559 160 314 NA NA NA NA 
1740607200.0 250403.0 477 0 231 NA NA NA NA 634 0 325 NA NA NA NA 410 88 252 NA NA NA NA 512 139 261 NA NA NA NA 
1740607200.0 250403.17 557 0 246 NA NA NA NA 708 0 343 NA NA NA NA 488 96 265 NA NA NA NA 589 109 296 NA NA NA NA 
1740607200.0 250403.18 563 0 239 NA NA NA NA 705 0 331 NA NA NA NA 499 96 259 NA NA NA NA 581 107 243 NA NA NA NA 
1740607200.0 250405.0 478 0 237 NA NA NA NA 613 0 332 NA NA NA NA 396 87 247 NA NA NA NA 539 129 239 NA NA NA NA 
1740607200.0 250405.17 555 0 237 NA NA NA NA 727 0 340 NA NA NA NA 465 97 256 NA NA NA NA 556 108 339 NA NA NA NA 
1740607200.0 250405.18 564 0 234 NA NA NA NA 696 0 328 NA NA NA NA 486 97 257 NA NA NA NA 614 108 267 NA NA NA NA 
1740607200.0 250406.0 479 0 239 NA NA NA NA 622 0 327 NA NA NA NA 373 86 242 NA NA NA NA 519 98 244 NA NA NA NA 
1740607200.0 250406.17 550 0 232 NA NA NA NA 708 0 332 NA NA NA NA 438 98 247 NA NA NA NA 589 106 243 NA NA NA NA 
1740607200.0 250406.18 560 0 234 NA NA NA NA 701 0 320 NA NA NA NA 446 108 246 NA NA NA NA 541 159 268 NA NA NA NA 
1740607200.0 250407.0 408 0 224 NA NA NA NA 549 0 322 NA NA NA NA 362 78 242 NA NA NA NA 519 127 245 NA NA NA NA 
1740607200.0 250407.17 481 0 232 NA NA NA NA 625 0 326 NA NA NA NA 427 88 254 NA NA NA NA 585 127 339 NA NA NA NA 
1740607200.0 250407.18 485 0 226 NA NA NA NA 651 0 323 NA NA NA NA 439 90 253 NA NA NA NA 591 140 347 NA NA NA NA 
1740607200.0 250408.0 485 0 233 NA NA NA NA 645 0 334 NA NA NA NA 424 91 259 NA NA NA NA 560 149 254 NA NA NA NA 
1740607200.0 250408.17 557 0 241 NA NA NA NA 729 0 342 NA NA NA NA 511 103 274 NA NA NA NA 592 136 294 NA NA NA NA 
1740607200.0 250408.18 566 0 237 NA NA NA NA 702 0 329 NA NA NA NA 519 101 270 NA NA NA NA 546 116 248 NA NA NA NA 
1740607200.0 250409.0 496 0 238 NA NA NA NA 667 0 335 NA NA NA NA 494 91 317 NA NA NA NA 540 101 276 NA NA NA NA 
1740607200.0 250409.17 568 0 240 NA NA NA NA 731 0 333 NA NA NA NA 600 102 322 NA NA NA NA 642 112 261 NA NA NA NA 
1740607200.0 250409.18 576 0 238 NA NA NA NA 742 0 344 NA NA NA NA 602 105 323 NA NA NA NA 634 138 356 NA NA NA NA 
1740607200.0 25400.0 574 0 229 NA NA NA NA 727 0 340 NA NA NA NA 763 93 251 NA NA NA NA 683 132 266 NA NA NA NA 
