Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 
1743973200.0 1.0 157 184 328 NA NA NA NA 243 260 455 NA NA NA NA 780 210 473 NA NA NA NA 575 272 688 NA NA NA NA 
1743973200.0 1002.0 NA 417 140 NA NA NA NA NA 572 184 NA NA NA NA NA 1215 114 NA NA NA NA NA 1116 106 NA NA NA NA 
1743973200.0 10224.0 NA 499 786 0 189 NA NA NA 672 1068 0 283 NA NA NA 1458 2054 232 367 NA NA NA 732 1450 259 396 NA NA 
1743973200.0 10224.15 NA 482 781 0 209 NA NA NA 681 1045 0 313 NA NA NA 1441 2032 283 515 NA NA NA 844 1466 316 634 NA NA 
1743973200.0 10225.0 NA 498 710 0 190 NA NA NA 646 1006 0 281 NA NA NA 1334 1839 224 369 NA NA NA 632 1378 252 407 NA NA 
1743973200.0 103.0 120 0 0 NA NA NA NA 177 0 0 NA NA NA NA 292 81 796 NA NA NA NA 361 119 1081 NA NA NA NA 
1743973200.0 10424.0 NA 283 514 0 NA NA NA NA 375 756 0 NA NA NA NA 178 788 215 NA NA NA NA 161 753 263 NA NA NA 
1743973200.0 106.0 120 0 0 NA NA NA NA 176 0 0 NA NA NA NA 242 63 605 NA NA NA NA 303 79 664 NA NA NA NA 
1743973200.0 110.0 121 188 399 NA NA NA NA 175 266 565 NA NA NA NA 252 164 727 NA NA NA NA 300 181 766 NA NA NA NA 
1743973200.0 11024.6 NA 570 846 0 195 NA NA NA 762 1165 0 288 NA NA NA 1983 2431 250 363 NA NA NA 917 1604 273 392 NA NA 
1743973200.0 11025.0 NA 525 861 0 190 NA NA NA 789 1221 0 291 NA NA NA 1980 2230 281 348 NA NA NA 1007 1765 311 486 NA NA 
1743973200.0 11224.0 NA 284 547 0 NA NA NA NA 367 742 0 NA NA NA NA 190 904 215 NA NA NA NA 170 953 268 NA NA NA 
1743973200.0 11224.6 NA 282 551 0 NA NA NA NA 366 766 0 NA NA NA NA 195 822 223 NA NA NA NA 201 835 248 NA NA NA 
1743973200.0 120.0 124 189 405 NA NA NA NA 195 271 534 NA NA NA NA 228 172 725 NA NA NA NA 273 172 762 NA NA NA NA 
1743973200.0 12034.0 NA 296 588 0 NA NA NA NA 384 831 0 NA NA NA NA 215 949 224 NA NA NA NA 173 974 283 NA NA NA 
1743973200.0 122.0 125 179 399 NA NA NA NA 188 248 564 NA NA NA NA 249 121 703 NA NA NA NA 274 176 705 NA NA NA NA 
1743973200.0 123.1 395 NA NA NA NA NA NA 561 NA NA NA NA NA NA 424 NA NA NA NA NA NA 502 NA NA NA NA NA NA 
1743973200.0 123.2 420 NA NA NA NA NA NA 574 NA NA NA NA NA NA 461 NA NA NA NA NA NA 474 NA NA NA NA NA NA 
1743973200.0 123.3 336 NA NA NA NA NA NA 440 NA NA NA NA NA NA 367 NA NA NA NA NA NA 420 NA NA NA NA NA NA 
1743973200.0 124.1 400 NA NA NA NA NA NA 525 NA NA NA NA NA NA 363 NA NA NA NA NA NA 417 NA NA NA NA NA NA 
1743973200.0 124.2 412 NA NA NA NA NA NA 559 NA NA NA NA NA NA 397 NA NA NA NA NA NA 420 NA NA NA NA NA NA 
1743973200.0 124.5 399 NA NA NA NA NA NA 537 NA NA NA NA NA NA 370 NA NA NA NA NA NA 459 NA NA NA NA NA NA 
1743973200.0 124.6 335 NA NA NA NA NA NA 467 NA NA NA NA NA NA 384 NA NA NA NA NA NA 321 NA NA NA NA NA NA 
1743973200.0 126.0 127 188 403 NA NA NA NA 202 270 555 NA NA NA NA 391 168 709 NA NA NA NA 332 189 753 NA NA NA NA 
1743973200.0 127.0 124 187 400 NA NA NA NA 186 263 566 NA NA NA NA 307 171 703 NA NA NA NA 342 185 734 NA NA NA NA 
1743973200.0 128.0 120 188 401 NA NA NA NA 176 263 560 NA NA NA NA 229 167 692 NA NA NA NA 284 181 701 NA NA NA NA 
1743973200.0 129.0 123 187 396 NA NA NA NA 176 269 553 NA NA NA NA 225 165 700 NA NA NA NA 244 159 691 NA NA NA NA 
1743973200.0 130.0 124 187 399 NA NA NA NA 177 263 565 NA NA NA NA 238 169 700 NA NA NA NA 286 200 703 NA NA NA NA 
1743973200.0 1301.0 149 238 356 NA NA NA NA 217 325 531 NA NA NA NA 799 209 475 NA NA NA NA 540 249 590 NA NA NA NA 
1743973200.0 13034.0 NA 621 1035 0 NA NA NA NA 896 1433 0 NA NA NA NA 2040 3175 266 NA NA NA NA 1111 2194 306 NA NA NA 
1743973200.0 1306.0 NA 245 461 0 NA NA NA NA 346 620 0 NA NA NA NA 166 742 160 NA NA NA NA 177 826 176 NA NA NA 
1743973200.0 1309.0 NA 257 481 0 NA NA NA NA 360 636 0 NA NA NA NA 171 824 173 NA NA NA NA 192 916 187 NA NA NA 
1743973200.0 131.0 126 189 401 NA NA NA NA 192 272 561 NA NA NA NA 338 169 731 NA NA NA NA 319 187 768 NA NA NA NA 
1743973200.0 1311.0 NA 250 431 0 136 NA NA NA 357 629 0 202 NA NA NA 167 601 176 158 NA NA NA 197 703 222 213 NA NA 
