Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 
1751752800.0 1.0 155 186 329 NA 240 265 442 NA 556 155 417 NA 416 198 488 NA 
1751752800.0 103.0 121 0 0 NA 176 0 0 NA 237 60 549 NA 267 115 699 NA 
1751752800.0 106.0 120 0 0 NA 177 0 0 NA 236 60 556 NA 273 93 713 NA 
1751752800.0 110.0 124 190 399 NA 177 273 555 NA 247 152 643 NA 259 180 733 NA 
1751752800.0 111.0 134 184 394 NA 206 254 560 NA 300 116 631 NA 282 166 788 NA 
1751752800.0 122.0 125 180 387 NA 190 257 559 NA 249 112 618 NA 263 208 822 NA 
1751752800.0 127.0 123 190 396 NA 186 264 577 NA 291 154 647 NA 263 209 803 NA 
1751752800.0 128.0 123 188 396 NA 178 265 553 NA 222 151 646 NA 258 208 741 NA 
1751752800.0 129.0 122 190 397 NA 175 273 558 NA 221 154 631 NA 263 187 703 NA 
1751752800.0 130.0 121 188 394 NA 174 261 565 NA 233 153 640 NA 262 206 802 NA 
1751752800.0 1301.0 152 240 358 NA 215 332 503 NA 623 165 428 NA 438 160 470 NA 
1751752800.0 131.0 125 189 399 NA 190 267 556 NA 333 152 649 NA 271 204 732 NA 
1751752800.0 140.113 NA 0 0 0 NA 0 0 0 NA 69 790 383 NA 114 885 445 
1751752800.0 2500.2701 NA 311 198 0 NA 424 274 0 NA 1044 268 63 NA 793 310 107 
1751752800.0 2500.3001 NA 298 0 NA NA 456 0 NA NA 5104 62 NA NA 2097 83 NA 
1751752800.0 2500.3101 NA 267 0 NA NA 414 0 NA NA 2640 63 NA NA 1248 111 NA 
1751752800.0 2500.3102 NA 272 0 NA NA 369 0 NA NA 578 61 NA NA 419 104 NA 
1751752800.0 2500.3201 NA 281 NA NA NA 393 NA NA NA 747 NA NA NA 553 NA NA 
1751752800.0 2500.3202 NA 296 NA NA NA 416 NA NA NA 820 NA NA NA 653 NA NA 
1751752800.0 2500.3203 NA 323 NA NA NA 437 NA NA NA 2020 NA NA NA 951 NA NA 
1751752800.0 2500.3204 NA 325 NA NA NA 451 NA NA NA 6866 NA NA NA 2390 NA NA 
1751752800.0 2500.3205 NA 352 NA NA NA 487 NA NA NA 7343 NA NA NA 2585 NA NA 
1751752800.0 2500.3206 NA 295 NA NA NA 414 NA NA NA 803 NA NA NA 630 NA NA 
1751752800.0 2500.3207 NA 267 NA NA NA 405 NA NA NA 5275 NA NA NA 2188 NA NA 
1751752800.0 2500.3208 NA 320 NA NA NA 483 NA NA NA 8949 NA NA NA 3360 NA NA 
1751752800.0 2500.3209 NA 306 NA NA NA 443 NA NA NA 5378 NA NA NA 2539 NA NA 
1751752800.0 2500.3301 NA 252 NA NA NA 348 NA NA NA 513 NA NA NA 474 NA NA 
1751752800.0 2500.3302 NA 264 NA NA NA 361 NA NA NA 570 NA NA NA 543 NA NA 
1751752800.0 2500.3303 NA 286 NA NA NA 391 NA NA NA 1748 NA NA NA 1046 NA NA 
1751752800.0 2500.3304 NA 289 NA NA NA 390 NA NA NA 5619 NA NA NA 2208 NA NA 
1751752800.0 2500.3305 NA 319 NA NA NA 436 NA NA NA 6613 NA NA NA 2652 NA NA 
1751752800.0 2500.3306 NA 264 NA NA NA 364 NA NA NA 551 NA NA NA 487 NA NA 
1751752800.0 2500.3307 NA 175 NA NA NA 270 NA NA NA 3336 NA NA NA 1418 NA NA 
1751752800.0 2500.3308 NA 298 NA NA NA 469 NA NA NA 5618 NA NA NA 2229 NA NA 
1751752800.0 2500.3309 NA 274 NA NA NA 412 NA NA NA 2848 NA NA NA 1598 NA NA 
1751752800.0 2500.9001 NA 199 NA NA NA 294 NA NA NA 480 NA NA NA 428 NA NA 
1751752800.0 2500.9002 NA 162 NA NA NA 263 NA NA NA 491 NA NA NA 490 NA NA 
1751752800.0 2500.9101 93 114 NA NA 125 196 NA NA 89 113 NA NA 101 149 NA NA 
1751752800.0 2500.9102 66 96 112 NA 109 131 195 NA 3305 100 110 NA 1651 97 143 NA 
1751752800.0 2500.9103 66 97 114 NA 110 132 200 NA 438 98 117 NA 201 89 195 NA 
1751752800.0 250199.0 387 NA NA NA 528 NA NA NA 877 NA NA NA 578 NA NA NA 
1751752800.0 250199.17 391 NA NA NA 536 NA NA NA 973 NA NA NA 677 NA NA NA 
1751752800.0 250199.18 467 NA NA NA 646 NA NA NA 1437 NA NA NA 889 NA NA NA 
1751752800.0 29634.759 NA 681 NA NA NA 872 NA NA NA 1003 NA NA NA 900 NA NA 
1751752800.0 29634.771 NA 663 NA NA NA 851 NA NA NA 973 NA NA NA 788 NA NA 
1751752800.0 29634.772 NA 696 NA NA NA 905 NA NA NA 1102 NA NA NA 992 NA NA 
1751752800.0 29861.97 1100 NA NA NA 1476 NA NA NA 3435 NA NA NA 1594 NA NA NA 
