Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3 
1754776800.0 144.6 NA 404 NA NA 571 NA NA 1217 NA NA 1025 NA 
1754776800.0 2500.0002 NA 348 0 NA 552 0 NA 35398 91 NA 21166 140 
1754776800.0 2500.2204 NA 299 NA NA 478 NA NA 8377 NA NA 2758 NA 
1754776800.0 2500.2208 NA 324 NA NA 522 NA NA 33351 NA NA 19994 NA 
1754776800.0 2500.2304 NA 318 NA NA 454 NA NA 6809 NA NA 2247 NA 
1754776800.0 2500.3204 NA 298 NA NA 432 NA NA 7094 NA NA 2254 NA 
1754776800.0 2500.3205 NA 354 NA NA 509 NA NA 7498 NA NA 2452 NA 
1754776800.0 2500.3208 NA 303 NA NA 467 NA NA 8883 NA NA 2986 NA 
1754776800.0 2500.3305 NA 290 NA NA 428 NA NA 6841 NA NA 2178 NA 
1754776800.0 34034.0 198 0 NA 256 0 NA 2076 0 NA 1121 0 NA 
