Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 
1742421600.0 1000.0 NA 381 289 0 119 NA 562 385 0 186 NA 7806 430 115 6598 NA 10048 441 154 6675 
1742421600.0 105.0 158 206 125 NA NA 242 288 193 NA NA 617 253 6665 NA NA 415 266 6760 NA NA 
1742421600.0 11.0 NA 225 421 0 138 NA 315 551 0 201 NA 694 7485 173 6624 NA 510 10138 225 6805 
1742421600.0 11603.0 NA 330 606 0 165 NA 451 836 0 241 NA 609 845 167 6579 NA 417 1176 266 7854 
1742421600.0 11606.0 NA 335 599 0 165 NA 453 821 0 237 NA 614 834 167 6655 NA 356 858 212 6741 
1742421600.0 11608.0 NA 340 602 0 196 NA 449 828 0 323 NA 637 878 172 6528 NA 356 868 277 7623 
1742421600.0 11609.0 NA 296 605 0 197 NA 455 808 0 320 NA 613 880 168 7189 NA 360 908 194 7285 
1742421600.0 11634.91 NA 349 625 0 202 NA 468 846 0 324 NA 655 976 187 6619 NA 523 907 276 6793 
1742421600.0 11640.0 NA 336 605 0 166 NA 461 851 0 238 NA 637 860 182 6539 NA 410 873 347 7264 
1742421600.0 11646.0 NA 344 614 0 168 NA 448 883 0 248 NA 640 924 181 6571 NA 341 909 298 7681 
1742421600.0 12461.0 NA 326 595 0 164 NA 438 832 0 237 NA 802 834 161 6551 NA 452 873 234 9888 
1742421600.0 139.005 NA 167 142 NA NA NA 280 281 NA NA NA 6171 10935 NA NA NA 2844 9076 NA NA 
1742421600.0 144.6 NA 429 NA NA NA NA 581 NA NA NA NA 7715 NA NA NA NA 8354 NA NA NA 
1742421600.0 24034.0 NA 550 642 0 252 NA 701 832 0 350 NA 763 1114 214 6879 NA 578 1191 247 7492 
1742421600.0 26034.0 181 630 696 0 256 238 833 941 0 371 2148 889 1165 233 6869 1157 677 997 262 8331 
1742421600.0 29751.85 NA 926 1228 0 276 NA 1291 2102 0 375 NA 3166 116595 265 6912 NA 1852 39068 391 7119 
1742421600.0 32434.0 179 635 697 0 260 244 811 929 0 354 2206 859 1181 228 6887 1211 921 1141 261 6998 
