Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 
1743026400.0 10.0 NA 224 449 0 NA NA NA NA 325 606 0 NA NA NA NA 659 1288 163 NA NA NA NA 277 740 176 NA NA NA 
1743026400.0 10002.0 NA 310 547 0 160 190 NA NA 417 763 0 235 293 NA NA 583 632 168 6621 249 NA NA 325 682 199 8135 306 NA 
1743026400.0 10004.0 NA 310 542 0 163 187 NA NA 422 752 0 233 292 NA NA 560 646 163 6492 251 NA NA 308 676 191 7299 316 NA 
1743026400.0 10005.0 NA 314 543 0 164 195 NA NA 435 784 0 243 290 NA NA 564 656 162 6466 237 NA NA 330 764 196 7137 372 NA 
1743026400.0 10007.0 NA 315 542 0 193 197 NA NA 420 739 0 311 295 NA NA 573 638 169 6561 258 NA NA 348 629 199 7060 307 NA 
1743026400.0 10008.0 NA 317 547 0 193 197 NA NA 426 760 0 310 298 NA NA 560 659 168 6471 236 NA NA 364 820 215 6747 345 NA 
1743026400.0 10009.0 NA 315 548 0 194 197 NA NA 415 759 0 310 297 NA NA 561 667 166 7263 230 NA NA 302 751 190 7366 257 NA 
1743026400.0 10024.0 NA 326 563 0 196 197 NA NA 431 743 0 315 293 NA NA 573 772 185 6656 258 NA NA 285 706 221 6933 298 NA 
1743026400.0 10025.0 NA 313 551 0 164 195 NA NA 420 793 0 236 291 NA NA 568 663 171 6407 233 NA NA 351 849 190 6980 260 NA 
1743026400.0 10026.0 NA 328 574 0 167 198 NA NA 444 793 0 239 297 NA NA 575 835 183 6498 233 NA NA 326 780 204 7512 261 NA 
1743026400.0 10042.0 NA 316 551 0 197 197 NA NA 430 747 0 320 290 NA NA 798 911 275 6713 253 NA NA 452 1325 352 6927 362 NA 
1743026400.0 10059.0 NA 327 573 0 167 200 NA NA 435 764 0 239 299 NA NA 590 984 186 6424 245 NA NA 375 880 267 6827 370 NA 
1743026400.0 1020.0 NA 101 89 0 98 NA NA NA 176 168 0 175 NA NA NA 6932 7077 24 6598 NA NA NA 8760 7436 36 6765 NA NA 
1743026400.0 10224.0 NA 510 814 0 199 NA NA NA 673 1029 0 298 NA NA NA 1378 1472 211 264 NA NA NA 928 1152 241 287 NA NA 
1743026400.0 10224.15 NA 509 798 0 226 NA NA NA 660 1114 0 325 NA NA NA 1258 1323 201 321 NA NA NA 774 1129 290 309 NA NA 
1743026400.0 10225.0 NA 508 816 0 198 NA NA NA 693 1067 0 291 NA NA NA 1250 1190 187 234 NA NA NA 679 986 311 261 NA NA 
1743026400.0 105.0 160 189 103 NA NA NA NA 245 264 167 NA NA NA NA 610 153 6630 NA NA NA NA 459 152 11043 NA NA NA NA 
1743026400.0 1052.1 NA 152 0 NA NA NA NA NA 256 0 NA NA NA NA NA 6358 26 NA NA NA NA NA 7407 55 NA NA NA NA 
1743026400.0 107.0 166 193 418 NA NA NA NA 253 273 560 NA NA NA NA 875 162 636 NA NA NA NA 566 151 885 NA NA NA NA 
1743026400.0 108.0 156 193 412 NA NA NA NA 250 270 585 NA NA NA NA 860 159 633 NA NA NA NA 443 162 639 NA NA NA NA 
1743026400.0 10801.0 NA 304 540 0 164 187 NA NA 405 767 0 234 295 NA NA 547 634 166 6521 268 NA NA 301 637 267 7003 341 NA 
1743026400.0 10802.0 NA 306 541 0 164 194 NA NA 401 745 0 236 297 NA NA 542 641 166 7286 242 NA NA 274 683 220 7424 339 NA 
1743026400.0 10804.0 NA 307 540 0 164 200 NA NA 405 768 0 239 293 NA NA 562 631 168 6519 263 NA NA 307 679 199 7265 301 NA 
1743026400.0 10804.31 NA 306 542 0 157 187 NA NA 403 753 0 243 289 NA NA 565 645 170 6622 263 NA NA 324 927 198 8327 348 NA 
1743026400.0 10805.0 NA 265 539 0 163 197 NA NA 410 775 0 232 290 NA NA 539 638 163 6544 237 NA NA 284 769 218 7412 309 NA 
1743026400.0 10806.0 NA 303 539 0 163 201 NA NA 400 755 0 234 304 NA NA 551 654 165 6420 236 NA NA 321 901 269 7218 261 NA 
1743026400.0 10808.0 NA 309 544 0 192 200 NA NA 407 776 0 309 300 NA NA 552 655 168 6508 263 NA NA 302 662 201 7459 325 NA 
1743026400.0 10809.0 NA 305 544 0 193 201 NA NA 408 753 0 313 294 NA NA 547 652 168 6434 243 NA NA 395 729 241 6791 296 NA 
1743026400.0 10823.0 NA 303 542 0 164 197 NA NA 391 769 0 236 291 NA NA 671 860 280 8277 259 NA NA 512 1366 425 10924 328 NA 
1743026400.0 10824.6 NA 315 559 0 193 202 NA NA 398 771 0 311 297 NA NA 565 720 179 7845 238 NA NA 429 713 207 8248 258 NA 
