Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 
1743714000.0 1.0 158 203 327 NA NA NA NA 238 284 444 NA NA NA NA 609 198 488 NA NA NA NA 399 218 646 NA NA NA NA 
1743714000.0 123.1 411 NA NA NA NA NA NA 543 NA NA NA NA NA NA 407 NA NA NA NA NA NA 351 NA NA NA NA NA NA 
1743714000.0 123.2 417 NA NA NA NA NA NA 532 NA NA NA NA NA NA 463 NA NA NA NA NA NA 400 NA NA NA NA NA NA 
1743714000.0 124.2 410 NA NA NA NA NA NA 533 NA NA NA NA NA NA 369 NA NA NA NA NA NA 332 NA NA NA NA NA NA 
1743714000.0 124.4 359 NA NA NA NA NA NA 523 NA NA NA NA NA NA 360 NA NA NA NA NA NA 371 NA NA NA NA NA NA 
1743714000.0 124.6 329 NA NA NA NA NA NA 441 NA NA NA NA NA NA 373 NA NA NA NA NA NA 379 NA NA NA NA NA NA 
1743714000.0 1301.0 150 256 353 NA NA NA NA 210 345 513 NA NA NA NA 608 201 485 NA NA NA NA 438 228 603 NA NA NA NA 
1743714000.0 136.901 NA 278 258 269 170 265 282 NA 406 399 355 239 397 415 NA 2994 640 548 182 305 428 NA 4530 986 852 305 462 523 
1743714000.0 136.902 NA 282 255 261 171 263 282 NA 423 387 356 239 397 426 NA 2623 611 638 179 306 435 NA 3806 959 989 255 468 564 
1743714000.0 136.903 NA 312 301 291 180 303 299 NA 489 442 441 247 443 445 NA 3924 1929 1685 372 548 682 NA 5460 2870 2335 461 792 883 
1743714000.0 136.904 NA 313 292 323 142 288 293 NA 490 430 434 243 443 426 NA 3690 1207 1137 272 437 566 NA 5399 1795 1585 445 684 742 
1743714000.0 144.6 NA 417 NA NA NA NA NA NA 560 NA NA NA NA NA NA 1193 NA NA NA NA NA NA 988 NA NA NA NA NA 
1743714000.0 24834.911 171 630 707 0 252 NA NA 228 831 866 0 347 NA NA 3841 2296 2480 687 357 NA NA 2582 1984 1720 797 359 NA NA 
1743714000.0 2500.224 NA 257 NA NA NA NA NA NA 371 NA NA NA NA NA NA 7457 NA NA NA NA NA NA 2453 NA NA NA NA NA 
1743714000.0 2500.225 NA 283 NA NA NA NA NA NA 405 NA NA NA NA NA NA 8025 NA NA NA NA NA NA 2651 NA NA NA NA NA 
1743714000.0 2500.228 NA 251 NA NA NA NA NA NA 403 NA NA NA NA NA NA 9624 NA NA NA NA NA NA 4929 NA NA NA NA NA 
1743714000.0 2500.238 NA 268 NA NA NA NA NA NA 413 NA NA NA NA NA NA 7156 NA NA NA NA NA NA 2367 NA NA NA NA NA 
1743714000.0 250409.0 498 0 244 NA NA NA NA 653 0 338 NA NA NA NA 505 111 360 NA NA NA NA 570 212 305 NA NA NA NA 
1743714000.0 29634.21 NA 613 341 281 NA NA NA NA 801 528 399 NA NA NA NA 924 504 405 NA NA NA NA 507 336 338 NA NA NA 
1743714000.0 29634.911 181 575 684 0 253 NA NA 237 806 899 0 345 NA NA 4044 2365 2532 658 367 NA NA 2765 2106 2078 943 400 NA NA 
1743714000.0 32434.0 179 637 700 0 254 NA NA 241 813 894 0 348 NA NA 2013 841 1209 261 371 NA NA 1008 503 983 351 361 NA NA 
1743714000.0 34034.0 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 
