Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 
1747342800.0 10006.0 NA 355 563 0 166 182 NA 470 846 0 241 273 NA 1846 2225 292 448 727 NA 2633 2755 322 574 905 
1747342800.0 10007.0 NA 354 570 0 193 185 NA 474 830 0 314 274 NA 1856 2262 318 463 712 NA 1916 3215 436 668 711 
1747342800.0 10009.0 NA 325 569 0 193 188 NA 480 830 0 313 275 NA 1851 2261 315 456 673 NA 2528 2929 428 685 812 
1747342800.0 1002.0 NA 459 159 NA NA NA NA 646 257 NA NA NA NA 2763 1294 NA NA NA NA 2958 1386 NA NA NA 
1747342800.0 10024.0 NA 365 585 0 196 188 NA 494 855 0 318 285 NA 1873 2407 442 458 712 NA 2029 3302 579 692 722 
1747342800.0 1005.0 NA 227 165 0 0 NA NA 387 263 0 0 NA NA 398 275 156 160 NA NA 432 306 190 198 NA 
1747342800.0 1010.0 NA 101 119 0 NA NA NA 168 181 0 NA NA NA 120 192 183 NA NA NA 172 293 194 NA NA 
1747342800.0 1020.0 NA 101 91 0 102 NA NA 175 146 0 169 NA NA 190 120 76 192 NA NA 319 193 97 235 NA 
1747342800.0 10224.0 NA 555 868 0 189 NA NA 729 1198 0 274 NA NA 3594 4190 498 717 NA NA 2992 4272 725 721 NA 
1747342800.0 1040.1 NA 142 94 0 NA NA NA 219 150 0 NA NA NA 415 129 106 NA NA NA 571 138 190 NA NA 
1747342800.0 1041.0 NA 136 102 0 NA NA NA 217 161 0 NA NA NA 386 157 143 NA NA NA 602 179 154 NA NA 
1747342800.0 1042.0 NA 139 100 0 NA NA NA 221 159 0 NA NA NA 522 178 137 NA NA NA 895 196 149 NA NA 
1747342800.0 1052.0 NA 224 165 0 NA NA NA 388 261 0 NA NA NA 408 281 131 NA NA NA 514 311 141 NA NA 
1747342800.0 1052.1 NA 153 0 NA NA NA NA 255 0 NA NA NA NA 228 137 NA NA NA NA 313 170 NA NA NA 
1747342800.0 107.0 181 246 454 NA NA NA 266 330 636 NA NA NA 995 1353 2218 NA NA NA 723 1983 2345 NA NA NA 
1747342800.0 108.0 177 245 462 NA NA NA 263 326 664 NA NA NA 1026 1364 2241 NA NA NA 730 1543 2567 NA NA NA 
1747342800.0 10804.31 NA 306 559 0 164 188 NA 454 858 0 234 284 NA 1836 2229 291 452 714 NA 2512 3019 357 680 721 
1747342800.0 10806.0 NA 313 567 0 169 188 NA 448 809 0 241 272 NA 1833 2205 295 446 710 NA 2485 3155 362 566 716 
1747342800.0 10807.0 NA 317 565 0 194 189 NA 449 811 0 313 285 NA 1828 2238 312 452 718 NA 2535 3058 389 556 870 
1747342800.0 10824.0 NA 367 590 0 199 192 NA 488 868 0 315 288 NA 1875 2350 424 451 727 NA 2504 3012 750 567 817 
1747342800.0 10825.0 NA 353 569 0 164 186 NA 452 828 0 235 271 NA 1852 2306 377 454 726 NA 2518 3255 552 654 924 
1747342800.0 110.0 144 194 444 NA NA NA 205 308 623 NA NA NA 434 1344 2156 NA NA NA 530 2052 2257 NA NA NA 
1747342800.0 1102.0 NA 270 523 281 194 NA NA 384 746 391 260 NA NA 2083 3572 1927 1333 NA NA 1769 3452 2210 1875 NA 
1747342800.0 11024.15 NA 615 915 0 212 NA NA 823 1278 0 303 NA NA 4321 4736 514 822 NA NA 3071 3211 553 966 NA 
1747342800.0 11024.6 NA 601 912 0 191 NA NA 809 1275 0 287 NA NA 4719 4870 502 722 NA NA 3250 4115 574 733 NA 
1747342800.0 11025.0 NA 607 903 0 192 NA NA 833 1220 0 286 NA NA 5408 4625 477 703 NA NA 4027 3748 561 707 NA 
1747342800.0 111.0 159 230 437 NA NA NA 226 310 623 NA NA NA 480 1300 2160 NA NA NA 452 1703 2553 NA NA NA 
1747342800.0 113.0 180 243 451 NA NA NA 274 323 642 NA NA NA 950 1418 2233 NA NA NA 717 1835 2583 NA NA NA 
1747342800.0 114.0 178 243 454 NA NA NA 263 319 614 NA NA NA 806 1349 2201 NA NA NA 577 1775 2530 NA NA NA 
1747342800.0 122.0 145 186 442 NA NA NA 212 291 610 NA NA NA 441 1303 2106 NA NA NA 502 2030 2367 NA NA NA 
1747342800.0 128.0 145 195 440 NA NA NA 197 318 622 NA NA NA 403 1339 2153 NA NA NA 461 1888 2395 NA NA NA 
1747342800.0 134.703 NA 166 0 NA NA NA NA 257 0 NA NA NA NA 1410 0 NA NA NA NA 2075 0 NA NA NA 
1747342800.0 136.7801 NA 198 0 NA NA NA NA 271 0 NA NA NA NA 587 120 NA NA NA NA 655 175 NA NA NA 
1747342800.0 136.7802 NA 144 0 NA NA NA NA 216 0 NA NA NA NA 450 114 NA NA NA NA 543 140 NA NA NA 
1747342800.0 136.7803 NA 195 0 NA NA NA NA 292 0 NA NA NA NA 646 116 NA NA NA NA 960 168 NA NA NA 
1747342800.0 138.3 NA 117 566 0 NA NA NA 166 817 0 NA NA NA 853 18529 226 NA NA NA 1083 12472 274 NA NA 
1747342800.0 140.5611 NA 274 0 NA NA NA NA 410 0 NA NA NA NA 1547 106 NA NA NA NA 1192 150 NA NA NA 
1747342800.0 144.6 NA 444 NA NA NA NA NA 644 NA NA NA NA NA 3391 NA NA NA NA NA 4139 NA NA NA NA 
1747342800.0 23634.0 NA 641 673 0 267 NA NA 903 967 0 364 NA NA 2612 5503 534 1472 NA NA 3641 7296 765 1811 NA 
1747342800.0 24034.0 NA 558 643 0 262 NA NA 727 811 0 346 NA NA 2794 3747 465 1626 NA NA 4000 4774 663 2114 NA 
1747342800.0 24834.0 NA 669 681 0 266 NA NA 890 944 0 358 NA NA 2508 5664 561 1472 NA NA 3587 7146 1036 1892 NA 
1747342800.0 24834.911 197 637 715 0 270 NA 261 859 937 0 362 NA 6107 4806 5925 1692 1474 NA 4097 4516 6587 2320 1933 NA 
1747342800.0 2500.003 NA 322 0 NA NA NA NA 588 0 NA NA NA NA 16401 105 NA NA NA NA 7014 136 NA NA NA 
1747342800.0 2500.112 NA 267 0 NA NA NA NA 357 0 NA NA NA NA 1282 100 NA NA NA NA 1490 156 NA NA NA 
1747342800.0 2500.212 NA 276 0 NA NA NA NA 370 0 NA NA NA NA 1411 97 NA NA NA NA 1511 120 NA NA NA 
1747342800.0 2500.222 NA 234 NA NA NA NA NA 356 NA NA NA NA NA 1604 NA NA NA NA NA 1194 NA NA NA NA 
1747342800.0 2500.226 NA 237 NA NA NA NA NA 363 NA NA NA NA NA 1535 NA NA NA NA NA 1075 NA NA NA NA 
1747342800.0 2500.228 NA 269 NA NA NA NA NA 426 NA NA NA NA NA 15053 NA NA NA NA NA 8266 NA NA NA NA 
1747342800.0 2500.231 NA 231 NA NA NA NA NA 352 NA NA NA NA NA 1165 NA NA NA NA NA 1048 NA NA NA NA 
1747342800.0 2500.232 NA 266 NA NA NA NA NA 362 NA NA NA NA NA 1252 NA NA NA NA NA 930 NA NA NA NA 
1747342800.0 2500.236 NA 268 NA NA NA NA NA 357 NA NA NA NA NA 1206 NA NA NA NA NA 1042 NA NA NA NA 
1747342800.0 2500.239 NA 269 NA NA NA NA NA 356 NA NA NA NA NA 1181 NA NA NA NA NA 878 NA NA NA NA 
1747342800.0 2500.241 NA 227 NA NA NA NA NA 366 NA NA NA NA NA 730 NA NA NA NA NA 819 NA NA NA NA 
1747342800.0 2500.243 NA 113 NA NA NA NA NA 181 NA NA NA NA NA 219 NA NA NA NA NA 262 NA NA NA NA 
1747342800.0 2500.901 NA 194 NA NA NA NA NA 292 NA NA NA NA NA 899 NA NA NA NA NA 828 NA NA NA NA 
1747342800.0 2500.902 NA 154 NA NA NA NA NA 257 NA NA NA NA NA 913 NA NA NA NA NA 805 NA NA NA NA 
1747342800.0 25634.0 191 656 712 0 269 NA 243 876 950 0 365 NA 2150 2635 3896 552 1560 NA 1206 2600 4325 632 2056 NA 
1747342800.0 26034.0 200 638 675 0 267 NA 249 912 987 0 365 NA 2056 2504 6213 557 1480 NA 1158 2798 7196 930 1921 NA 
1747342800.0 27234.0 210 670 707 0 271 NA 261 907 972 0 362 NA 2103 2643 3953 566 1529 NA 1182 2616 4613 675 1990 NA 
1747342800.0 28434.0 190 683 716 0 268 NA 240 888 956 0 360 NA 2134 2584 6437 558 1531 NA 1238 2326 6378 630 1999 NA 
