Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 
1740348000.0 12834.402 NA 305 229 0 NA NA 902 773 0 NA NA 533 404 103 NA NA 624 585 297 NA 
1740348000.0 12834.403 NA 349 217 0 NA NA 905 815 0 NA NA 485 449 122 NA NA 560 650 313 NA 
1740348000.0 12834.406 NA 352 227 0 NA NA 887 779 0 NA NA 543 406 145 NA NA 1064 576 334 NA 
1740348000.0 12834.412 NA 351 217 0 NA NA 896 752 0 NA NA 644 368 84 NA NA 684 556 276 NA 
1740348000.0 141.044406 NA 220 0 NA NA NA 317 0 NA NA NA 473 0 NA NA NA 490 0 NA NA 
1740348000.0 141.044408 NA 185 0 NA NA NA 326 0 NA NA NA 519 0 NA NA NA 593 0 NA NA 
1740348000.0 141.044412 NA 221 193 0 NA NA 314 742 0 NA NA 488 520 85 NA NA 469 907 413 NA 
1740348000.0 141.044413 NA 219 215 0 NA NA 306 744 0 NA NA 470 522 93 NA NA 442 695 299 NA 
1740348000.0 141.044414 NA 219 144 NA NA NA 314 638 NA NA NA 554 248 NA NA NA 487 438 NA NA 
1740348000.0 141.044422 NA 220 216 0 NA NA 314 723 0 NA NA 476 468 102 NA NA 468 602 377 NA 
1740348000.0 141.044423 NA 220 215 0 NA NA 314 728 0 NA NA 496 536 94 NA NA 1036 1336 302 NA 
1740348000.0 141.044424 NA 220 144 NA NA NA 310 641 NA NA NA 566 238 NA NA NA 488 432 NA NA 
1740348000.0 141.044483 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA 
1740348000.0 160.03502 91 245 130 517 175 173 358 186 1137 266 519 281 326 1142 235 1466 547 1070 1639 572 
1740348000.0 16834.404 NA 523 211 NA NA NA 1161 742 NA NA NA 779 279 NA NA NA 810 472 NA NA 
1740348000.0 16834.407 NA 476 257 0 NA NA 1184 823 0 NA NA 1095 549 128 NA NA 1012 712 314 NA 
1740348000.0 16834.408 NA 522 211 NA NA NA 1126 746 NA NA NA 893 371 NA NA NA 827 562 NA NA 
1740348000.0 16834.412 NA 503 222 0 NA NA 1173 788 0 NA NA 941 523 78 NA NA 2114 737 275 NA 
1740348000.0 16834.413 NA 504 225 0 NA NA 1170 772 0 NA NA 909 526 77 NA NA 2113 718 274 NA 
1740348000.0 16834.424 NA 526 215 NA NA NA 1162 728 NA NA NA 875 386 NA NA NA 862 586 NA NA 
1740348000.0 16850.403 NA 511 239 0 NA NA 1164 822 0 NA NA 766 547 111 NA NA 814 744 297 NA 
1740348000.0 16850.404 NA 510 212 NA NA NA 1142 752 NA NA NA 925 331 NA NA NA 867 513 NA NA 
1740348000.0 16850.407 NA 511 257 0 NA NA 1164 820 0 NA NA 749 490 119 NA NA 786 656 436 NA 
1740348000.0 16850.408 NA 508 151 NA NA NA 1169 745 NA NA NA 752 303 NA NA NA 789 591 NA NA 
1740348000.0 16861.402 NA 436 240 0 NA NA 1135 757 0 NA NA 734 407 93 NA NA 836 607 276 NA 
1740348000.0 17034.402 NA 840 319 0 NA NA 1703 886 0 NA NA 2718 645 132 NA NA 2225 741 321 NA 
1740348000.0 17034.403 NA 841 324 0 NA NA 1641 903 0 NA NA 2939 698 140 NA NA 2134 746 361 NA 
1740348000.0 17034.406 NA 783 325 0 NA NA 1635 882 0 NA NA 2725 924 142 NA NA 2299 871 327 NA 
1740348000.0 17034.407 NA 849 345 0 NA NA 1743 952 0 NA NA 2812 808 145 NA NA 2007 788 333 NA 
1740348000.0 17034.408 NA 833 0 NA NA NA 1625 0 NA NA NA 2866 0 NA NA NA 2015 0 NA NA 
1740348000.0 17034.413 NA 888 457 0 NA NA 1732 1154 0 NA NA 2775 1001 85 NA NA 2210 1319 270 NA 
1740348000.0 17034.422 NA 836 404 0 NA NA 1630 1141 0 NA NA 2738 846 76 NA NA 2022 1501 256 NA 
1740348000.0 17034.423 NA 842 507 0 NA NA 1656 1145 0 NA NA 2836 981 78 NA NA 2129 1437 259 NA 
1740348000.0 17034.424 NA 905 219 NA NA NA 1691 725 NA NA NA 3575 368 NA NA NA 2312 625 NA NA 
1740348000.0 17050.402 NA 838 311 0 NA NA 1652 883 0 NA NA 2614 559 158 NA NA 2096 681 344 NA 
1740348000.0 17050.403 NA 826 328 0 NA NA 1662 915 0 NA NA 2641 785 147 NA NA 2037 860 333 NA 
1740348000.0 17050.404 NA 845 0 NA NA NA 1651 0 NA NA NA 3229 0 NA NA NA 2184 0 NA NA 
1740348000.0 17050.406 NA 867 312 0 NA NA 1661 885 0 NA NA 2698 756 151 NA NA 2125 753 333 NA 
1740348000.0 17050.407 NA 781 307 0 NA NA 1617 890 0 NA NA 2702 749 127 NA NA 3034 799 312 NA 
1740348000.0 17050.408 NA 830 0 NA NA NA 1577 0 NA NA NA 3439 0 NA NA NA 2558 0 NA NA 
1740348000.0 17061.402 NA 799 269 0 NA NA 1603 900 0 NA NA 2714 536 135 NA NA 1973 730 318 NA 
1740348000.0 29634.404 NA 678 201 NA NA NA 1476 1007 NA NA NA 1236 338 NA NA NA 972 542 NA NA 
1740348000.0 29661.402 NA 626 330 0 NA NA 1298 914 0 NA NA 994 767 92 NA NA 866 1034 302 NA 
1740348000.0 29834.402 NA 1538 835 0 NA NA 2697 1933 0 NA NA 8150 2164 142 NA NA 4047 1258 330 NA 
1740348000.0 29834.403 NA 1372 815 0 NA NA 2541 1964 0 NA NA 6838 2510 167 NA NA 3578 1431 361 NA 
1740348000.0 29834.404 NA 1505 0 NA NA NA 2773 0 NA NA NA 8273 0 NA NA NA 3913 0 NA NA 
1740348000.0 29834.704 NA 1354 660 0 NA NA 2427 1672 0 NA NA 8188 2285 162 NA NA 4068 2231 352 NA 
