Timestamp WorkflowId PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime2 TotalJobTime3 TotalJobTime4 
1742767200.0 17034.403 917 NA NA 4561 NA NA 1390 NA NA 3194 NA NA 
1742767200.0 17034.404 959 NA NA 4758 NA NA 2355 NA NA 2196 NA NA 
1742767200.0 17034.407 851 NA NA 4602 NA NA 1449 NA NA 6964 NA NA 
1742767200.0 17034.408 0 NA NA 0 NA NA 0 NA NA 0 NA NA 
1742767200.0 17034.413 840 604 0 4812 4249 0 2669 958 81 3290 3480 275 
1742767200.0 17034.423 920 583 0 4844 4184 0 2781 881 75 3906 5948 273 
1742767200.0 17050.402 0 NA NA 0 NA NA 0 NA NA 0 NA NA 
1742767200.0 17050.403 0 NA NA 0 NA NA 0 NA NA 0 NA NA 
1742767200.0 17061.402 0 NA NA 0 NA NA 0 NA NA 0 NA NA 
1742767200.0 29834.403 1466 NA NA 5885 NA NA 6815 NA NA 18515 NA NA 
1742767200.0 29834.404 1398 363 NA 5933 4181 NA 6923 441 NA 7240 675 NA 
