Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 
1740520800.0 1.0 123 200 321 NA NA NA NA 232 273 456 NA NA NA NA 554 214 426 NA NA NA NA 426 214 518 NA NA NA NA 
1740520800.0 123.1 416 NA NA NA NA NA NA 532 NA NA NA NA NA NA 391 NA NA NA NA NA NA 418 NA NA NA NA NA NA 
1740520800.0 123.2 412 NA NA NA NA NA NA 535 NA NA NA NA NA NA 413 NA NA NA NA NA NA 338 NA NA NA NA NA NA 
1740520800.0 124.1 393 NA NA NA NA NA NA 526 NA NA NA NA NA NA 320 NA NA NA NA NA NA 305 NA NA NA NA NA NA 
1740520800.0 124.2 403 NA NA NA NA NA NA 540 NA NA NA NA NA NA 350 NA NA NA NA NA NA 318 NA NA NA NA NA NA 
1740520800.0 124.4 393 NA NA NA NA NA NA 503 NA NA NA NA NA NA 329 NA NA NA NA NA NA 307 NA NA NA NA NA NA 
1740520800.0 124.5 398 NA NA NA NA NA NA 513 NA NA NA NA NA NA 333 NA NA NA NA NA NA 331 NA NA NA NA NA NA 
1740520800.0 124.6 328 NA NA NA NA NA NA 446 NA NA NA NA NA NA 320 NA NA NA NA NA NA 292 NA NA NA NA NA NA 
1740520800.0 136.901 NA 272 255 269 167 261 275 NA 423 387 360 238 397 399 NA 3013 691 556 196 311 437 NA 4086 998 788 280 479 605 
1740520800.0 136.902 NA 276 253 259 168 259 276 NA 406 374 360 238 397 399 NA 2630 640 668 197 316 461 NA 3447 981 1082 261 546 667 
1740520800.0 136.903 NA 303 299 337 177 300 294 NA 490 430 445 247 443 427 NA 3979 2022 1678 383 566 702 NA 5273 2799 2194 572 776 883 
1740520800.0 136.904 NA 306 288 321 175 298 294 NA 490 430 440 243 411 431 NA 3723 1260 1117 276 440 576 NA 5031 1849 1550 348 624 776 
1740520800.0 2017.7 513 0 231 175 NA NA NA 668 0 339 270 NA NA NA 392 107 265 180 NA NA NA 362 182 351 216 NA NA NA 
1740520800.0 24834.911 171 630 682 0 249 NA NA 230 811 886 0 341 NA NA 3998 2277 2483 692 358 NA NA 2630 1679 1843 881 384 NA NA 
1740520800.0 2500.224 NA 249 NA NA NA NA NA NA 371 NA NA NA NA NA NA 9231 NA NA NA NA NA NA 3606 NA NA NA NA NA 
1740520800.0 2500.225 NA 273 NA NA NA NA NA NA 413 NA NA NA NA NA NA 8581 NA NA NA NA NA NA 3140 NA NA NA NA NA 
1740520800.0 2500.228 NA 247 NA NA NA NA NA NA 388 NA NA NA NA NA NA 9662 NA NA NA NA NA NA 4172 NA NA NA NA NA 
1740520800.0 2500.232 NA 252 NA NA NA NA NA NA 345 NA NA NA NA NA NA 658 NA NA NA NA NA NA 451 NA NA NA NA NA 
1740520800.0 2500.238 NA 262 NA NA NA NA NA NA 411 NA NA NA NA NA NA 7965 NA NA NA NA NA NA 2679 NA NA NA NA NA 
1740520800.0 2500.902 NA 134 NA NA NA NA NA NA 223 NA NA NA NA NA NA 385 NA NA NA NA NA NA 355 NA NA NA NA NA 
1740520800.0 250399.0 301 NA NA NA NA NA NA 410 NA NA NA NA NA NA 294 NA NA NA NA NA NA 327 NA NA NA NA NA NA 
1740520800.0 250399.17 369 NA NA NA NA NA NA 482 NA NA NA NA NA NA 407 NA NA NA NA NA NA 360 NA NA NA NA NA NA 
1740520800.0 250399.18 368 NA NA NA NA NA NA 482 NA NA NA NA NA NA 427 NA NA NA NA NA NA 396 NA NA NA NA NA NA 
1740520800.0 250402.0 487 0 230 NA NA NA NA 652 0 336 NA NA NA NA 445 102 277 NA NA NA NA 531 144 303 NA NA NA NA 
1740520800.0 250408.17 562 0 235 NA NA NA NA 699 0 335 NA NA NA NA 532 115 282 NA NA NA NA 603 130 313 NA NA NA NA 
1740520800.0 29634.911 178 626 680 0 251 NA NA 236 817 871 0 355 NA NA 4039 2325 2539 654 366 NA NA 2633 1717 1828 897 381 NA NA 
1740520800.0 500199.0 287 NA NA NA NA NA NA 382 NA NA NA NA NA NA 553 NA NA NA NA NA NA 494 NA NA NA NA NA NA 
