Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 
1744102800.0 136.903 NA 309 297 333 161 302 296 NA 457 449 446 234 449 431 NA 3993 1960 1662 329 540 680 NA 10550 4573 3575 612 954 1380 
1744102800.0 136.904 NA 308 288 321 159 298 297 NA 457 437 439 230 418 450 NA 3749 1236 1141 224 419 581 NA 10022 2788 2694 449 869 1090 
1744102800.0 144.6 NA 417 NA NA NA NA NA NA 556 NA NA NA NA NA NA 1207 NA NA NA NA NA NA 1723 NA NA NA NA NA 
1744102800.0 145.406 NA 463 739 0 NA NA NA NA 618 1032 0 NA NA NA NA 1724 10679 178 NA NA NA NA 967 4475 203 NA NA NA 
1744102800.0 2500.224 NA 256 NA NA NA NA NA NA 367 NA NA NA NA NA NA 7468 NA NA NA NA NA NA 2468 NA NA NA NA NA 
1744102800.0 2500.225 NA 278 NA NA NA NA NA NA 408 NA NA NA NA NA NA 10044 NA NA NA NA NA NA 3139 NA NA NA NA NA 
1744102800.0 2500.228 NA 249 NA NA NA NA NA NA 399 NA NA NA NA NA NA 9756 NA NA NA NA NA NA 5759 NA NA NA NA NA 
1744102800.0 34034.0 181 0 NA NA NA NA NA 241 0 NA NA NA NA NA 2660 0 NA NA NA NA NA 1995 0 NA NA NA NA NA 
1744102800.0 4.17 NA 109 417 0 270 NA NA NA 177 550 0 360 NA NA NA 111 1539 154 733 NA NA NA 122 1191 172 732 NA NA 
1744102800.0 4.28 NA 137 414 0 NA NA NA NA 210 560 0 NA NA NA NA 127 2012 846 NA NA NA NA 263 1771 1033 NA NA NA 
1744102800.0 511.0 93 0 NA NA NA NA NA 124 0 NA NA NA NA NA 2846 64 NA NA NA NA NA 3894 85 NA NA NA NA NA 
1744102800.0 538.0 98 0 NA NA NA NA NA 142 0 NA NA NA NA NA 3739 67 NA NA NA NA NA 2807 93 NA NA NA NA NA 
